JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    139.99      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   240511 300  004500-005000   00     141.51  661.4    139.92    -0.05    -9999
JUNGFRAU   240511 300  005000-005500   00     140.54  661.3    138.88    -0.80    -9999
JUNGFRAU   240511 300  005500-010000   00     141.99  661.3    140.16     0.12    -9999
JUNGFRAU   240511 300  010000-010500   00     141.06  661.3    139.39    -0.43    -9999
JUNGFRAU   240511 300  010500-011000   00     144.38  661.3    142.50     1.79    -9999
JUNGFRAU   240511 300  011000-011500   00     142.26  661.3    140.48     0.35    -9999
JUNGFRAU   240511 300  011500-012000   00     144.19  661.3    142.47     1.76    -9999
JUNGFRAU   240511 300  012000-012500   00     143.51  661.3    141.73     1.24    -9999
JUNGFRAU   240511 300  012500-013000   00     144.72  661.3    142.86     2.05    -9999
JUNGFRAU   240511 300  013000-013500   00     143.79  661.2    141.93     1.38    -9999
JUNGFRAU   240511 300  013500-014000   00     144.26  661.3    142.42     1.73    -9999
JUNGFRAU   240511 300  014000-014500   00     144.76  661.3    142.98     2.13    -9999
JUNGFRAU   240511 300  014500-015000   00     144.12  661.2    142.27     1.62    -9999
JUNGFRAU   240511 300  015000-015500   00     145.31  661.2    143.41     2.44    -9999
JUNGFRAU   240511 300  015500-020000   00     145.12  661.2    143.20     2.29    -9999
JUNGFRAU   240511 300  020000-020500   00     147.25  661.2    145.33     3.81    -9999
JUNGFRAU   240511 300  020500-021000   00     145.63  661.2    143.63     2.60    -9999
