MIRNY      LATITUDE    -66.55    LONGITUDE     93.02     ALTITUDE    30 M
MIRNY      INSTRUMENT   12NM64    NEUTRON MONITOR
MIRNY      STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.73     % / MB
MIRNY      PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MIRNY      PRE-INCREASE AVERAGE COUNTING RATE  5,842.42      COUNTS PER SECOND
MIRNY      TIME INTERVALS    300         3600     
MIRNY      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MIRNY      240511 300  015500-020000   00    7451.00  972.9   6098.00     4.37     4.34
MIRNY      240511 300  020000-020500   00    7289.00  972.7   5955.00     1.93     1.89
MIRNY      240511 300  020500-021000   00    7282.00  972.6   5945.00     1.76     1.72
MIRNY      240511 300  021000-021500   00    7377.00  972.5   6020.00     3.04     3.00
MIRNY      240511 300  021500-022000   00    7470.00  972.6   6101.00     4.43     4.38
MIRNY      240511 300  022000-022500   00    7517.00  972.7   6143.00     5.14     5.10
MIRNY      240511 300  022500-023000   00    7491.00  972.7   6122.00     4.79     4.74
MIRNY      240511 300  023000-023500   00    7495.00  972.7   6127.00     4.87     4.82
MIRNY      240511 300  023500-024000   00    7423.00  972.8   6070.00     3.90     3.84
MIRNY      240511 300  024000-024500   00    7420.00  972.7   6062.00     3.76     3.70
MIRNY      240511 300  024500-025000   00    7457.00  972.7   6092.00     4.27     4.21
MIRNY      240511 300  025000-025500   00    7378.00  972.7   6028.00     3.18     3.11
MIRNY      240511 300  025500-030000   00    7339.00  972.8   6002.00     2.73     2.66
MIRNY      240511 300  030000-030500   00    7380.00  972.9   6037.00     3.33     3.26
MIRNY      240511 300  030500-031000   00    7431.00  972.8   6076.00     4.00     3.92
MIRNY      240511 300  031000-031500   00    7332.00  973.0   6004.00     2.77     2.69
MIRNY      240511 300  031500-032000   00    7377.00  972.9   6039.00     3.36     3.28
MIRNY      240511 300  032000-032500   00    7473.00  972.9   6116.00     4.68     4.60
MIRNY      240511 300  032500-033000   00    7486.00  972.9   6128.00     4.89     4.80
MIRNY      240511 300  033000-033500   00    7352.00  973.0   6020.00     3.04     2.95
MIRNY      240511 300  033500-034000   00    7367.00  972.9   6029.00     3.19     3.10
MIRNY      240511 300  034000-034500   00    7249.00  972.7   5925.00     1.41     1.32
MIRNY      240511 300  034500-035000   00    7402.00  972.7   6048.00     3.52     3.42
MIRNY      240511 300  035000-035500   00    7319.00  972.7   5979.00     2.34     2.24
MIRNY      240511 300  035500-040000   00    7297.00  972.7   5962.00     2.05     1.94
MIRNY      240511 300  040000-040500   00    7379.00  972.7   6028.00     3.18     3.07
MIRNY      240511 300  040500-041000   00    7280.00  972.6   5942.00     1.70     1.59
MIRNY      240511 300  041000-041500   00    7524.00  972.7   6145.00     5.18     5.07
MIRNY      240511 300  041500-042000   00    7431.00  972.7   6068.00     3.86     3.75
MIRNY      240511 300  042000-042500   00    7491.00  972.5   6113.00     4.63     4.51
MIRNY      240511 300  042500-043000   00    7449.00  972.5   6076.00     4.00     3.88
MIRNY      240511 300  043000-043500   00    7347.00  972.4   5992.00     2.56     2.44
MIRNY      240511 300  043500-044000   00    7453.00  972.6   6083.00     4.12     3.99
MIRNY      240511 300  044000-044500   00    7349.00  972.3   5989.00     2.51     2.38
MIRNY      240511 300  044500-045000   00    7404.00  972.5   6038.00     3.35     3.21
MIRNY      240511 300  045000-045500   00    7446.00  972.4   6070.00     3.90     3.76
MIRNY      240511 300  045500-050000   00    7391.00  972.1   6013.00     2.92     2.78
MIRNY      240511 300  050000-050500   00    7487.00  972.1   6093.00     4.29     4.15
MIRNY      240511 300  050500-051000   00    7357.00  972.1   5983.00     2.41     2.26
MIRNY      240511 300  051000-051500   00    7449.00  972.0   6054.00     3.62     3.47
MIRNY      240511 300  051500-052000   00    7497.00  971.9   6091.00     4.25     4.10
MIRNY      240511 300  052000-052500   00    7451.00  971.9   6050.00     3.55     3.40
MIRNY      240511 300  052500-053000   00    7405.00  971.9   6016.00     2.97     2.81
MIRNY      240511 300  053000-053500   00    7380.00  972.0   5997.00     2.65     2.48
MIRNY      240511 300  053500-054000   00    7512.00  971.9   6103.00     4.46     4.30
MIRNY      240511 300  054000-054500   00    7400.00  971.9   6011.00     2.89     2.72
MIRNY      240511 300  054500-055000   00    7416.00  971.8   6018.00     3.01     2.84
MIRNY      240511 300  055000-055500   00    7453.00  971.7   6046.00     3.48     3.31
MIRNY      240511 300  055500-060000   00    7410.00  971.8   6015.00     2.95     2.78
MIRNY      240511 300  060000-060500   00    7443.00  971.9   6045.00     3.47     3.29
MIRNY      240511 300  060500-061000   00    7406.00  971.8   6013.00     2.92     2.74
MIRNY      240511 300  061000-061500   00    7431.00  971.8   6033.00     3.26     3.08
MIRNY      240511 300  061500-062000   00    7329.00  971.8   5947.00     1.79     1.60
MIRNY      240511 300  062000-062500   00    7348.00  971.8   5966.00     2.12     1.92
MIRNY      240511 300  062500-063000   00    7352.00  971.8   5967.00     2.13     1.94
MIRNY      240511 300  063000-063500   00    7395.00  971.8   6004.00     2.77     2.57
MIRNY      240511 300  063500-064000   00    7397.00  971.8   6003.00     2.75     2.55
MIRNY      240511 300  064000-064500   00    7366.00  971.8   5978.00     2.32     2.12
MIRNY      240511 300  064500-065000   00    7413.00  971.8   6017.00     2.99     2.78
MIRNY      240511 300  065000-065500   00    7465.00  971.6   6052.00     3.59     3.38
MIRNY      240511 300  065500-070000   00    7325.00  971.6   5936.00     1.60     1.39
MIRNY      240511 300  070000-070500   00    7402.00  971.6   5999.00     2.68     2.47
MIRNY      240511 300  070500-071000   00    7402.00  971.4   5989.00     2.51     2.29
MIRNY      240511 300  071000-071500   00    7439.00  971.4   6020.00     3.04     2.82
MIRNY      240511 300  071500-072000   00    7403.00  971.3   5988.00     2.49     2.27
MIRNY      240511 300  072000-072500   00    7353.00  971.3   5946.00     1.77     1.55
MIRNY      240511 300  072500-073000   00    7379.00  971.2   5962.00     2.05     1.82
MIRNY      240511 300  073000-073500   00    7406.00  971.1   5982.00     2.39     2.16
MIRNY      240511 300  073500-074000   00    7388.00  971.2   5967.00     2.13     1.90
MIRNY      240511 300  074000-074500   00    7374.00  971.0   5951.00     1.86     1.62
MIRNY      240511 300  074500-075000   00    7359.00  971.1   5941.00     1.69     1.45
MIRNY      240511 300  075000-075500   00    7423.00  971.1   5995.00     2.61     2.37
MIRNY      240511 300  075500-080000   00    7433.00  971.1   6001.00     2.71     2.47
MIRNY      240511 300  080000-080500   00    7407.00  971.1   5980.00     2.35     2.10
MIRNY      240511 300  080500-081000   00    7420.00  970.9   5984.00     2.42     2.17
MIRNY      240511 300  081000-081500   00    7522.00  971.0   6071.00     3.91     3.66
MIRNY      240511 300  081500-082000   00    7487.00  971.0   6040.00     3.38     3.12
MIRNY      240511 300  082000-082500   00    7469.00  970.9   6021.00     3.06     2.79
MIRNY      240511 300  082500-083000   00    7401.00  970.9   5968.00     2.15     1.88
MIRNY      240511 300  083000-083500   00    7344.00  970.9   5919.00     1.31     1.04
MIRNY      240511 300  083500-084000   00    7454.00  970.6   5999.00     2.68     2.41
MIRNY      240511 300  084000-084500   00    7502.00  970.7   6039.00     3.36     3.09
MIRNY      240511 300  084500-085000   00    7345.00  970.7   5914.00     1.23     0.95
MIRNY      240511 300  085000-085500   00    7386.00  970.7   5946.00     1.77     1.49
MIRNY      240511 300  085500-090000   00    7285.00  970.6   5862.00     0.34     0.05
MIRNY      240511 300  090000-090500   00    7236.00  970.7   5826.00    -0.28    -0.57
MIRNY      240511 300  090500-091000   00    7236.00  970.7   5823.00    -0.33    -0.62
MIRNY      240511 300  091000-091500   00    7419.00  970.7   5972.00     2.22     1.93
MIRNY      240511 300  091500-092000   00    7377.00  970.7   5940.00     1.67     1.37
MIRNY      240511 300  092000-092500   00    7463.00  970.6   6004.00     2.77     2.47
MIRNY      240511 300  092500-093000   00    7294.00  970.7   5870.00     0.47     0.17
MIRNY      240511 300  093000-093500   00    7443.00  970.5   5985.00     2.44     2.14
MIRNY      240511 300  093500-094000   00    7388.00  970.5   5940.00     1.67     1.36
MIRNY      240511 300  094000-094500   00    7418.00  970.5   5961.00     2.03     1.72
MIRNY      240511 300  094500-095000   00    7251.00  970.5   5831.00    -0.20    -0.51
MIRNY      240511 300  095000-095500   00    7453.00  970.5   5989.00     2.51     2.19
MIRNY      240511 300  095500-100000   00    7317.00  970.5   5883.00     0.69     0.37
MIRNY      240511 300  100000-100500   00    7334.00  970.5   5896.00     0.92     0.59
MIRNY      240511 300  100500-101000   00    7276.00  970.5   5850.00     0.13    -0.20
MIRNY      240511 300  101000-101500   00    7407.00  970.5   5954.00     1.91     1.58
MIRNY      240511 300  101500-102000   00    7357.00  970.5   5914.00     1.23     0.89
MIRNY      240511 300  102000-102500   00    7416.00  970.4   5955.00     1.93     1.59
