PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.75     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    194.79      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  241120 3600 000000-010000   00     198.66 1009.4    194.17    -0.32    -9999
PEAWANUCK  241120 3600 010000-020000   00     200.64 1008.7    195.04     0.13    -9999
PEAWANUCK  241120 3600 020000-030000   00     201.31 1008.1    194.81     0.01    -9999
PEAWANUCK  241120 3600 030000-040000   00     202.95 1007.7    195.83     0.54    -9999
PEAWANUCK  241120 3600 040000-050000   00     201.80 1007.4    194.32    -0.24    -9999
PEAWANUCK  241120 3600 050000-060000   00     202.00 1007.2    194.20    -0.30    -9999
PEAWANUCK  241120 3600 060000-070000   00     202.07 1006.6    193.48    -0.67    -9999
PEAWANUCK  241120 3600 070000-080000   00     203.01 1006.4    194.03    -0.39    -9999
PEAWANUCK  241120 3600 080000-090000   00     203.24 1006.2    193.94    -0.44    -9999
PEAWANUCK  241120 3600 090000-100000   00     203.85 1006.0    194.17    -0.31    -9999
PEAWANUCK  241120 3600 100000-110000   00     203.70 1005.7    193.73    -0.54    -9999
PEAWANUCK  241120 3600 110000-120000   00     205.10 1005.6    194.78     0.00    -9999
PEAWANUCK  241120 3600 120000-130000   00     205.17 1005.5    194.71    -0.04    -9999
PEAWANUCK  241120 3600 130000-140000   00     204.53 1005.4    194.05    -0.38    -9999
PEAWANUCK  241120 3600 140000-150000   00     205.99 1005.2    195.17     0.20    -9999
PEAWANUCK  241120 3600 150000-160000   00     208.55 1005.1    197.32     1.30    -9999
PEAWANUCK  241120 3600 160000-170000   00     207.13 1004.9    195.74     0.49    -9999
PEAWANUCK  241120 3600 170000-180000   00     208.21 1004.8    196.55     0.91    -9999
PEAWANUCK  241120 3600 180000-190000   00     207.60 1004.7    195.94     0.59    -9999
PEAWANUCK  241120 3600 190000-200000   00     206.97 1004.9    195.57     0.40    -9999
PEAWANUCK  241120 3600 200000-210000   00     206.44 1005.4    195.80     0.52    -9999
PEAWANUCK  241120 3600 210000-220000   00     206.30 1005.8    196.32     0.79    -9999
PEAWANUCK  241120 3600 220000-230000   00     206.38 1006.0    196.65     0.96    -9999
PEAWANUCK  241120 3600 230000-240000   00     205.02 1006.5    196.07     0.66    -9999
PEAWANUCK  241121 3600 000000-010000   00     204.21 1006.4    195.11     0.17    -9999
PEAWANUCK  241121 3600 010000-020000   00     203.42 1006.5    194.50    -0.14    -9999
PEAWANUCK  241121 3600 020000-030000   00     204.09 1006.7    195.55     0.39    -9999
PEAWANUCK  241121 3600 030000-040000   00     202.49 1006.7    194.00    -0.40    -9999
PEAWANUCK  241121 3600 040000-050000   00     202.40 1006.8    193.99    -0.41    -9999
PEAWANUCK  241121 3600 050000-060000   00     202.21 1007.1    194.29    -0.26    -9999
PEAWANUCK  241121 3600 060000-070000   00     201.63 1007.4    194.22    -0.29    -9999
PEAWANUCK  241121 3600 070000-080000   00     200.94 1008.0    194.36    -0.22    -9999
PEAWANUCK  241121 3600 080000-090000   00     200.77 1008.1    194.40    -0.20    -9999
PEAWANUCK  241121 3600 090000-100000   00     199.50 1008.4    193.52    -0.65    -9999
PEAWANUCK  241121 3600 100000-110000   00     199.48 1008.8    194.16    -0.32    -9999
PEAWANUCK  241121 3600 110000-120000   00     199.32 1008.9    194.15    -0.32    -9999
PEAWANUCK  241121 3600 120000-130000   00     200.80 1009.0    195.70     0.47    -9999
PEAWANUCK  241121 3600 130000-140000   00     200.19 1009.1    195.22     0.22    -9999
PEAWANUCK  241121 3600 140000-150000   00     200.35 1009.3    195.70     0.47    -9999
PEAWANUCK  241121 3600 150000-160000   00     199.89 1009.7    195.78     0.51    -9999
PEAWANUCK  241121 300  160000-160500   00     200.44 1009.8    196.53     0.90     0.97
PEAWANUCK  241121 300  160500-161000   00     198.29 1009.8    194.45    -0.17    -0.11
PEAWANUCK  241121 300  161000-161500   00     201.71 1009.9    197.82     1.56     1.62
PEAWANUCK  241121 300  161500-162000   00     198.77 1009.9    194.96     0.09     0.14
PEAWANUCK  241121 300  162000-162500   00     199.30 1009.8    195.44     0.34     0.38
PEAWANUCK  241121 300  162500-163000   00     202.54 1009.8    198.52     1.92     1.96
PEAWANUCK  241121 300  163000-163500   00     195.71 1009.7    191.74    -1.56    -1.53
PEAWANUCK  241121 300  163500-164000   00     195.89 1009.7    191.88    -1.49    -1.46
PEAWANUCK  241121 300  164000-164500   00     194.94 1009.7    190.96    -1.96    -1.94
PEAWANUCK  241121 300  164500-165000   00     197.59 1009.7    193.55    -0.64    -0.62
PEAWANUCK  241121 300  165000-165500   00     198.84 1009.7    194.78     0.00     0.01
PEAWANUCK  241121 300  165500-170000   00     197.92 1009.6    193.79    -0.51    -0.50
PEAWANUCK  241121 300  170000-170500   00     199.33 1009.6    195.07     0.15     0.15
PEAWANUCK  241121 300  170500-171000   00     199.68 1009.5    195.38     0.30     0.31
PEAWANUCK  241121 300  171000-171500   00     201.40 1009.6    197.10     1.19     1.18
PEAWANUCK  241121 300  171500-172000   00     195.65 1009.5    191.43    -1.72    -1.73
PEAWANUCK  241121 300  172000-172500   00     198.15 1009.5    193.86    -0.47    -0.48
PEAWANUCK  241121 300  172500-173000   00     199.43 1009.5    195.08     0.15     0.14
PEAWANUCK  241121 300  173000-173500   00     199.96 1009.5    195.58     0.41     0.39
PEAWANUCK  241121 300  173500-174000   00     200.97 1009.5    196.52     0.89     0.87
PEAWANUCK  241121 300  174000-174500   00     202.86 1009.4    198.23     1.77     1.74
PEAWANUCK  241121 300  174500-175000   00     198.47 1009.3    193.89    -0.46    -0.49
PEAWANUCK  241121 300  175000-175500   00     199.09 1009.3    194.49    -0.15    -0.18
PEAWANUCK  241121 300  175500-180000   00     198.44 1009.3    193.78    -0.52    -0.55
PEAWANUCK  241121 300  180000-180500   00     200.72 1009.3    196.06     0.65     0.62
PEAWANUCK  241121 300  180500-181000   00     199.12 1009.3    194.51    -0.14    -0.18
PEAWANUCK  241121 300  181000-181500   00     196.94 1009.3    192.33    -1.26    -1.30
PEAWANUCK  241121 300  181500-182000   00     200.18 1009.2    195.44     0.34     0.29
PEAWANUCK  241121 300  182000-182500   00     203.01 1009.2    198.17     1.74     1.69
PEAWANUCK  241121 300  182500-183000   00     199.18 1009.3    194.50    -0.14    -0.20
PEAWANUCK  241121 300  183000-183500   00     199.46 1009.3    194.83     0.03    -0.03
PEAWANUCK  241121 300  183500-184000   00     204.20 1009.3    199.43     2.38     2.33
PEAWANUCK  241121 300  184000-184500   00     201.53 1009.3    196.84     1.06     1.00
PEAWANUCK  241121 300  184500-185000   00     202.01 1009.3    197.32     1.30     1.24
PEAWANUCK  241121 300  185000-185500   00     200.00 1009.4    195.46     0.35     0.29
PEAWANUCK  241121 300  185500-190000   00     203.55 1009.4    198.94     2.13     2.07
PEAWANUCK  241121 300  190000-190500   00     201.17 1009.3    196.51     0.88     0.82
PEAWANUCK  241121 300  190500-191000   00     199.08 1009.3    194.45    -0.17    -0.23
PEAWANUCK  241121 300  191000-191500   00     199.81 1009.3    195.17     0.20     0.13
PEAWANUCK  241121 300  191500-192000   00     201.83 1009.3    197.15     1.21     1.15
PEAWANUCK  241121 300  192000-192500   00     201.43 1009.3    196.78     1.03     0.96
PEAWANUCK  241121 300  192500-193000   00     203.34 1009.3    198.57     1.94     1.88
PEAWANUCK  241121 300  193000-193500   00     204.34 1009.2    199.44     2.39     2.32
PEAWANUCK  241121 300  193500-194000   00     201.32 1009.2    196.43     0.84     0.78
PEAWANUCK  241121 300  194000-194500   00     202.53 1009.1    197.56     1.42     1.36
PEAWANUCK  241121 300  194500-195000   00     203.53 1009.1    198.53     1.92     1.85
PEAWANUCK  241121 300  195000-195500   00     199.56 1009.1    194.61    -0.09    -0.16
PEAWANUCK  241121 300  195500-200000   00     199.10 1009.1    194.17    -0.32    -0.38
PEAWANUCK  241121 300  200000-200500   00     202.71 1009.2    197.77     1.53     1.46
PEAWANUCK  241121 300  200500-201000   00     196.56 1009.2    191.80    -1.53    -1.60
PEAWANUCK  241121 300  201000-201500   00     203.78 1009.2    198.82     2.07     2.00
PEAWANUCK  241121 300  201500-202000   00     201.94 1009.1    196.95     1.11     1.05
PEAWANUCK  241121 300  202000-202500   00     200.86 1009.1    195.92     0.58     0.52
PEAWANUCK  241121 300  202500-203000   00     202.90 1009.2    197.96     1.63     1.57
PEAWANUCK  241121 300  203000-203500   00     203.71 1009.2    198.84     2.08     2.02
PEAWANUCK  241121 300  203500-204000   00     199.97 1009.3    195.26     0.25     0.19
PEAWANUCK  241121 300  204000-204500   00     199.32 1009.2    194.60    -0.10    -0.15
PEAWANUCK  241121 300  204500-205000   00     199.78 1009.2    195.02     0.12     0.07
PEAWANUCK  241121 300  205000-205500   00     197.69 1009.2    192.96    -0.94    -0.99
PEAWANUCK  241121 300  205500-210000   00     197.56 1009.2    192.78    -1.03    -1.08
PEAWANUCK  241121 300  210000-210500   00     201.22 1009.2    196.39     0.82     0.77
PEAWANUCK  241121 300  210500-211000   00     200.19 1009.3    195.57     0.40     0.35
PEAWANUCK  241121 300  211000-211500   00     199.66 1009.4    195.13     0.18     0.13
PEAWANUCK  241121 300  211500-212000   00     201.16 1009.4    196.64     0.95     0.91
PEAWANUCK  241121 300  212000-212500   00     201.60 1009.4    197.11     1.19     1.15
PEAWANUCK  241121 300  212500-213000   00     198.91 1009.5    194.56    -0.11    -0.15
PEAWANUCK  241121 300  213000-213500   00     200.45 1009.5    196.13     0.69     0.65
PEAWANUCK  241121 300  213500-214000   00     197.81 1009.6    193.58    -0.62    -0.65
PEAWANUCK  241121 300  214000-214500   00     196.91 1009.6    192.73    -1.06    -1.08
PEAWANUCK  241121 300  214500-215000   00     200.15 1009.6    195.91     0.58     0.55
PEAWANUCK  241121 300  215000-215500   00     200.40 1009.6    196.14     0.69     0.67
PEAWANUCK  241121 300  215500-220000   00     199.59 1009.5    195.30     0.26     0.25
PEAWANUCK  241121 300  220000-220500   00     199.14 1009.5    194.76    -0.01    -0.03
PEAWANUCK  241121 300  220500-221000   00     198.39 1009.5    194.01    -0.40    -0.41
PEAWANUCK  241121 300  221000-221500   00     199.00 1009.6    194.73    -0.03    -0.04
PEAWANUCK  241121 300  221500-222000   00     199.77 1009.6    195.57     0.40     0.40
PEAWANUCK  241121 300  222000-222500   00     194.84 1009.7    190.86    -2.02    -2.01
PEAWANUCK  241121 300  222500-223000   00     197.58 1009.8    193.68    -0.57    -0.56
PEAWANUCK  241121 300  223000-223500   00     198.84 1009.9    195.04     0.13     0.14
PEAWANUCK  241121 300  223500-224000   00     198.58 1009.9    194.84     0.03     0.05
PEAWANUCK  241121 300  224000-224500   00     197.99 1009.9    194.28    -0.26    -0.24
PEAWANUCK  241121 300  224500-225000   00     199.58 1009.9    195.75     0.49     0.52
PEAWANUCK  241121 300  225000-225500   00     197.74 1009.9    193.96    -0.42    -0.39
PEAWANUCK  241121 300  225500-230000   00     196.90 1009.9    193.16    -0.83    -0.80
PEAWANUCK  241121 300  230000-230500   00     200.26 1009.9    196.44     0.85     0.89
PEAWANUCK  241121 300  230500-231000   00     196.89 1009.9    193.18    -0.83    -0.78
PEAWANUCK  241121 300  231000-231500   00     198.44 1009.9    194.75    -0.02     0.03
PEAWANUCK  241121 300  231500-232000   00     198.27 1010.0    194.70    -0.04     0.02
PEAWANUCK  241121 300  232000-232500   00     198.09 1010.1    194.66    -0.06     0.00
PEAWANUCK  241121 300  232500-233000   00     196.52 1010.2    193.20    -0.81    -0.74
PEAWANUCK  241121 300  233000-233500   00     197.38 1010.2    194.09    -0.35    -0.28
PEAWANUCK  241121 300  233500-234000   00     195.88 1010.3    192.70    -1.07    -0.98
PEAWANUCK  241121 300  234000-234500   00     198.93 1010.3    195.71     0.47     0.57
PEAWANUCK  241121 300  234500-235000   00     200.34 1010.2    197.01     1.14     1.24
PEAWANUCK  241121 300  235000-235500   00     197.20 1010.2    193.90    -0.45    -0.35
PEAWANUCK  241121 300  235500-240000   00     197.95 1009.4    193.54    -0.64    -0.53
PEAWANUCK  241122 300  000000-000500   00     197.40 1010.2    194.09    -0.36    -0.24
PEAWANUCK  241122 300  000500-001000   00     198.51 1010.2    195.15     0.19     0.32
PEAWANUCK  241122 300  001000-001500   00     196.57 1010.1    193.20    -0.81    -0.68
PEAWANUCK  241122 300  001500-002000   00     203.89 1010.1    200.40     2.88     3.02
PEAWANUCK  241122 300  002000-002500   00     194.24 1010.2    191.00    -1.95    -1.80
PEAWANUCK  241122 300  002500-003000   00     195.90 1010.2    192.62    -1.11    -0.95
PEAWANUCK  241122 300  003000-003500   00     195.18 1010.2    191.95    -1.46    -1.29
PEAWANUCK  241122 300  003500-004000   00     198.21 1010.2    194.89     0.05     0.23
PEAWANUCK  241122 300  004000-004500   00     197.65 1010.1    194.26    -0.27    -0.09
PEAWANUCK  241122 300  004500-005000   00     193.59 1010.1    190.22    -2.34    -2.15
PEAWANUCK  241122 300  005000-005500   00     198.80 1010.1    195.31     0.27     0.47
PEAWANUCK  241122 300  005500-010000   00     196.28 1010.1    192.84    -1.00    -0.79
PEAWANUCK  241122 300  010000-010500   00     196.69 1010.1    193.30    -0.76    -0.55
PEAWANUCK  241122 300  010500-011000   00     197.58 1010.1    194.18    -0.31    -0.09
PEAWANUCK  241122 300  011000-011500   00     199.73 1010.1    196.23     0.74     0.98
PEAWANUCK  241122 300  011500-012000   00     198.29 1010.1    194.81     0.01     0.26
PEAWANUCK  241122 300  012000-012500   00     198.61 1010.1    195.12     0.17     0.42
PEAWANUCK  241122 300  012500-013000   00     198.97 1010.1    195.45     0.34     0.60
PEAWANUCK  241122 300  013000-013500   00     199.83 1010.0    196.23     0.74     1.01
PEAWANUCK  241122 300  013500-014000   00     199.75 1010.0    196.09     0.67     0.95
PEAWANUCK  241122 300  014000-014500   00     197.73 1010.0    194.12    -0.34    -0.05
PEAWANUCK  241122 300  014500-015000   00     198.24 1010.0    194.59    -0.10     0.20
PEAWANUCK  241122 300  015000-015500   00     194.39 1009.9    190.76    -2.07    -1.75
PEAWANUCK  241122 300  015500-020000   00     198.14 1009.9    194.35    -0.23     0.10
PEAWANUCK  241122 3600 020000-030000   00     198.66 1009.7    194.55    -0.12    -9999
PEAWANUCK  241122 3600 030000-040000   00     198.10 1009.6    193.95    -0.43    -9999
PEAWANUCK  241122 3600 040000-050000   00     197.58 1009.3    193.00    -0.91    -9999
PEAWANUCK  241122 3600 050000-060000   00     197.69 1009.3    193.10    -0.86    -9999
PEAWANUCK  241122 3600 060000-070000   00     196.41 1009.2    191.69    -1.59    -9999
PEAWANUCK  241122 3600 070000-080000   00     197.32 1009.3    192.71    -1.07    -9999
PEAWANUCK  241122 3600 080000-090000   00     197.64 1009.1    192.69    -1.07    -9999
PEAWANUCK  241122 3600 090000-100000   00     196.45 1009.2    191.69    -1.59    -9999
PEAWANUCK  241122 3600 100000-110000   00     197.69 1009.3    193.14    -0.84    -9999
PEAWANUCK  241122 3600 110000-120000   00     197.34 1009.4    192.86    -0.99    -9999
PEAWANUCK  241122 3600 120000-130000   00     197.48 1009.3    192.84    -1.00    -9999
PEAWANUCK  241122 3600 130000-140000   00     199.07 1009.0    194.04    -0.38    -9999
PEAWANUCK  241122 3600 140000-150000   00     197.90 1008.7    192.45    -1.20    -9999
PEAWANUCK  241122 3600 150000-160000   00     199.15 1008.2    192.97    -0.93    -9999
