LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    733.3   MB     COEFFICIENT   -0.72     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    409.33      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   241121 300  181500-182000   00     464.21  715.7    409.49     0.04     0.40
LOMNICKY   241121 300  182000-182500   00     461.90  715.6    407.24    -0.51    -0.14
LOMNICKY   241121 300  182500-183000   00     464.08  715.6    408.96    -0.09     0.30
LOMNICKY   241121 300  183000-183500   00     460.54  715.5    405.54    -0.93    -0.52
LOMNICKY   241121 300  183500-184000   00     464.18  715.4    408.58    -0.18     0.24
LOMNICKY   241121 300  184000-184500   00     466.15  715.4    410.38     0.26     0.70
LOMNICKY   241121 300  184500-185000   00     462.99  715.3    407.33    -0.49    -0.03
LOMNICKY   241121 300  185000-185500   00     465.07  715.4    409.22    -0.03     0.44
LOMNICKY   241121 300  185500-190000   00     464.68  715.3    408.85    -0.12     0.37
LOMNICKY   241121 300  190000-190500   00     465.25  715.1    408.75    -0.14     0.36
LOMNICKY   241121 300  190500-191000   00     462.71  715.0    406.21    -0.76    -0.24
LOMNICKY   241121 300  191000-191500   00     463.64  715.0    407.05    -0.56    -0.02
LOMNICKY   241121 300  191500-192000   00     460.56  715.0    404.28    -1.24    -0.68
LOMNICKY   241121 300  192000-192500   00     466.10  714.9    408.67    -0.16     0.41
LOMNICKY   241121 300  192500-193000   00     465.30  714.7    407.38    -0.48     0.11
LOMNICKY   241121 300  193000-193500   00     460.50  714.5    402.59    -1.65    -1.04
LOMNICKY   241121 300  193500-194000   00     463.03  714.3    404.36    -1.22    -0.60
LOMNICKY   241121 300  194000-194500   00     463.59  714.4    405.06    -1.04    -0.41
LOMNICKY   241121 300  194500-195000   00     459.90  714.3    401.74    -1.85    -1.20
LOMNICKY   241121 300  195000-195500   00     464.41  714.3    405.70    -0.89    -0.22
LOMNICKY   241121 300  195500-200000   00     460.66  714.2    402.11    -1.77    -1.08
LOMNICKY   241121 300  200000-200500   00     460.77  714.4    402.65    -1.63    -0.93
LOMNICKY   241121 300  200500-201000   00     461.20  714.3    402.80    -1.60    -0.88
LOMNICKY   241121 300  201000-201500   00     459.45  714.2    400.94    -2.05    -1.31
LOMNICKY   241121 300  201500-202000   00     460.37  714.0    401.15    -2.00    -1.25
LOMNICKY   241121 300  202000-202500   00     461.70  714.0    402.29    -1.72    -0.95
LOMNICKY   241121 300  202500-203000   00     457.63  714.0    398.68    -2.60    -1.82
LOMNICKY   241121 300  203000-203500   00     457.42  713.9    398.26    -2.71    -1.90
LOMNICKY   241121 300  203500-204000   00     462.25  713.8    402.27    -1.73    -0.91
LOMNICKY   241121 300  204000-204500   00     459.51  713.8    399.76    -2.34    -1.50
LOMNICKY   241121 300  204500-205000   00     459.66  713.7    399.82    -2.32    -1.47
LOMNICKY   241121 300  205000-205500   00     461.22  713.8    401.31    -1.96    -1.09
LOMNICKY   241121 300  205500-210000   00     458.41  714.0    399.55    -2.39    -1.51
LOMNICKY   241121 300  210000-210500   00     458.03  714.1    399.45    -2.41    -1.51
LOMNICKY   241121 300  210500-211000   00     463.59  714.1    404.32    -1.22    -0.31
LOMNICKY   241121 300  211000-211500   00     460.53  714.1    401.73    -1.86    -0.92
LOMNICKY   241121 300  211500-212000   00     458.98  714.3    400.78    -2.09    -1.14
LOMNICKY   241121 300  212000-212500   00     464.82  714.2    405.68    -0.89     0.07
LOMNICKY   241121 300  212500-213000   00     462.52  714.5    404.46    -1.19    -0.21
LOMNICKY   241121 300  213000-213500   00     461.27  714.3    402.72    -1.62    -0.62
LOMNICKY   241121 300  213500-214000   00     463.01  714.1    403.77    -1.36    -0.34
LOMNICKY   241121 300  214000-214500   00     463.78  714.0    404.11    -1.28    -0.24
LOMNICKY   241121 300  214500-215000   00     466.38  713.9    406.09    -0.79     0.26
LOMNICKY   241121 300  215000-215500   00     465.82  713.8    405.37    -0.97     0.10
LOMNICKY   241121 300  215500-220000   00     463.42  713.8    403.23    -1.49    -0.41
LOMNICKY   241121 300  220000-220500   00     466.18  713.6    404.98    -1.06     0.03
LOMNICKY   241121 300  220500-221000   00     467.29  713.3    405.19    -1.01     0.10
