SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.74     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    252.85      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 241121 300  180000-180500   00     257.31  678.0    253.79     0.37     0.37
SOUTH-POLE 241121 300  180500-181000   00     257.60  678.0    254.08     0.49     0.49
SOUTH-POLE 241121 300  181000-181500   00     257.91  678.0    254.42     0.62     0.62
SOUTH-POLE 241121 300  181500-182000   00     257.98  678.0    254.51     0.66     0.66
SOUTH-POLE 241121 300  182000-182500   00     259.37  678.0    255.84     1.18     1.18
SOUTH-POLE 241121 300  182500-183000   00     258.23  678.0    254.74     0.74     0.74
SOUTH-POLE 241121 300  183000-183500   00     261.22  678.0    257.71     1.92     1.92
SOUTH-POLE 241121 300  183500-184000   00     261.65  678.1    258.19     2.11     2.11
SOUTH-POLE 241121 300  184000-184500   00     261.81  678.1    258.39     2.19     2.19
SOUTH-POLE 241121 300  184500-185000   00     262.12  678.0    258.62     2.28     2.28
SOUTH-POLE 241121 300  185000-185500   00     264.42  678.0    260.86     3.17     3.17
SOUTH-POLE 241121 300  185500-190000   00     260.41  678.1    256.99     1.64     1.64
SOUTH-POLE 241121 300  190000-190500   00     262.69  678.1    259.34     2.57     2.57
SOUTH-POLE 241121 300  190500-191000   00     263.26  678.1    259.99     2.82     2.82
SOUTH-POLE 241121 300  191000-191500   00     263.02  678.2    259.83     2.76     2.76
SOUTH-POLE 241121 300  191500-192000   00     261.45  678.2    258.33     2.17     2.17
SOUTH-POLE 241121 300  192000-192500   00     259.36  678.3    256.40     1.40     1.40
SOUTH-POLE 241121 300  192500-193000   00     261.45  678.3    258.55     2.25     2.25
SOUTH-POLE 241121 300  193000-193500   00     259.74  678.4    256.99     1.64     1.64
SOUTH-POLE 241121 300  193500-194000   00     260.29  678.4    257.59     1.87     1.87
SOUTH-POLE 241121 300  194000-194500   00     260.10  678.4    257.39     1.80     1.80
SOUTH-POLE 241121 300  194500-195000   00     259.25  678.4    256.54     1.46     1.46
SOUTH-POLE 241121 300  195000-195500   00     260.20  678.4    257.48     1.83     1.83
SOUTH-POLE 241121 300  195500-200000   00     259.76  678.4    257.07     1.67     1.67
SOUTH-POLE 241121 300  200000-200500   00     258.33  678.5    255.67     1.11     1.11
SOUTH-POLE 241121 300  200500-201000   00     260.51  678.4    257.79     1.95     1.95
SOUTH-POLE 241121 300  201000-201500   00     258.04  678.5    255.37     1.00     1.00
SOUTH-POLE 241121 300  201500-202000   00     259.41  678.5    256.89     1.60     1.60
SOUTH-POLE 241121 300  202000-202500   00     259.97  678.6    257.56     1.86     1.86
SOUTH-POLE 241121 300  202500-203000   00     256.82  678.7    254.54     0.67     0.67
SOUTH-POLE 241121 300  203000-203500   00     261.51  678.7    259.27     2.54     2.54
SOUTH-POLE 241121 300  203500-204000   00     258.22  678.7    256.08     1.28     1.28
SOUTH-POLE 241121 300  204000-204500   00     258.31  678.8    256.27     1.35     1.35
SOUTH-POLE 241121 300  204500-205000   00     256.17  678.8    254.25     0.55     0.55
SOUTH-POLE 241121 300  205000-205500   00     256.26  678.9    254.37     0.60     0.60
SOUTH-POLE 241121 300  205500-210000   00     258.11  678.8    256.16     1.31     1.31
SOUTH-POLE 241121 300  210000-210500   00     257.41  678.9    255.50     1.05     1.05
SOUTH-POLE 241121 300  210500-211000   00     257.66  678.8    255.68     1.12     1.12
SOUTH-POLE 241121 300  211000-211500   00     257.75  678.8    255.77     1.15     1.15
SOUTH-POLE 241121 300  211500-212000   00     257.97  678.8    255.97     1.23     1.23
SOUTH-POLE 241121 300  212000-212500   00     259.63  678.8    257.67     1.90     1.90
SOUTH-POLE 241121 300  212500-213000   00     259.24  678.9    257.35     1.78     1.78
SOUTH-POLE 241121 300  213000-213500   00     255.58  678.9    253.78     0.37     0.37
SOUTH-POLE 241121 300  213500-214000   00     258.07  679.0    256.38     1.39     1.39
SOUTH-POLE 241121 300  214000-214500   00     256.65  679.0    255.04     0.87     0.87
SOUTH-POLE 241121 300  214500-215000   00     256.15  679.0    254.54     0.67     0.67
SOUTH-POLE 241121 300  215000-215500   00     254.93  679.0    253.38     0.21     0.21
SOUTH-POLE 241121 300  215500-220000   00     257.12  679.1    255.61     1.09     1.09
SOUTH-POLE 241121 300  220000-220500   00     256.77  679.0    255.23     0.94     0.94
SOUTH-POLE 241121 300  220500-221000   00     255.35  679.1    253.88     0.41     0.41
SOUTH-POLE 241121 300  221000-221500   00     256.55  679.2    255.26     0.95     0.95
SOUTH-POLE 241121 300  221500-222000   00     255.29  679.2    254.01     0.46     0.46
SOUTH-POLE 241121 300  222000-222500   00     254.97  679.2    253.70     0.33     0.33
SOUTH-POLE 241121 300  222500-223000   00     256.13  679.2    254.81     0.77     0.77
SOUTH-POLE 241121 300  223000-223500   00     257.74  679.2    256.41     1.41     1.41
SOUTH-POLE 241121 300  223500-224000   00     255.97  679.1    254.62     0.70     0.70
SOUTH-POLE 241121 300  224000-224500   00     254.28  679.2    252.96     0.04     0.04
SOUTH-POLE 241121 300  224500-225000   00     258.64  679.1    257.29     1.76     1.76
SOUTH-POLE 241121 300  225000-225500   00     255.34  679.1    253.99     0.45     0.45
SOUTH-POLE 241121 300  225500-230000   00     253.99  679.1    252.57    -0.11    -0.11
SOUTH-POLE 241121 300  230000-230500   00     254.27  679.1    252.92     0.03     0.03
SOUTH-POLE 241121 300  230500-231000   00     258.01  679.1    256.63     1.50     1.50
SOUTH-POLE 241121 300  231000-231500   00     257.09  679.1    255.71     1.13     1.13
SOUTH-POLE 241121 300  231500-232000   00     254.01  679.1    252.70    -0.06    -0.06
SOUTH-POLE 241121 300  232000-232500   00     256.03  679.2    254.75     0.75     0.75
SOUTH-POLE 241121 300  232500-233000   00     254.79  679.1    253.47     0.24     0.24
