KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.7  MB     COEFFICIENT   -0.721    % / MB
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    161.10      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KIEL       241121 300  184000-184500   00     192.53  981.4    160.44    -0.41     0.00
KIEL       241121 300  184500-185000   00     191.77  981.4    159.79    -0.81    -0.39
KIEL       241121 300  185000-185500   00     193.60  981.4    161.30     0.13     0.56
KIEL       241121 300  185500-190000   00     195.72  981.4    163.06     1.22     1.68
KIEL       241121 300  190000-190500   00     192.00  981.4    160.00    -0.68    -0.21
KIEL       241121 300  190500-191000   00     192.40  981.5    160.42    -0.42     0.07
KIEL       241121 300  191000-191500   00     193.47  981.5    161.34     0.15     0.66
KIEL       241121 300  191500-192000   00     192.06  981.6    160.21    -0.55    -0.03
KIEL       241121 300  192000-192500   00     192.78  981.6    160.84    -0.16     0.38
KIEL       241121 300  192500-193000   00     188.97  981.6    157.68    -2.12    -1.56
KIEL       241121 300  193000-193500   00     190.14  981.6    158.72    -1.47    -0.90
KIEL       241121 300  193500-194000   00     192.80  981.7    160.98    -0.07     0.52
KIEL       241121 300  194000-194500   00     195.00  981.7    162.82     1.07     1.68
KIEL       241121 300  194500-195000   00     192.90  981.7    161.11     0.01     0.63
KIEL       241121 300  195000-195500   00     192.45  981.8    160.78    -0.19     0.45
KIEL       241121 300  195500-200000   00     189.69  981.8    158.55    -1.58    -0.93
KIEL       241121 300  200000-200500   00     191.51  981.9    160.10    -0.62     0.05
KIEL       241121 300  200500-201000   00     191.98  981.9    160.58    -0.32     0.37
KIEL       241121 300  201000-201500   00     189.12  981.9    158.21    -1.79    -1.08
KIEL       241121 300  201500-202000   00     187.93  982.0    157.26    -2.38    -1.66
KIEL       241121 300  202000-202500   00     191.52  982.0    160.27    -0.51     0.23
KIEL       241121 300  202500-203000   00     192.94  982.0    161.53     0.27     1.02
KIEL       241121 300  203000-203500   00     190.44  982.1    159.53    -0.97    -0.20
KIEL       241121 300  203500-204000   00     192.92  982.2    161.66     0.35     1.14
KIEL       241121 300  204000-204500   00     192.16  982.3    161.13     0.02     0.83
KIEL       241121 300  204500-205000   00     191.22  982.4    160.47    -0.39     0.44
KIEL       241121 300  205000-205500   00     190.88  982.4    160.24    -0.53     0.31
KIEL       241121 300  205500-210000   00     189.01  982.5    158.69    -1.49    -0.63
KIEL       241121 300  210000-210500   00     190.88  982.5    160.31    -0.49     0.39
KIEL       241121 300  210500-211000   00     191.86  982.5    161.16     0.04     0.93
KIEL       241121 300  211000-211500   00     188.04  982.6    158.00    -1.92    -1.01
KIEL       241121 300  211500-212000   00     188.98  982.6    158.89    -1.37    -0.44
KIEL       241121 300  212000-212500   00     190.67  982.7    160.39    -0.44     0.50
KIEL       241121 300  212500-213000   00     192.28  982.7    161.75     0.41     1.37
KIEL       241121 300  213000-213500   00     188.11  982.7    158.22    -1.79    -0.81
KIEL       241121 300  213500-214000   00     187.78  982.7    157.97    -1.94    -0.94
KIEL       241121 300  214000-214500   00     185.84  982.8    156.43    -2.90    -1.89
KIEL       241121 300  214500-215000   00     189.84  982.8    159.84    -0.78     0.25
KIEL       241121 300  215000-215500   00     187.81  982.9    158.23    -1.78    -0.73
KIEL       241121 300  215500-220000   00     188.05  983.0    158.47    -1.63    -0.57
KIEL       241121 300  220000-220500   00     191.05  983.0    161.01    -0.05     1.03
KIEL       241121 300  220500-221000   00     186.45  982.9    157.10    -2.48    -1.39
KIEL       241121 300  221000-221500   00     189.07  983.0    159.36    -1.08     0.03
KIEL       241121 300  221500-222000   00     188.80  983.0    159.20    -1.18    -0.05
KIEL       241121 300  222000-222500   00     190.20  983.1    160.41    -0.43     0.72
KIEL       241121 300  222500-223000   00     188.42  983.1    158.98    -1.31    -0.15
KIEL       241121 300  223000-223500   00     191.69  983.2    161.76     0.41     1.59
KIEL       241121 300  223500-224000   00     188.32  983.2    158.96    -1.33    -0.13
KIEL       241121 300  224000-224500   00     186.60  983.3    157.59    -2.18    -0.97
KIEL       241121 300  224500-225000   00     189.12  983.4    159.83    -0.78     0.45
KIEL       241121 300  225000-225500   00     186.76  983.5    157.96    -1.95    -0.70
KIEL       241121 300  225500-230000   00     187.54  983.5    158.71    -1.48    -0.22
KIEL       241121 300  230000-230500   00     187.22  983.5    158.43    -1.66    -0.38
KIEL       241121 300  230500-231000   00     188.09  983.6    159.22    -1.16     0.13
KIEL       241121 300  231000-231500   00     187.50  983.6    158.70    -1.48    -0.17
KIEL       241121 300  231500-232000   00     187.75  983.6    158.93    -1.34    -0.01
KIEL       241121 300  232000-232500   00     186.57  983.6    157.98    -1.93    -0.59
KIEL       241121 300  232500-233000   00     183.71  983.6    155.58    -3.43    -2.06
KIEL       241121 300  233000-233500   00     185.82  983.7    157.38    -2.31    -0.93
KIEL       241121 300  233500-234000   00     185.12  983.7    156.84    -2.64    -1.25
KIEL       241121 300  234000-234500   00     186.19  983.8    157.81    -2.04    -0.63
KIEL       241121 300  234500-235000   00     186.38  983.9    158.09    -1.86    -0.43
KIEL       241121 300  235000-235500   00     187.16  983.9    158.76    -1.45     0.00
KIEL       241121 300  235500-240000   00     184.19  983.9    156.26    -3.00    -1.53
KIEL       241122 300  000000-000500   00     186.78  984.0    158.53    -1.59    -0.11
KIEL       241122 300  000500-001000   00     187.60  984.1    159.35    -1.09     0.41
KIEL       241122 300  001000-001500   00     185.67  984.2    157.81    -2.04    -0.52
KIEL       241122 300  001500-002000   00     188.51  984.2    160.24    -0.53     1.00
KIEL       241122 300  002000-002500   00     188.36  984.1    160.02    -0.67     0.88
KIEL       241122 300  002500-003000   00     186.00  984.1    158.01    -1.92    -0.35
KIEL       241122 300  003000-003500   00     185.62  984.0    157.60    -2.17    -0.59
KIEL       241122 300  003500-004000   00     189.24  983.9    160.58    -0.32     1.28
KIEL       241122 300  004000-004500   00     187.62  984.1    159.44    -1.03     0.59
KIEL       241122 300  004500-005000   00     188.34  984.2    160.10    -0.61     1.02
KIEL       241122 300  005000-005500   00     185.90  984.2    158.05    -1.89    -0.24
KIEL       241122 300  005500-010000   00     186.35  984.2    158.49    -1.62     0.05
KIEL       241122 300  010000-010500   00     186.35  984.3    158.52    -1.60     0.09
KIEL       241122 300  010500-011000   00     185.87  984.2    158.07    -1.88    -0.18
KIEL       241122 300  011000-011500   00     185.75  984.3    158.01    -1.92    -0.20
KIEL       241122 300  011500-012000   00     185.70  984.5    158.18    -1.81    -0.08
KIEL       241122 300  012000-012500   00     186.56  984.5    158.94    -1.34     0.41
KIEL       241122 300  012500-013000   00     186.78  984.5    159.13    -1.22     0.55
KIEL       241122 300  013000-013500   00     187.03  984.5    159.39    -1.06     0.73
KIEL       241122 300  013500-014000   00     185.04  984.5    157.69    -2.11    -0.31
KIEL       241122 300  014000-014500   00     185.62  984.6    158.30    -1.74     0.08
KIEL       241122 300  014500-015000   00     189.00  984.7    161.25     0.10     1.93
KIEL       241122 300  015000-015500   00     185.56  984.8    158.42    -1.66     0.19
KIEL       241122 300  015500-020000   00     183.76  984.8    156.97    -2.56    -0.69
KIEL       241122 3600 020000-030000   00     184.64  985.0    157.84    -2.02    -9999
KIEL       241122 3600 030000-040000   00     185.08  985.1    158.35    -1.71    -9999
KIEL       241122 3600 040000-050000   00     185.38  985.5    159.08    -1.25    -9999
KIEL       241122 3600 050000-060000   00     186.24  985.6    159.92    -0.73    -9999
KIEL       241122 3600 060000-070000   00     185.02  985.8    159.18    -1.19    -9999
KIEL       241122 3600 070000-080000   00     185.52  986.1    159.86    -0.77    -9999
KIEL       241122 3600 080000-090000   00     185.18  986.2    159.71    -0.86    -9999
KIEL       241122 3600 090000-100000   00     184.53  986.1    159.04    -1.27    -9999
KIEL       241122 3600 100000-110000   00     184.15  986.2    158.81    -1.42    -9999
KIEL       241122 3600 110000-120000   00     183.96  986.0    158.45    -1.64    -9999
KIEL       241122 3600 120000-130000   00     185.46  985.8    159.54    -0.97    -9999
KIEL       241122 3600 130000-140000   00     185.67  985.9    159.79    -0.81    -9999
KIEL       241122 3600 140000-150000   00     184.90  986.3    159.63    -0.91    -9999
KIEL       241122 3600 150000-160000   00     184.02  987.5    160.24    -0.53    -9999
KIEL       241122 3600 160000-170000   00     181.72  989.5    160.52    -0.35    -9999
KIEL       241122 3600 170000-180000   00     179.35  991.6    160.83    -0.17    -9999
KIEL       241122 3600 180000-190000   00     177.36  993.4    161.16     0.04    -9999
KIEL       241122 3600 190000-200000   00     174.15  995.4    160.48    -0.38    -9999
KIEL       241122 3600 200000-210000   00     171.94  996.9    160.18    -0.57    -9999
KIEL       241122 3600 210000-220000   00     169.88  998.1    159.66    -0.89    -9999
KIEL       241122 3600 220000-230000   00     168.65  999.4    160.01    -0.67    -9999
KIEL       241122 3600 230000-240000   00     167.62 1000.3    160.11    -0.61    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 01.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076KIEL_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
