THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1005    MB     COEFFICIENT   -0.742    % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    109.95      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      241121 300  184500-185000   00      99.11 1021.6    112.28     2.12     2.12
THULE      241121 300  185000-185500   00      97.11 1021.4    109.89    -0.06    -0.06
THULE      241121 300  185500-190000   00      98.18 1021.5    111.13     1.07     1.07
THULE      241121 300  190000-190500   00      98.57 1021.5    111.63     1.53     1.53
THULE      241121 300  190500-191000   00      98.58 1021.5    111.61     1.50     1.50
THULE      241121 300  191000-191500   00      97.60 1021.5    110.54     0.53     0.53
THULE      241121 300  191500-192000   00      98.36 1021.5    111.38     1.29     1.29
THULE      241121 300  192000-192500   00      97.93 1021.4    110.81     0.78     0.78
THULE      241121 300  192500-193000   00      99.37 1021.3    112.38     2.20     2.20
THULE      241121 300  193000-193500   00      98.58 1021.3    111.47     1.38     1.38
THULE      241121 300  193500-194000   00      98.82 1021.4    111.77     1.65     1.65
THULE      241121 300  194000-194500   00      98.29 1021.4    111.20     1.13     1.13
THULE      241121 300  194500-195000   00      99.34 1021.4    112.42     2.25     2.25
THULE      241121 300  195000-195500   00      96.87 1021.5    109.66    -0.27    -0.27
THULE      241121 300  195500-200000   00      98.44 1021.4    111.41     1.33     1.33
THULE      241121 300  200000-200500   00      98.13 1021.5    111.08     1.02     1.02
THULE      241121 300  200500-201000   00      97.25 1021.5    110.15     0.18     0.18
THULE      241121 300  201000-201500   00      97.46 1021.6    110.43     0.43     0.43
THULE      241121 300  201500-202000   00      97.10 1021.6    110.04     0.08     0.08
THULE      241121 300  202000-202500   00      97.59 1021.6    110.56     0.56     0.56
THULE      241121 300  202500-203000   00      98.15 1021.6    111.22     1.15     1.15
THULE      241121 300  203000-203500   00      98.09 1021.6    111.16     1.10     1.10
THULE      241121 300  203500-204000   00      98.06 1021.6    111.13     1.07     1.07
THULE      241121 300  204000-204500   00      98.68 1021.6    111.78     1.66     1.66
