JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    331.84      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  241121 300  180000-180500   00     343.42  635.7    325.55    -1.90    -1.81
JUNGFRAU1  241121 300  180500-181000   00     345.95  637.6    332.62     0.24     0.32
JUNGFRAU1  241121 300  181000-181500   00     341.82  636.9    327.10    -1.43    -1.34
JUNGFRAU1  241121 300  181500-182000   00     343.12  637.0    328.35    -1.05    -0.96
JUNGFRAU1  241121 300  182000-182500   00     345.42  636.5    329.57    -0.68    -0.59
JUNGFRAU1  241121 300  182500-183000   00     343.31  638.0    330.96    -0.26    -0.16
JUNGFRAU1  241121 300  183000-183500   00     344.51  638.3    332.90     0.32     0.42
JUNGFRAU1  241121 300  183500-184000   00     343.94  639.1    334.19     0.71     0.81
JUNGFRAU1  241121 300  184000-184500   00     343.02  638.8    332.58     0.23     0.33
JUNGFRAU1  241121 300  184500-185000   00     346.05  638.6    335.05     0.97     1.08
JUNGFRAU1  241121 300  185000-185500   00     340.75  638.8    330.45    -0.42    -0.30
JUNGFRAU1  241121 300  185500-190000   00     341.52  638.5    330.58    -0.38    -0.26
JUNGFRAU1  241121 300  190000-190500   00     345.87  637.9    333.20     0.41     0.53
JUNGFRAU1  241121 300  190500-191000   00     345.53  637.6    332.12     0.09     0.21
JUNGFRAU1  241121 300  191000-191500   00     344.85  638.1    332.91     0.32     0.45
JUNGFRAU1  241121 300  191500-192000   00     340.01  638.8    329.80    -0.61    -0.49
JUNGFRAU1  241121 300  192000-192500   00     345.43  638.4    333.97     0.64     0.77
JUNGFRAU1  241121 300  192500-193000   00     342.86  638.5    331.78    -0.02     0.11
JUNGFRAU1  241121 300  193000-193500   00     344.58  638.6    333.67     0.55     0.69
JUNGFRAU1  241121 300  193500-194000   00     342.78  638.8    332.50     0.20     0.34
JUNGFRAU1  241121 300  194000-194500   00     342.64  638.4    331.29    -0.17    -0.02
