INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    169.80      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     241121 300  182500-183000   00     157.08 1025.8    172.95     1.86     1.72
INUVIK     241121 300  183000-183500   00     155.41 1025.9    171.17     0.81     0.67
INUVIK     241121 300  183500-184000   00     156.05 1025.9    171.96     1.27     1.13
INUVIK     241121 300  184000-184500   00     155.92 1025.9    171.79     1.18     1.02
INUVIK     241121 300  184500-185000   00     156.09 1026.0    172.12     1.37     1.21
INUVIK     241121 300  185000-185500   00     154.08 1026.2    170.10     0.18     0.01
INUVIK     241121 300  185500-190000   00     153.98 1026.1    169.95     0.09    -0.09
INUVIK     241121 300  190000-190500   00     156.96 1026.1    173.15     1.98     1.79
INUVIK     241121 300  190500-191000   00     155.63 1026.1    171.75     1.15     0.96
INUVIK     241121 300  191000-191500   00     158.21 1026.2    174.63     2.84     2.64
INUVIK     241121 300  191500-192000   00     156.07 1026.2    172.27     1.46     1.25
INUVIK     241121 300  192000-192500   00     156.06 1026.2    172.31     1.48     1.26
INUVIK     241121 300  192500-193000   00     155.82 1026.2    172.11     1.36     1.14
INUVIK     241121 300  193000-193500   00     155.70 1026.3    172.08     1.34     1.11
INUVIK     241121 300  193500-194000   00     154.05 1026.4    170.40     0.36     0.11
INUVIK     241121 300  194000-194500   00     156.24 1026.6    172.98     1.87     1.62
INUVIK     241121 300  194500-195000   00     155.39 1026.6    172.12     1.37     1.11
INUVIK     241121 300  195000-195500   00     154.81 1026.7    171.56     1.04     0.77
INUVIK     241121 300  195500-200000   00     154.33 1026.8    171.11     0.77     0.49
INUVIK     241121 300  200000-200500   00     155.14 1026.8    172.11     1.36     1.07
INUVIK     241121 300  200500-201000   00     154.97 1026.9    171.99     1.29     0.99
INUVIK     241121 300  201000-201500   00     155.53 1027.0    172.71     1.72     1.41
INUVIK     241121 300  201500-202000   00     154.42 1027.0    171.50     1.00     0.68
INUVIK     241121 300  202000-202500   00     153.39 1027.0    170.40     0.35     0.02
INUVIK     241121 300  202500-203000   00     155.76 1027.1    173.10     1.95     1.61
INUVIK     241121 300  203000-203500   00     156.29 1027.1    173.75     2.33     1.98
INUVIK     241121 300  203500-204000   00     152.26 1027.1    169.27    -0.31    -0.67
INUVIK     241121 300  204000-204500   00     154.24 1027.1    171.47     0.98     0.61
INUVIK     241121 300  204500-205000   00     152.44 1027.2    169.54    -0.15    -0.54
INUVIK     241121 300  205000-205500   00     151.20 1027.2    168.24    -0.92    -1.31
INUVIK     241121 300  205500-210000   00     152.53 1027.3    169.77    -0.02    -0.42
INUVIK     241121 300  210000-210500   00     155.39 1027.3    173.01     1.89     1.48
INUVIK     241121 300  210500-211000   00     154.57 1027.4    172.22     1.43     1.00
INUVIK     241121 300  211000-211500   00     153.95 1027.5    171.66     1.10     0.66
INUVIK     241121 300  211500-212000   00     154.32 1027.6    172.17     1.40     0.95
INUVIK     241121 300  212000-212500   00     154.19 1027.6    172.03     1.31     0.85
INUVIK     241121 300  212500-213000   00     153.59 1027.6    171.38     0.93     0.46
INUVIK     241121 300  213000-213500   00     153.20 1027.6    170.97     0.69     0.21
INUVIK     241121 300  213500-214000   00     153.49 1027.7    171.44     0.97     0.47
INUVIK     241121 300  214000-214500   00     154.08 1027.9    172.27     1.46     0.95
INUVIK     241121 300  214500-215000   00     154.75 1027.9    173.09     1.94     1.42
INUVIK     241121 300  215000-215500   00     153.00 1028.0    171.20     0.83     0.29
INUVIK     241121 300  215500-220000   00     152.82 1028.0    171.09     0.76     0.21
INUVIK     241121 300  220000-220500   00     150.18 1028.1    168.22    -0.93    -1.49
INUVIK     241121 300  220500-221000   00     153.79 1028.2    172.38     1.52     0.95
INUVIK     241121 300  221000-221500   00     152.15 1028.3    170.61     0.48    -0.11
INUVIK     241121 300  221500-222000   00     152.69 1028.3    171.30     0.88     0.28
INUVIK     241121 300  222000-222500   00     153.83 1028.4    172.63     1.67     1.06
INUVIK     241121 300  222500-223000   00     152.35 1028.5    171.08     0.75     0.13
INUVIK     241121 300  223000-223500   00     151.76 1028.5    170.48     0.40    -0.24
INUVIK     241121 300  223500-224000   00     152.62 1028.5    171.48     0.99     0.34
INUVIK     241121 300  224000-224500   00     152.16 1028.5    170.99     0.70     0.03
INUVIK     241121 300  224500-225000   00     152.59 1028.6    171.50     1.00     0.32
INUVIK     241121 300  225000-225500   00     151.17 1028.6    169.94     0.08    -0.61
INUVIK     241121 300  225500-230000   00     151.77 1028.7    170.71     0.54    -0.17
INUVIK     241121 300  230000-230500   00     151.61 1028.7    170.61     0.48    -0.25
INUVIK     241121 300  230500-231000   00     153.84 1028.8    173.20     2.01     1.27
INUVIK     241121 300  231000-231500   00     151.84 1028.9    171.03     0.73    -0.03
INUVIK     241121 300  231500-232000   00     151.57 1028.9    170.79     0.59    -0.18
INUVIK     241121 300  232000-232500   00     153.39 1029.1    173.01     1.89     1.11
INUVIK     241121 300  232500-233000   00     151.26 1029.2    170.75     0.56    -0.24
INUVIK     241121 300  233000-233500   00     149.87 1029.2    169.26    -0.32    -1.13
INUVIK     241121 300  233500-234000   00     151.10 1029.3    170.74     0.56    -0.27
INUVIK     241121 300  234000-234500   00     150.77 1029.4    170.45     0.38    -0.46
INUVIK     241121 300  234500-235000   00     152.54 1029.4    172.50     1.59     0.73
INUVIK     241121 300  235000-235500   00     152.56 1029.5    172.60     1.65     0.78
INUVIK     241121 300  235500-240000   00     151.05 1029.5    170.98     0.70    -0.20
INUVIK     241122 300  000000-000500   00     151.68 1029.6    171.74     1.14     0.23
INUVIK     241122 300  000500-001000   00     152.65 1029.6    172.88     1.81     0.89
INUVIK     241122 300  001000-001500   00     151.27 1029.7    171.42     0.96     0.01
INUVIK     241122 300  001500-002000   00     149.32 1029.7    169.28    -0.30    -1.26
INUVIK     241122 300  002000-002500   00     148.62 1029.8    168.56    -0.73    -1.70
INUVIK     241122 300  002500-003000   00     151.49 1029.9    171.93     1.26     0.26
INUVIK     241122 300  003000-003500   00     150.34 1029.9    170.73     0.55    -0.46
INUVIK     241122 300  003500-004000   00     151.49 1030.0    172.08     1.34     0.32
INUVIK     241122 300  004000-004500   00     151.51 1030.0    172.13     1.38     0.33
INUVIK     241122 300  004500-005000   00     152.63 1030.1    173.48     2.17     1.11
INUVIK     241122 300  005000-005500   00     150.47 1030.1    171.11     0.77    -0.31
INUVIK     241122 300  005500-010000   00     149.51 1030.2    170.13     0.20    -0.90
INUVIK     241122 300  010000-010500   00     150.79 1030.2    171.61     1.07    -0.05
INUVIK     241122 300  010500-011000   00     151.20 1030.3    172.14     1.38     0.25
INUVIK     241122 300  011000-011500   00     149.80 1030.4    170.62     0.48    -0.67
INUVIK     241122 300  011500-012000   00     150.65 1030.4    171.65     1.09    -0.08
INUVIK     241122 300  012000-012500   00     150.88 1030.4    171.96     1.27     0.09
INUVIK     241122 300  012500-013000   00     151.52 1030.5    172.75     1.74     0.54
INUVIK     241122 300  013000-013500   00     150.88 1030.5    172.06     1.33     0.11
INUVIK     241122 300  013500-014000   00     151.28 1030.5    172.57     1.63     0.39
INUVIK     241122 300  014000-014500   00     150.92 1030.6    172.23     1.43     0.17
INUVIK     241122 300  014500-015000   00     150.74 1030.7    172.10     1.36     0.08
INUVIK     241122 300  015000-015500   00     148.78 1030.7    169.93     0.08    -1.22
INUVIK     241122 300  015500-020000   00     151.33 1030.8    172.91     1.83     0.52
INUVIK     241122 3600 020000-030000   00     149.21 1030.9    170.67     0.52    -9999
INUVIK     241122 3600 030000-040000   00     148.98 1031.4    171.00     0.71    -9999
INUVIK     241122 3600 040000-050000   00     148.53 1032.0    171.26     0.86    -9999
INUVIK     241122 3600 050000-060000   00     148.07 1032.5    171.34     0.91    -9999
INUVIK     241122 3600 060000-070000   00     147.36 1033.1    171.29     0.88    -9999
INUVIK     241122 3600 070000-080000   00     146.10 1033.9    170.87     0.63    -9999
INUVIK     241122 3600 080000-090000   00     144.31 1034.5    169.55    -0.15    -9999
INUVIK     241122 3600 090000-100000   00     143.84 1035.1    169.80     0.00    -9999
INUVIK     241122 3600 100000-110000   00     143.14 1035.8    169.80     0.00    -9999
INUVIK     241122 3600 110000-120000   00     142.62 1036.5    170.08     0.17    -9999
INUVIK     241122 3600 120000-130000   00     142.34 1037.1    170.46     0.39    -9999
INUVIK     241122 3600 130000-140000   00     141.56 1037.4    170.00     0.12    -9999
INUVIK     241122 3600 140000-150000   00     141.12 1037.6    169.68    -0.07    -9999
INUVIK     241122 3600 150000-160000   00     141.49 1037.8    170.42     0.37    -9999
INUVIK     241122 3600 160000-170000   00     140.97 1038.1    170.18     0.23    -9999
INUVIK     241122 3600 170000-180000   00     141.30 1038.4    170.92     0.66    -9999
INUVIK     241122 3600 180000-190000   00     141.77 1038.3    171.40     0.94    -9999
INUVIK     241122 3600 190000-200000   00     143.25 1038.1    172.88     1.82    -9999
INUVIK     241122 3600 200000-210000   00     143.55 1038.1    173.19     2.00    -9999
INUVIK     241122 3600 210000-220000   00     143.17 1037.8    172.35     1.50    -9999
INUVIK     241122 3600 220000-230000   00     144.73 1037.2    173.49     2.17    -9999
INUVIK     241122 3600 230000-240000   00     144.91 1036.7    173.03     1.90    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076INVK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
