SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    680     MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    121.31      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 241121 300  180000-180500   00     124.13  678.0    122.35     0.86     0.86
SOPO-6NM64 241121 300  180500-181000   00     123.84  678.0    122.07     0.62     0.62
SOPO-6NM64 241121 300  181000-181500   00     123.02  678.0    121.28    -0.03    -0.03
SOPO-6NM64 241121 300  181500-182000   00     123.28  678.0    121.55     0.19     0.19
SOPO-6NM64 241121 300  182000-182500   00     124.88  678.0    123.10     1.47     1.47
SOPO-6NM64 241121 300  182500-183000   00     125.03  678.0    123.26     1.61     1.61
SOPO-6NM64 241121 300  183000-183500   00     125.29  678.0    123.53     1.83     1.83
SOPO-6NM64 241121 300  183500-184000   00     124.77  678.1    123.05     1.43     1.43
SOPO-6NM64 241121 300  184000-184500   00     127.39  678.1    125.65     3.57     3.57
SOPO-6NM64 241121 300  184500-185000   00     127.12  678.0    125.34     3.32     3.32
SOPO-6NM64 241121 300  185000-185500   00     127.57  678.0    125.78     3.68     3.68
SOPO-6NM64 241121 300  185500-190000   00     126.66  678.1    124.92     2.97     2.97
SOPO-6NM64 241121 300  190000-190500   00     127.50  678.1    125.78     3.68     3.68
SOPO-6NM64 241121 300  190500-191000   00     127.12  678.1    125.44     3.40     3.40
SOPO-6NM64 241121 300  191000-191500   00     127.00  678.2    125.37     3.34     3.34
SOPO-6NM64 241121 300  191500-192000   00     126.03  678.2    124.43     2.57     2.57
SOPO-6NM64 241121 300  192000-192500   00     125.60  678.3    124.07     2.27     2.27
SOPO-6NM64 241121 300  192500-193000   00     126.83  678.3    125.33     3.31     3.31
SOPO-6NM64 241121 300  193000-193500   00     126.26  678.4    124.83     2.90     2.90
SOPO-6NM64 241121 300  193500-194000   00     125.97  678.4    124.56     2.68     2.68
SOPO-6NM64 241121 300  194000-194500   00     126.61  678.4    125.19     3.20     3.20
SOPO-6NM64 241121 300  194500-195000   00     126.66  678.4    125.23     3.22     3.22
SOPO-6NM64 241121 300  195000-195500   00     126.32  678.4    124.90     2.96     2.96
SOPO-6NM64 241121 300  195500-200000   00     125.56  678.4    124.16     2.34     2.34
SOPO-6NM64 241121 300  200000-200500   00     125.51  678.5    124.14     2.33     2.33
SOPO-6NM64 241121 300  200500-201000   00     125.10  678.4    123.72     1.98     1.98
SOPO-6NM64 241121 300  201000-201500   00     125.67  678.5    124.30     2.46     2.46
SOPO-6NM64 241121 300  201500-202000   00     124.47  678.5    123.18     1.54     1.54
SOPO-6NM64 241121 300  202000-202500   00     124.96  678.6    123.73     1.99     1.99
SOPO-6NM64 241121 300  202500-203000   00     125.92  678.7    124.73     2.81     2.81
SOPO-6NM64 241121 300  203000-203500   00     124.59  678.7    123.44     1.75     1.75
SOPO-6NM64 241121 300  203500-204000   00     124.70  678.7    123.59     1.88     1.88
SOPO-6NM64 241121 300  204000-204500   00     124.17  678.8    123.11     1.48     1.48
SOPO-6NM64 241121 300  204500-205000   00     123.18  678.8    122.18     0.71     0.71
SOPO-6NM64 241121 300  205000-205500   00     124.43  678.9    123.44     1.75     1.75
SOPO-6NM64 241121 300  205500-210000   00     124.82  678.8    123.80     2.05     2.05
SOPO-6NM64 241121 300  210000-210500   00     123.21  678.9    122.22     0.75     0.75
SOPO-6NM64 241121 300  210500-211000   00     123.76  678.8    122.74     1.17     1.17
SOPO-6NM64 241121 300  211000-211500   00     124.65  678.8    123.63     1.91     1.91
SOPO-6NM64 241121 300  211500-212000   00     124.45  678.8    123.41     1.73     1.73
SOPO-6NM64 241121 300  212000-212500   00     124.39  678.8    123.38     1.70     1.70
SOPO-6NM64 241121 300  212500-213000   00     124.21  678.9    123.22     1.57     1.57
SOPO-6NM64 241121 300  213000-213500   00     122.79  678.9    121.86     0.45     0.45
SOPO-6NM64 241121 300  213500-214000   00     123.53  679.0    122.65     1.10     1.10
SOPO-6NM64 241121 300  214000-214500   00     121.84  679.0    121.01    -0.25    -0.25
SOPO-6NM64 241121 300  214500-215000   00     123.27  679.0    122.42     0.91     0.91
SOPO-6NM64 241121 300  215000-215500   00     124.09  679.0    123.26     1.60     1.60
SOPO-6NM64 241121 300  215500-220000   00     123.31  679.1    122.52     0.99     0.99
SOPO-6NM64 241121 300  220000-220500   00     122.90  679.0    122.08     0.63     0.63
SOPO-6NM64 241121 300  220500-221000   00     123.49  679.1    122.71     1.15     1.15
SOPO-6NM64 241121 300  221000-221500   00     122.42  679.2    121.73     0.34     0.34
SOPO-6NM64 241121 300  221500-222000   00     122.61  679.2    121.92     0.50     0.50
SOPO-6NM64 241121 300  222000-222500   00     122.35  679.2    121.66     0.29     0.29
SOPO-6NM64 241121 300  222500-223000   00     123.75  679.2    123.04     1.42     1.42
SOPO-6NM64 241121 300  223000-223500   00     122.09  679.2    121.38     0.05     0.05
