YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    193.58      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    241121 300  181000-181500   00     176.51 1017.4    195.87     1.18     1.07
YAKUTSK    241121 300  181500-182000   00     174.48 1017.4    193.57    -0.01    -0.12
YAKUTSK    241121 300  182000-182500   00     175.09 1017.4    194.32     0.38     0.26
YAKUTSK    241121 300  182500-183000   00     177.87 1017.5    197.39     1.96     1.83
YAKUTSK    241121 300  183000-183500   00     176.99 1017.5    196.48     1.50     1.36
YAKUTSK    241121 300  183500-184000   00     175.55 1017.5    194.96     0.71     0.57
YAKUTSK    241121 300  184000-184500   00     175.92 1017.5    195.31     0.89     0.74
YAKUTSK    241121 300  184500-185000   00     175.81 1017.5    195.20     0.83     0.68
YAKUTSK    241121 300  185000-185500   00     177.97 1017.6    197.68     2.12     1.96
YAKUTSK    241121 300  185500-190000   00     178.05 1017.7    197.89     2.23     2.06
YAKUTSK    241121 300  190000-190500   00     177.73 1017.7    197.63     2.09     1.92
YAKUTSK    241121 300  190500-191000   00     177.84 1017.8    197.84     2.20     2.02
YAKUTSK    241121 300  191000-191500   00     175.52 1017.9    195.33     0.90     0.72
YAKUTSK    241121 300  191500-192000   00     177.25 1017.8    197.20     1.87     1.68
YAKUTSK    241121 300  192000-192500   00     175.65 1017.8    195.47     0.97     0.78
YAKUTSK    241121 300  192500-193000   00     175.47 1017.9    195.39     0.93     0.73
YAKUTSK    241121 300  193000-193500   00     176.51 1018.0    196.59     1.55     1.35
YAKUTSK    241121 300  193500-194000   00     177.57 1018.0    197.87     2.21     2.00
YAKUTSK    241121 300  194000-194500   00     175.71 1018.0    195.81     1.15     0.94
YAKUTSK    241121 300  194500-195000   00     176.59 1018.1    196.85     1.69     1.47
YAKUTSK    241121 300  195000-195500   00     175.12 1018.1    195.25     0.86     0.64
YAKUTSK    241121 300  195500-200000   00     173.63 1018.1    193.63     0.02    -0.21
YAKUTSK    241121 300  200000-200500   00     172.48 1018.1    192.40    -0.61    -0.85
YAKUTSK    241121 300  200500-201000   00     174.96 1018.1    195.09     0.78     0.54
YAKUTSK    241121 300  201000-201500   00     174.77 1018.1    194.85     0.66     0.41
YAKUTSK    241121 300  201500-202000   00     174.72 1018.0    194.69     0.57     0.32
YAKUTSK    241121 300  202000-202500   00     174.45 1018.0    194.37     0.41     0.15
YAKUTSK    241121 300  202500-203000   00     174.99 1018.1    195.17     0.82     0.56
YAKUTSK    241121 300  203000-203500   00     172.83 1018.2    192.88    -0.36    -0.63
YAKUTSK    241121 300  203500-204000   00     174.43 1018.2    194.67     0.56     0.28
YAKUTSK    241121 300  204000-204500   00     174.08 1018.2    194.29     0.37     0.08
YAKUTSK    241121 300  204500-205000   00     172.45 1018.2    192.43    -0.60    -0.89
YAKUTSK    241121 300  205000-205500   00     175.28 1018.2    195.65     1.07     0.78
YAKUTSK    241121 300  205500-210000   00     174.51 1018.3    194.85     0.66     0.36
YAKUTSK    241121 300  210000-210500   00     173.60 1018.3    193.89     0.16    -0.15
YAKUTSK    241121 300  210500-211000   00     173.63 1018.3    193.92     0.17    -0.14
YAKUTSK    241121 300  211000-211500   00     175.65 1018.3    196.21     1.36     1.04
YAKUTSK    241121 300  211500-212000   00     174.64 1018.3    195.04     0.75     0.43
YAKUTSK    241121 300  212000-212500   00     174.21 1018.3    194.48     0.46     0.14
YAKUTSK    241121 300  212500-213000   00     174.27 1018.2    194.45     0.45     0.12
YAKUTSK    241121 300  213000-213500   00     175.41 1018.2    195.76     1.12     0.79
YAKUTSK    241121 300  213500-214000   00     173.09 1018.3    193.33    -0.13    -0.47
YAKUTSK    241121 300  214000-214500   00     174.21 1018.4    194.69     0.57     0.22
YAKUTSK    241121 300  214500-215000   00     172.35 1018.4    192.64    -0.49    -0.84
YAKUTSK    241121 300  215000-215500   00     172.56 1018.5    192.93    -0.34    -0.70
YAKUTSK    241121 300  215500-220000   00     174.75 1018.5    195.41     0.94     0.58
YAKUTSK    241121 300  220000-220500   00     174.96 1018.5    195.65     1.07     0.70
YAKUTSK    241121 300  220500-221000   00     174.24 1018.5    194.85     0.66     0.28
YAKUTSK    241121 300  221000-221500   00     174.53 1018.5    195.17     0.82     0.44
YAKUTSK    241121 300  221500-222000   00     173.84 1018.5    194.48     0.46     0.07
YAKUTSK    241121 300  222000-222500   00     173.92 1018.5    194.43     0.44     0.04
YAKUTSK    241121 300  222500-223000   00     172.83 1018.4    193.17    -0.21    -0.61
YAKUTSK    241121 300  223000-223500   00     173.87 1018.5    194.43     0.44     0.03
YAKUTSK    241121 300  223500-224000   00     173.55 1018.5    194.11     0.27    -0.14
YAKUTSK    241121 300  224000-224500   00     174.11 1018.5    194.75     0.60     0.18
YAKUTSK    241121 300  224500-225000   00     174.64 1018.5    195.28     0.88     0.45
YAKUTSK    241121 300  225000-225500   00     173.23 1018.5    193.68     0.05    -0.38
YAKUTSK    241121 300  225500-230000   00     173.71 1018.5    194.24     0.34    -0.10
YAKUTSK    241121 300  230000-230500   00     173.60 1018.5    194.16     0.30    -0.14
YAKUTSK    241121 300  230500-231000   00     171.81 1018.6    192.24    -0.69    -1.14
YAKUTSK    241121 300  231000-231500   00     172.51 1018.6    193.04    -0.28    -0.73
YAKUTSK    241121 300  231500-232000   00     173.09 1018.6    193.73     0.08    -0.38
YAKUTSK    241121 300  232000-232500   00     173.89 1018.6    194.61     0.53     0.07
YAKUTSK    241121 300  232500-233000   00     175.63 1018.7    196.61     1.56     1.10
YAKUTSK    241121 300  233000-233500   00     174.37 1018.6    195.15     0.81     0.33
YAKUTSK    241121 300  233500-234000   00     172.29 1018.6    192.83    -0.39    -0.87
YAKUTSK    241121 300  234000-234500   00     175.39 1018.6    196.27     1.39     0.90
YAKUTSK    241121 300  234500-235000   00     172.03 1018.7    192.56    -0.53    -1.02
YAKUTSK    241121 300  235000-235500   00     174.21 1018.7    195.15     0.81     0.31
YAKUTSK    241121 300  235500-240000   00     173.57 1018.7    194.40     0.42    -0.08
YAKUTSK    241122 300  000000-000500   00     172.35 1018.8    193.15    -0.23    -0.73
YAKUTSK    241122 300  000500-001000   00     174.59 1018.8    195.63     1.06     0.54
YAKUTSK    241122 300  001000-001500   00     174.45 1018.8    195.47     0.97     0.45
YAKUTSK    241122 300  001500-002000   00     174.05 1018.8    195.07     0.77     0.24
YAKUTSK    241122 300  002000-002500   00     173.07 1018.8    193.92     0.17    -0.36
YAKUTSK    241122 300  002500-003000   00     174.45 1018.8    195.41     0.94     0.41
YAKUTSK    241122 300  003000-003500   00     174.13 1018.8    195.09     0.78     0.24
YAKUTSK    241122 300  003500-004000   00     175.44 1018.8    196.59     1.55     1.00
YAKUTSK    241122 300  004000-004500   00     173.92 1018.8    194.88     0.67     0.12
YAKUTSK    241122 300  004500-005000   00     175.07 1018.8    196.13     1.32     0.76
YAKUTSK    241122 300  005000-005500   00     172.96 1018.8    193.79     0.10    -0.46
YAKUTSK    241122 300  005500-010000   00     171.92 1018.7    192.56    -0.53    -1.10
YAKUTSK    241122 300  010000-010500   00     174.48 1018.7    195.33     0.90     0.33
YAKUTSK    241122 300  010500-011000   00     175.31 1018.6    196.21     1.36     0.78
