DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    986.6   MB     COEFFICIENT   -0.739    % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE     99.72      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    241121 300  183500-184000   00     111.36  969.5     98.13    -1.59    -0.99
DOURBES    241121 300  184000-184500   00     112.65  969.5     99.31    -0.41     0.22
DOURBES    241121 300  184500-185000   00     111.83  969.6     98.64    -1.08    -0.42
DOURBES    241121 300  185000-185500   00     113.53  969.7    100.19     0.47     1.16
DOURBES    241121 300  185500-190000   00     112.38  969.7     99.22    -0.50     0.21
DOURBES    241121 300  190000-190500   00     111.33  969.8     98.33    -1.39    -0.66
DOURBES    241121 300  190500-191000   00     111.81  969.8     98.80    -0.92    -0.17
DOURBES    241121 300  191000-191500   00     112.36  969.9     99.32    -0.40     0.38
DOURBES    241121 300  191500-192000   00     110.76  970.0     97.97    -1.75    -0.95
DOURBES    241121 300  192000-192500   00     113.37  970.1    100.39     0.67     1.50
DOURBES    241121 300  192500-193000   00     111.78  970.2     99.04    -0.69     0.16
DOURBES    241121 300  193000-193500   00     112.42  970.2     99.63    -0.09     0.79
DOURBES    241121 300  193500-194000   00     110.69  970.3     98.12    -1.60    -0.71
DOURBES    241121 300  194000-194500   00     109.37  970.3     97.00    -2.73    -1.82
DOURBES    241121 300  194500-195000   00     110.40  970.4     97.98    -1.75    -0.81
DOURBES    241121 300  195000-195500   00     110.28  970.5     97.96    -1.76    -0.80
DOURBES    241121 300  195500-200000   00     109.90  970.7     97.72    -2.00    -1.03
DOURBES    241121 300  200000-200500   00     110.96  970.7     98.71    -1.01    -0.02
DOURBES    241121 300  200500-201000   00     110.27  970.8     98.12    -1.60    -0.58
DOURBES    241121 300  201000-201500   00     111.70  970.9     99.49    -0.23     0.80
DOURBES    241121 300  201500-202000   00     111.14  971.0     99.04    -0.69     0.37
DOURBES    241121 300  202000-202500   00     110.33  971.1     98.41    -1.31    -0.24
DOURBES    241121 300  202500-203000   00     109.62  971.2     97.85    -1.87    -0.79
DOURBES    241121 300  203000-203500   00     111.43  971.3     99.52    -0.20     0.90
DOURBES    241121 300  203500-204000   00     110.37  971.4     98.65    -1.08     0.05
DOURBES    241121 300  204000-204500   00     110.15  971.5     98.54    -1.18    -0.04
DOURBES    241121 300  204500-205000   00     109.52  971.6     98.06    -1.66    -0.51
DOURBES    241121 300  205000-205500   00     110.11  971.7     98.63    -1.09     0.08
DOURBES    241121 300  205500-210000   00     110.04  971.8     98.64    -1.09     0.10
DOURBES    241121 300  210000-210500   00     110.96  971.9     99.57    -0.15     1.05
DOURBES    241121 300  210500-211000   00     110.05  972.0     98.80    -0.92     0.29
DOURBES    241121 300  211000-211500   00     109.83  972.1     98.69    -1.03     0.19
DOURBES    241121 300  211500-212000   00     110.52  972.2     99.36    -0.36     0.88
DOURBES    241121 300  212000-212500   00     110.22  972.3     99.18    -0.54     0.71
DOURBES    241121 300  212500-213000   00     109.33  972.4     98.44    -1.28    -0.02
DOURBES    241121 300  213000-213500   00     109.24  972.5     98.44    -1.28    -0.01
DOURBES    241121 300  213500-214000   00     108.85  972.5     98.12    -1.61    -0.32
DOURBES    241121 300  214000-214500   00     107.94  972.5     97.32    -2.41    -1.11
DOURBES    241121 300  214500-215000   00     106.92  972.6     96.46    -3.27    -1.96
DOURBES    241121 300  215000-215500   00     109.94  972.7     99.23    -0.49     0.83
DOURBES    241121 300  215500-220000   00     108.00  972.7     97.50    -2.22    -0.90
DOURBES    241121 300  220000-220500   00     108.11  972.8     97.62    -2.10    -0.77
DOURBES    241121 300  220500-221000   00     110.13  972.8     99.48    -0.24     1.10
DOURBES    241121 300  221000-221500   00     107.90  972.8     97.48    -2.25    -0.90
DOURBES    241121 300  221500-222000   00     108.43  972.9     98.02    -1.70    -0.34
DOURBES    241121 300  222000-222500   00     107.39  973.0     97.17    -2.56    -1.20
DOURBES    241121 300  222500-223000   00     109.34  973.1     99.01    -0.71     0.66
DOURBES    241121 300  223000-223500   00     108.57  973.2     98.33    -1.39    -0.01
DOURBES    241121 300  223500-224000   00     107.60  973.2     97.47    -2.26    -0.88
DOURBES    241121 300  224000-224500   00     109.53  973.2     99.25    -0.47     0.92
DOURBES    241121 300  224500-225000   00     107.77  973.3     97.68    -2.04    -0.65
DOURBES    241121 300  225000-225500   00     108.66  973.3     98.50    -1.22     0.18
DOURBES    241121 300  225500-230000   00     108.95  973.4     98.82    -0.90     0.50
DOURBES    241121 300  230000-230500   00     108.97  973.5     98.91    -0.82     0.59
DOURBES    241121 300  230500-231000   00     109.06  973.5     99.04    -0.68     0.73
DOURBES    241121 300  231000-231500   00     109.92  973.7     99.94     0.22     1.63
DOURBES    241121 300  231500-232000   00     105.51  973.8     96.01    -3.72    -2.31
DOURBES    241121 300  232000-232500   00     107.29  973.8     97.64    -2.08    -0.67
DOURBES    241121 300  232500-233000   00     107.57  973.9     97.96    -1.76    -0.34
DOURBES    241121 300  233000-233500   00     107.72  974.0     98.19    -1.53    -0.11
DOURBES    241121 300  233500-234000   00     106.71  974.2     97.35    -2.37    -0.96
DOURBES    241121 300  234000-234500   00     108.12  974.2     98.70    -1.02     0.40
