ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 MB     COEFFICIENT   -0.7      % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    117.79      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       241121 300  184500-185000   00     123.67 1003.4    118.75     0.81     1.18
ROME       241121 300  185000-185500   00     122.60 1003.3    117.64    -0.13     0.26
ROME       241121 300  185500-190000   00     124.02 1003.4    119.07     1.08     1.49
ROME       241121 300  190000-190500   00     121.38 1003.5    116.59    -1.02    -0.60
ROME       241121 300  190500-191000   00     123.06 1003.5    118.20     0.35     0.79
ROME       241121 300  191000-191500   00     123.69 1003.3    118.67     0.74     1.20
ROME       241121 300  191500-192000   00     122.01 1003.1    116.88    -0.77    -0.29
ROME       241121 300  192000-192500   00     120.87 1002.9    115.62    -1.85    -1.35
ROME       241121 300  192500-193000   00     123.05 1002.7    117.56    -0.20     0.32
ROME       241121 300  193000-193500   00     122.86 1002.8    117.45    -0.29     0.24
ROME       241121 300  193500-194000   00     122.24 1002.6    116.70    -0.93    -0.37
ROME       241121 300  194000-194500   00     123.92 1002.5    118.26     0.40     0.97
ROME       241121 300  194500-195000   00     122.34 1002.5    116.74    -0.90    -0.31
ROME       241121 300  195000-195500   00     122.59 1002.6    117.00    -0.67    -0.06
ROME       241121 300  195500-200000   00     122.57 1002.5    116.89    -0.76    -0.14
ROME       241121 300  200000-200500   00     123.43 1002.3    117.62    -0.14     0.50
ROME       241121 300  200500-201000   00     123.67 1002.3    117.81     0.01     0.68
ROME       241121 300  201000-201500   00     124.20 1002.3    118.29     0.42     1.10
ROME       241121 300  201500-202000   00     124.48 1002.1    118.43     0.54     1.24
ROME       241121 300  202000-202500   00     124.48 1001.9    118.25     0.39     1.11
ROME       241121 300  202500-203000   00     121.92 1002.2    116.11    -1.43    -0.69
ROME       241121 300  203000-203500   00     122.22 1002.4    116.54    -1.06    -0.30
ROME       241121 300  203500-204000   00     122.72 1002.2    116.88    -0.78     0.00
ROME       241121 300  204000-204500   00     124.33 1001.8    118.05     0.22     1.01
ROME       241121 300  204500-205000   00     121.80 1001.8    115.63    -1.84    -1.03
ROME       241121 300  205000-205500   00     121.07 1002.0    115.12    -2.27    -1.44
ROME       241121 300  205500-210000   00     122.08 1001.9    115.97    -1.55    -0.70
ROME       241121 300  210000-210500   00     122.06 1001.8    115.83    -1.66    -0.80
ROME       241121 300  210500-211000   00     121.92 1001.6    115.62    -1.84    -0.95
ROME       241121 300  211000-211500   00     121.20 1001.7    114.95    -2.41    -1.51
ROME       241121 300  211500-212000   00     121.21 1001.6    114.89    -2.46    -1.54
ROME       241121 300  212000-212500   00     121.86 1001.6    115.55    -1.90    -0.96
ROME       241121 300  212500-213000   00     122.16 1001.6    115.84    -1.66    -0.69
ROME       241121 300  213000-213500   00     122.78 1001.4    116.28    -1.29    -0.31
ROME       241121 300  213500-214000   00     121.53 1001.4    115.09    -2.29    -1.30
ROME       241121 300  214000-214500   00     123.53 1001.5    117.02    -0.66     0.36
ROME       241121 300  214500-215000   00     122.95 1001.4    116.38    -1.20    -0.17
ROME       241121 300  215000-215500   00     124.22 1001.3    117.50    -0.25     0.81
ROME       241121 300  215500-220000   00     123.67 1001.4    117.06    -0.62     0.45
ROME       241121 300  220000-220500   00     122.93 1001.4    116.34    -1.23    -0.14
ROME       241121 300  220500-221000   00     124.61 1001.3    117.89     0.08     1.19
ROME       241121 300  221000-221500   00     122.59 1001.3    115.99    -1.53    -0.40
ROME       241121 300  221500-222000   00     125.11 1001.3    118.40     0.52     1.66
ROME       241121 300  222000-222500   00     124.25 1001.4    117.59    -0.18     0.99
ROME       241121 300  222500-223000   00     123.22 1001.3    116.58    -1.03     0.16
ROME       241121 300  223000-223500   00     122.20 1001.3    115.57    -1.88    -0.68
ROME       241121 300  223500-224000   00     124.49 1001.2    117.71    -0.07     1.15
ROME       241121 300  224000-224500   00     121.87 1001.3    115.28    -2.14    -0.90
ROME       241121 300  224500-225000   00     123.37 1001.3    116.73    -0.91     0.35
ROME       241121 300  225000-225500   00     122.04 1001.2    115.35    -2.07    -0.80
ROME       241121 300  225500-230000   00     124.80 1001.0    117.79    -0.01     1.29
ROME       241121 300  230000-230500   00     123.07 1001.0    116.21    -1.35    -0.03
ROME       241121 300  230500-231000   00     126.31 1001.0    119.28     1.26     2.60
ROME       241121 300  231000-231500   00     124.09 1001.1    117.20    -0.51     0.84
ROME       241121 300  231500-232000   00     123.47 1001.0    116.55    -1.06     0.31
ROME       241121 300  232000-232500   00     125.19 1000.9    118.10     0.26     1.65
ROME       241121 300  232500-233000   00     123.74 1000.8    116.63    -0.99     0.42
ROME       241121 300  233000-233500   00     126.40 1000.6    119.02     1.04     2.47
ROME       241121 300  233500-234000   00     123.03 1000.7    115.87    -1.63    -0.19
ROME       241121 300  234000-234500   00     125.97 1000.6    118.58     0.67     2.13
ROME       241121 300  234500-235000   00     122.85 1000.5    115.60    -1.86    -0.39
ROME       241121 300  235000-235500   00     121.79 1000.4    114.53    -2.77    -1.27
ROME       241121 300  235500-240000   00     125.02 1000.3    117.49    -0.26     1.26
ROME       241122 300  000000-000500   00     123.96 1000.3    116.45    -1.14     0.39
ROME       241122 300  000500-001000   00     124.39 1000.2    116.76    -0.88     0.67
ROME       241122 300  001000-001500   00     122.88 1000.1    115.26    -2.15    -0.58
ROME       241122 300  001500-002000   00     125.91  999.9    118.00     0.18     1.77
ROME       241122 300  002000-002500   00     125.24  999.8    117.24    -0.47     1.14
ROME       241122 300  002500-003000   00     124.35  999.6    116.30    -1.27     0.36
ROME       241122 300  003000-003500   00     127.87  999.6    119.53     1.48     3.12
ROME       241122 300  003500-004000   00     125.90  999.5    117.62    -0.15     1.52
ROME       241122 300  004000-004500   00     124.51  999.4    116.24    -1.32     0.36
ROME       241122 300  004500-005000   00     124.46  999.5    116.25    -1.31     0.39
ROME       241122 300  005000-005500   00     125.84  999.5    117.56    -0.20     1.52
ROME       241122 300  005500-010000   00     123.01  999.5    114.90    -2.46    -0.72
ROME       241122 300  010000-010500   00     124.13  999.4    115.90    -1.61     0.15
ROME       241122 300  010500-011000   00     125.30  999.3    116.90    -0.76     1.01
ROME       241122 300  011000-011500   00     124.30  999.2    115.91    -1.60     0.20
ROME       241122 300  011500-012000   00     125.55  999.3    117.13    -0.57     1.25
ROME       241122 300  012000-012500   00     125.75  999.2    117.26    -0.45     1.38
ROME       241122 300  012500-013000   00     124.72  999.2    116.28    -1.28     0.56
ROME       241122 300  013000-013500   00     125.86  999.2    117.34    -0.39     1.48
ROME       241122 300  013500-014000   00     126.19  999.1    117.59    -0.17     1.71
ROME       241122 300  014000-014500   00     125.70  999.0    117.06    -0.62     1.28
ROME       241122 300  014500-015000   00     126.67  999.1    118.06     0.22     2.15
ROME       241122 300  015000-015500   00     125.48  999.1    116.91    -0.75     1.19
ROME       241122 300  015500-020000   00     125.29  999.1    116.72    -0.91     1.05
ROME       241122 3600 020000-030000   00     125.73  998.6    116.70    -0.93    -9999
ROME       241122 3600 030000-040000   00     126.38  997.6    116.51    -1.09    -9999
ROME       241122 3600 040000-050000   00     127.47  997.4    117.39    -0.34    -9999
ROME       241122 3600 050000-060000   00     126.95  997.3    116.77    -0.87    -9999
ROME       241122 3600 060000-070000   00     126.82  997.4    116.72    -0.91    -9999
ROME       241122 3600 070000-080000   00     126.90  997.5    116.94    -0.72    -9999
