DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.26      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       241121 300  184500-185000   00       3.28  638.1      4.18    -1.99    -2.89
DOMB       241121 300  185000-185500   00       3.63  638.1      4.56     6.92     5.99
DOMB       241121 300  185500-190000   00       3.57  638.1      4.49     5.20     4.24
DOMB       241121 300  190000-190500   00       3.67  638.2      4.60     7.78     6.79
DOMB       241121 300  190500-191000   00       3.68  638.3      4.61     8.21     7.19
DOMB       241121 300  191000-191500   00       3.63  638.3      4.56     6.96     5.91
DOMB       241121 300  191500-192000   00       3.65  638.4      4.58     7.39     6.31
DOMB       241121 300  192000-192500   00       3.55  638.4      4.47     4.85     3.75
DOMB       241121 300  192500-193000   00       3.50  638.5      4.42     3.60     2.47
DOMB       241121 300  193000-193500   00       3.57  638.6      4.49     5.28     4.13
DOMB       241121 300  193500-194000   00       3.47  638.6      4.38     2.70     1.53
DOMB       241121 300  194000-194500   00       3.58  638.6      4.51     5.67     4.47
DOMB       241121 300  194500-195000   00       3.38  638.6      4.29     0.51    -0.71
DOMB       241121 300  195000-195500   00       3.32  638.6      4.21    -1.21    -2.45
DOMB       241121 300  195500-200000   00       3.50  638.7      4.42     3.52     2.26
DOMB       241121 300  200000-200500   00       3.45  638.7      4.36     2.23     0.95
DOMB       241121 300  200500-201000   00       3.70  638.8      4.63     8.64     7.34
DOMB       241121 300  201000-201500   00       3.45  638.8      4.36     2.19     0.88
DOMB       241121 300  201500-202000   00       3.57  638.9      4.49     5.20     3.87
DOMB       241121 300  202000-202500   00       3.48  638.9      4.39     3.05     1.71
DOMB       241121 300  202500-203000   00       3.48  638.9      4.39     3.01     1.65
DOMB       241121 300  203000-203500   00       3.40  639.0      4.30     0.86    -0.51
DOMB       241121 300  203500-204000   00       3.30  639.0      4.19    -1.72    -3.10
DOMB       241121 300  204000-204500   00       3.48  639.0      4.39     2.97     1.57
DOMB       241121 300  204500-205000   00       3.55  639.1      4.46     4.69     3.28
DOMB       241121 300  205000-205500   00       3.58  639.2      4.50     5.55     4.13
DOMB       241121 300  205500-210000   00       3.48  639.3      4.39     2.97     1.54
DOMB       241121 300  210000-210500   00       3.33  639.4      4.23    -0.86    -2.30
DOMB       241121 300  210500-211000   00       3.67  639.4      4.59     7.70     6.25
DOMB       241121 300  211000-211500   00       3.38  639.4      4.28     0.35    -1.10
DOMB       241121 300  211500-212000   00       3.52  639.4      4.42     3.75     2.29
DOMB       241121 300  212000-212500   00       3.55  639.4      4.46     4.61     3.15
DOMB       241121 300  212500-213000   00       3.52  639.4      4.42     3.71     2.24
DOMB       241121 300  213000-213500   00       3.40  639.5      4.30     0.74    -0.73
DOMB       241121 300  213500-214000   00       3.35  639.6      4.24    -0.55    -2.02
DOMB       241121 300  214000-214500   00       3.27  639.6      4.15    -2.74    -4.22
DOMB       241121 300  214500-215000   00       3.30  639.6      4.18    -1.91    -3.40
DOMB       241121 300  215000-215500   00       3.18  639.6      4.05    -4.96    -6.45
DOMB       241121 300  215500-220000   00       3.35  639.7      4.24    -0.66    -2.15
DOMB       241121 300  220000-220500   00       3.63  639.7      4.55     6.64     5.16
DOMB       241121 300  220500-221000   00       3.32  639.8      4.20    -1.52    -3.00
DOMB       241121 300  221000-221500   00       3.47  639.9      4.37     2.38     0.91
DOMB       241121 300  221500-222000   00       3.53  639.9      4.44     4.06     2.59
DOMB       241121 300  222000-222500   00       3.60  639.9      4.51     5.74     4.27
DOMB       241121 300  222500-223000   00       3.52  639.9      4.42     3.56     2.09
DOMB       241121 300  223000-223500   00       3.47  639.9      4.36     2.23     0.77
DOMB       241121 300  223500-224000   00       3.43  639.9      4.32     1.33    -0.12
DOMB       241121 300  224000-224500   00       3.47  640.0      4.36     2.23     0.78
DOMB       241121 300  224500-225000   00       3.50  640.0      4.39     3.05     1.61
DOMB       241121 300  225000-225500   00       3.48  640.0      4.38     2.58     1.15
DOMB       241121 300  225500-230000   00       3.50  640.1      4.39     3.01     1.59
DOMB       241121 300  230000-230500   00       3.33  640.2      4.21    -1.33    -2.73
DOMB       241121 300  230500-231000   00       3.55  640.2      4.45     4.30     2.90
DOMB       241121 300  231000-231500   00       3.52  640.2      4.41     3.40     2.02
DOMB       241121 300  231500-232000   00       3.60  640.2      4.50     5.51     4.14
DOMB       241121 300  232000-232500   00       3.32  640.3      4.18    -1.88    -3.23
DOMB       241121 300  232500-233000   00       3.48  640.3      4.37     2.46     1.12
DOMB       241121 300  233000-233500   00       3.30  640.4      4.17    -2.31    -3.63
DOMB       241121 300  233500-234000   00       3.53  640.4      4.42     3.71     2.41
DOMB       241121 300  234000-234500   00       3.67  640.5      4.57     7.15     5.86
DOMB       241121 300  234500-235000   00       3.28  640.5      4.14    -2.85    -4.12
DOMB       241121 300  235000-235500   00       3.40  640.5      4.27     0.16    -1.09
DOMB       241121 300  235500-240000   00       3.67  640.6      4.57     7.11     5.88
DOMB       241122 300  000000-000500   00       3.53  640.7      4.42     3.63     2.42
