TIXIE-BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE-BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE-BAY  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
TIXIE-BAY  241121 3600 020000-030000   00      96.58 1006.5     93.42    -0.19    -9999
TIXIE-BAY  241121 3600 030000-040000   00      95.80 1006.5     92.67    -0.98    -9999
TIXIE-BAY  241121 3600 040000-050000   00      96.17 1006.5     93.02    -0.61    -9999
TIXIE-BAY  241121 3600 050000-060000   00      96.26 1006.5     93.11    -0.52    -9999
TIXIE-BAY  241121 3600 060000-070000   00      96.95 1006.5     93.78     0.20    -9999
TIXIE-BAY  241121 3600 070000-080000   00      96.14 1006.5     93.01    -0.62    -9999
TIXIE-BAY  241121 3600 080000-090000   00      96.09 1006.5     92.94    -0.69    -9999
TIXIE-BAY  241121 3600 090000-100000   00      95.94 1006.5     92.80    -0.84    -9999
TIXIE-BAY  241121 3600 100000-110000   00      96.32 1006.5     93.18    -0.44    -9999
TIXIE-BAY  241121 3600 110000-120000   00      96.31 1006.5     93.16    -0.46    -9999
TIXIE-BAY  241121 3600 120000-130000   00      96.65 1006.5     93.50    -0.10    -9999
TIXIE-BAY  241121 3600 130000-140000   00      96.50 1006.5     93.34    -0.27    -9999
TIXIE-BAY  241121 3600 140000-150000   00      96.65 1006.5     93.49    -0.11    -9999
TIXIE-BAY  241121 3600 150000-160000   00      96.31 1006.5     93.16    -0.46    -9999
TIXIE-BAY  241121 300  160000-160500   00      94.00 1006.5     90.91    -2.87    -2.93
TIXIE-BAY  241121 300  160500-161000   00      96.11 1006.5     92.93    -0.70    -0.76
TIXIE-BAY  241121 300  161000-161500   00      95.92 1006.5     92.77    -0.88    -0.92
TIXIE-BAY  241121 300  161500-162000   00      96.61 1006.5     93.47    -0.13    -0.17
TIXIE-BAY  241121 300  162000-162500   00      97.36 1006.5     94.19     0.64     0.60
TIXIE-BAY  241121 300  162500-163000   00      97.65 1006.5     94.48     0.95     0.93
TIXIE-BAY  241121 300  163000-163500   00      97.76 1006.5     94.56     1.03     1.02
TIXIE-BAY  241121 300  163500-164000   00      97.17 1006.5     94.00     0.44     0.43
TIXIE-BAY  241121 300  164000-164500   00      94.83 1006.5     91.73    -1.99    -1.98
TIXIE-BAY  241121 300  164500-165000   00      96.85 1006.5     93.65     0.06     0.08
TIXIE-BAY  241121 300  165000-165500   00      96.93 1006.5     93.76     0.18     0.20
TIXIE-BAY  241121 300  165500-170000   00      96.35 1006.5     93.20    -0.42    -0.39
TIXIE-BAY  241121 300  170000-170500   00      96.69 1006.5     93.57    -0.02     0.02
TIXIE-BAY  241121 300  170500-171000   00      96.53 1006.5     93.36    -0.25    -0.20
TIXIE-BAY  241121 300  171000-171500   00      96.00 1006.5     92.88    -0.76    -0.71
TIXIE-BAY  241121 300  171500-172000   00      97.55 1006.5     94.37     0.83     0.90
TIXIE-BAY  241121 300  172000-172500   00      97.47 1006.5     94.32     0.78     0.85
TIXIE-BAY  241121 300  172500-173000   00      97.12 1006.5     93.95     0.38     0.46
TIXIE-BAY  241121 300  173000-173500   00      96.99 1006.5     93.81     0.24     0.32
TIXIE-BAY  241121 300  173500-174000   00      96.45 1006.5     93.28    -0.33    -0.24
TIXIE-BAY  241121 300  174000-174500   00      98.53 1006.5     95.33     1.86     1.96
TIXIE-BAY  241121 300  174500-175000   00      97.04 1006.5     93.87     0.29     0.41
TIXIE-BAY  241121 300  175000-175500   00      97.73 1006.5     94.53     1.01     1.13
TIXIE-BAY  241121 300  175500-180000   00      96.45 1006.5     93.28    -0.33    -0.20
TIXIE-BAY  241121 300  180000-180500   00      97.76 1006.5     94.56     1.03     1.17
TIXIE-BAY  241121 300  180500-181000   00      98.16 1006.5     94.96     1.46     1.61
TIXIE-BAY  241121 300  181000-181500   00      97.09 1006.5     93.89     0.32     0.48
TIXIE-BAY  241121 300  181500-182000   00      96.32 1006.5     93.17    -0.45    -0.29
TIXIE-BAY  241121 300  182000-182500   00      98.48 1006.5     95.25     1.77     1.95
TIXIE-BAY  241121 300  182500-183000   00      96.08 1006.5     92.93    -0.70    -0.53
TIXIE-BAY  241121 300  183000-183500   00      98.05 1006.5     94.85     1.35     1.53
TIXIE-BAY  241121 300  183500-184000   00      98.59 1006.5     95.39     1.92     2.11
TIXIE-BAY  241121 300  184000-184500   00      96.67 1006.5     93.49    -0.11     0.10
TIXIE-BAY  241121 300  184500-185000   00      98.03 1006.5     94.83     1.32     1.53
TIXIE-BAY  241121 300  185000-185500   00      96.99 1006.5     93.79     0.21     0.43
TIXIE-BAY  241121 300  185500-190000   00      96.51 1006.5     93.36    -0.25    -0.02
TIXIE-BAY  241121 300  190000-190500   00      97.92 1006.5     94.72     1.21     1.44
TIXIE-BAY  241121 300  190500-191000   00      97.76 1006.5     94.56     1.03     1.28
TIXIE-BAY  241121 300  191000-191500   00      97.31 1006.5     94.16     0.61     0.86
TIXIE-BAY  241121 300  191500-192000   00      98.88 1006.5     95.63     2.17     2.44
TIXIE-BAY  241121 300  192000-192500   00      98.11 1006.5     94.91     1.40     1.68
TIXIE-BAY  241121 300  192500-193000   00      96.99 1006.5     93.84     0.26     0.54
TIXIE-BAY  241121 300  193000-193500   00      96.03 1006.5     92.88    -0.76    -0.47
TIXIE-BAY  241121 300  193500-194000   00      97.15 1006.5     93.97     0.41     0.70
TIXIE-BAY  241121 300  194000-194500   00      95.95 1006.5     92.80    -0.85    -0.54
TIXIE-BAY  241121 300  194500-195000   00      94.75 1006.5     91.63    -2.10    -1.79
TIXIE-BAY  241121 300  195000-195500   00      95.55 1006.5     92.43    -1.24    -0.92
TIXIE-BAY  241121 300  195500-200000   00      95.09 1006.5     92.00    -1.70    -1.37
TIXIE-BAY  241121 300  200000-200500   00      98.08 1006.5     94.88     1.38     1.71
TIXIE-BAY  241121 300  200500-201000   00      98.24 1006.5     95.04     1.55     1.89
TIXIE-BAY  241121 300  201000-201500   00      96.45 1006.5     93.31    -0.30     0.05
TIXIE-BAY  241121 300  201500-202000   00      97.41 1006.5     94.21     0.66     1.03
TIXIE-BAY  241121 300  202000-202500   00      96.64 1006.5     93.49    -0.11     0.27
TIXIE-BAY  241121 300  202500-203000   00      98.13 1006.5     94.93     1.43     1.81
TIXIE-BAY  241121 300  203000-203500   00      96.40 1006.5     93.25    -0.36     0.03
TIXIE-BAY  241121 300  203500-204000   00      97.55 1006.5     94.37     0.83     1.23
TIXIE-BAY  241121 300  204000-204500   00      95.68 1006.5     92.56    -1.10    -0.70
TIXIE-BAY  241121 300  204500-205000   00      97.79 1006.5     94.59     1.06     1.48
TIXIE-BAY  241121 300  205000-205500   00      97.23 1006.5     94.05     0.49     0.91
TIXIE-BAY  241121 300  205500-210000   00      97.87 1006.5     94.67     1.15     1.58
TIXIE-BAY  241121 300  210000-210500   00      97.01 1006.5     93.84     0.26     0.70
TIXIE-BAY  241121 300  210500-211000   00      96.13 1006.5     93.01    -0.62    -0.17
TIXIE-BAY  241121 300  211000-211500   00      95.76 1006.5     92.64    -1.02    -0.56
TIXIE-BAY  241121 300  211500-212000   00      95.55 1006.5     92.45    -1.22    -0.75
TIXIE-BAY  241121 300  212000-212500   00      95.57 1006.5     92.45    -1.22    -0.74
TIXIE-BAY  241121 300  212500-213000   00      96.32 1006.5     93.20    -0.42     0.06
TIXIE-BAY  241121 300  213000-213500   00      95.36 1006.5     92.24    -1.44    -0.96
TIXIE-BAY  241121 300  213500-214000   00      97.07 1006.5     93.89     0.32     0.82
TIXIE-BAY  241121 300  214000-214500   00      97.65 1006.5     94.45     0.92     1.43
TIXIE-BAY  241121 300  214500-215000   00      95.17 1006.5     92.08    -1.62    -1.10
TIXIE-BAY  241121 300  215000-215500   00      96.35 1006.5     93.17    -0.45     0.07
TIXIE-BAY  241121 300  215500-220000   00      96.29 1006.5     93.17    -0.45     0.08
TIXIE-BAY  241121 300  220000-220500   00      96.24 1006.5     93.07    -0.56    -0.02
TIXIE-BAY  241121 300  220500-221000   00      97.57 1006.5     94.37     0.83     1.38
TIXIE-BAY  241121 300  221000-221500   00      96.67 1006.5     93.52    -0.08     0.48
TIXIE-BAY  241121 300  221500-222000   00      95.60 1006.5     92.48    -1.19    -0.62
TIXIE-BAY  241121 300  222000-222500   00      96.03 1006.5     92.88    -0.76    -0.19
TIXIE-BAY  241121 300  222500-223000   00      96.40 1006.5     93.25    -0.36     0.22
TIXIE-BAY  241121 300  223000-223500   00      96.05 1006.5     92.88    -0.76    -0.17
TIXIE-BAY  241121 300  223500-224000   00      96.29 1006.5     93.15    -0.48     0.12
TIXIE-BAY  241121 300  224000-224500   00      96.64 1006.5     93.49    -0.11     0.50
TIXIE-BAY  241121 300  224500-225000   00      96.61 1006.5     93.44    -0.16     0.45
TIXIE-BAY  241121 300  225000-225500   00      94.69 1006.5     91.60    -2.13    -1.51
TIXIE-BAY  241121 300  225500-230000   00      96.21 1006.5     93.07    -0.56     0.07
TIXIE-BAY  241121 300  230000-230500   00      95.12 1006.5     92.00    -1.70    -1.06
TIXIE-BAY  241121 300  230500-231000   00      96.85 1006.5     93.68     0.09     0.74
TIXIE-BAY  241121 300  231000-231500   00      95.87 1006.5     92.72    -0.93    -0.28
TIXIE-BAY  241121 300  231500-232000   00      96.56 1006.5     93.44    -0.16     0.50
TIXIE-BAY  241121 300  232000-232500   00      95.92 1006.5     92.80    -0.85    -0.17
TIXIE-BAY  241121 300  232500-233000   00      96.00 1006.5     92.85    -0.79    -0.11
TIXIE-BAY  241121 300  233000-233500   00      96.67 1006.5     93.49    -0.11     0.58
TIXIE-BAY  241121 300  233500-234000   00      94.91 1006.5     91.81    -1.90    -1.20
TIXIE-BAY  241121 300  234000-234500   00      96.24 1006.5     93.09    -0.53     0.17
TIXIE-BAY  241121 300  234500-235000   00      97.41 1006.5     94.21     0.66     1.38
TIXIE-BAY  241121 300  235000-235500   00      95.65 1006.5     92.56    -1.10    -0.38
TIXIE-BAY  241121 300  235500-240000   00      95.25 1006.5     92.16    -1.53    -0.80
TIXIE-BAY  241122 300  000000-000500   00      95.92 1006.5     92.77    -0.88    -0.13
TIXIE-BAY  241122 300  000500-001000   00      95.84 1006.5     92.72    -0.93    -0.18
TIXIE-BAY  241122 300  001000-001500   00      95.57 1006.5     92.45    -1.22    -0.46
TIXIE-BAY  241122 300  001500-002000   00      97.36 1006.5     94.16     0.61     1.37
TIXIE-BAY  241122 300  002000-002500   00      94.93 1006.1     91.60    -2.13    -1.35
TIXIE-BAY  241122 300  002500-003000   00      95.87 1005.7     92.24    -1.44    -0.66
TIXIE-BAY  241122 300  003000-003500   00      94.88 1006.0     91.44    -2.30    -1.51
TIXIE-BAY  241122 300  003500-004000   00      93.68 1006.0     90.32    -3.50    -2.70
TIXIE-BAY  241122 300  004000-004500   00      96.00 1006.1     92.59    -1.07    -0.27
TIXIE-BAY  241122 300  004500-005000   00      95.76 1006.1     92.40    -1.27    -0.46
TIXIE-BAY  241122 300  005000-005500   00      95.23 1006.1     91.87    -1.84    -1.02
TIXIE-BAY  241122 300  005500-010000   00      95.55 1006.2     92.24    -1.44    -0.61
TIXIE-BAY  241122 300  010000-010500   00      93.68 1006.3     90.45    -3.35    -2.51
TIXIE-BAY  241122 300  010500-011000   00      94.24 1006.3     91.07    -2.70    -1.85
TIXIE-BAY  241122 300  011000-011500   00      95.25 1006.4     92.08    -1.62    -0.76
TIXIE-BAY  241122 300  011500-012000   00      94.72 1006.4     91.57    -2.16    -1.29
TIXIE-BAY  241122 300  012000-012500   00      95.57 1006.4     92.40    -1.27    -0.40
TIXIE-BAY  241122 300  012500-013000   00      93.25 1006.5     90.21    -3.61    -2.73
TIXIE-BAY  241122 300  013000-013500   00      96.13 1006.4     92.93    -0.70     0.19
TIXIE-BAY  241122 300  013500-014000   00      95.09 1006.5     91.95    -1.76    -0.86
TIXIE-BAY  241122 300  014000-014500   00      95.25 1006.5     92.11    -1.59    -0.68
TIXIE-BAY  241122 300  014500-015000   00      95.09 1006.5     92.03    -1.67    -0.76
TIXIE-BAY  241122 300  015000-015500   00      94.45 1006.4     91.31    -2.44    -1.52
TIXIE-BAY  241122 300  015500-020000   00      94.51 1006.3     91.31    -2.44    -1.51
TIXIE-BAY  241122 3600 020000-030000   00      95.09 1006.0     91.68    -2.04    -9999
TIXIE-BAY  241122 3600 030000-040000   00      94.97 1006.7     92.01    -1.69    -9999
TIXIE-BAY  241122 3600 040000-050000   00      94.27 1007.5     91.87    -1.84    -9999
TIXIE-BAY  241122 3600 050000-060000   00      94.14 1008.2     92.23    -1.46    -9999
TIXIE-BAY  241122 3600 060000-070000   00      93.59 1008.4     91.77    -1.95    -9999
TIXIE-BAY  241122 3600 070000-080000   00      93.87 1008.7     92.24    -1.44    -9999
TIXIE-BAY  241122 3600 080000-090000   00      93.92 1009.0     92.50    -1.17    -9999
TIXIE-BAY  241122 3600 090000-100000   00      93.54 1009.2     92.26    -1.42    -9999
TIXIE-BAY  241122 3600 100000-110000   00      93.21 1009.2     91.97    -1.73    -9999
TIXIE-BAY  241122 3600 110000-120000   00      92.84 1009.2     91.55    -2.18    -9999
TIXIE-BAY  241122 3600 120000-130000   00      92.49 1009.0     91.12    -2.64    -9999
TIXIE-BAY  241122 3600 130000-140000   00      92.78 1009.0     91.37    -2.37    -9999
TIXIE-BAY  241122 3600 140000-150000   00      92.54 1009.3     91.35    -2.40    -9999
TIXIE-BAY  241122 3600 150000-160000   00      92.20 1009.9     91.40    -2.34    -9999
TIXIE-BAY  241122 3600 160000-170000   00      91.74 1010.4     91.29    -2.46    -9999
TIXIE-BAY  241122 3600 170000-180000   00      91.68 1010.8     91.46    -2.28    -9999
TIXIE-BAY  241122 3600 180000-190000   00      92.32 1011.2     92.35    -1.33    -9999
TIXIE-BAY  241122 3600 190000-200000   00      92.00 1011.6     92.30    -1.38    -9999
TIXIE-BAY  241122 3600 200000-210000   00      91.26 1012.0     91.86    -1.86    -9999
TIXIE-BAY  241122 3600 210000-220000   00      91.06 1012.2     91.74    -1.98    -9999
TIXIE-BAY  241122 3600 220000-230000   00      91.35 1012.1     92.03    -1.67    -9999
TIXIE-BAY  241122 3600 230000-240000   00      91.45 1012.1     92.08    -1.62    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076TXBY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
