MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    778.58  MB     COEFFICIENT   -0.95     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    212.26      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 241121 300  181000-181500   00     212.37  778.2    211.64    -0.29    -0.29
MEXICOCITY 241121 300  181500-182000   00     213.15  778.1    212.29     0.02     0.02
MEXICOCITY 241121 300  182000-182500   00     213.01  778.1    212.09    -0.08    -0.08
MEXICOCITY 241121 300  182500-183000   00     214.30  778.0    213.25     0.47     0.47
MEXICOCITY 241121 300  183000-183500   00     214.80  777.9    213.60     0.63     0.63
MEXICOCITY 241121 300  183500-184000   00     216.16  777.8    214.80     1.20     1.20
MEXICOCITY 241121 300  184000-184500   00     209.64  777.7    208.20    -1.91    -1.91
MEXICOCITY 241121 300  184500-185000   00     213.30  777.6    211.71    -0.26    -0.26
MEXICOCITY 241121 300  185000-185500   00     212.98  777.6    211.37    -0.42    -0.42
MEXICOCITY 241121 300  185500-190000   00     214.40  777.5    212.59     0.16     0.16
MEXICOCITY 241121 300  190000-190500   00     216.49  777.4    214.61     1.11     1.11
MEXICOCITY 241121 300  190500-191000   00     214.69  777.4    212.76     0.24     0.24
MEXICOCITY 241121 300  191000-191500   00     214.87  777.3    212.82     0.27     0.27
MEXICOCITY 241121 300  191500-192000   00     215.75  777.3    213.60     0.63     0.63
MEXICOCITY 241121 300  192000-192500   00     214.07  777.2    211.81    -0.21    -0.21
MEXICOCITY 241121 300  192500-193000   00     214.46  777.1    212.08    -0.08    -0.08
MEXICOCITY 241121 300  193000-193500   00     216.59  777.1    214.19     0.91     0.91
MEXICOCITY 241121 300  193500-194000   00     212.79  777.0    210.28    -0.93    -0.93
MEXICOCITY 241121 300  194000-194500   00     214.78  777.0    212.21    -0.02    -0.02
MEXICOCITY 241121 300  194500-195000   00     215.41  776.9    212.72     0.22     0.22
MEXICOCITY 241121 300  195000-195500   00     216.20  776.8    213.37     0.52     0.52
MEXICOCITY 241121 300  195500-200000   00     216.41  776.7    213.43     0.55     0.55
MEXICOCITY 241121 300  200000-200500   00     212.85  776.6    209.79    -1.16    -1.16
MEXICOCITY 241121 300  200500-201000   00     215.51  776.6    212.36     0.05     0.05
MEXICOCITY 241121 300  201000-201500   00     216.40  776.6    213.18     0.44     0.44
MEXICOCITY 241121 300  201500-202000   00     218.17  776.5    214.86     1.23     1.23
MEXICOCITY 241121 300  202000-202500   00     217.21  776.5    213.89     0.77     0.77
MEXICOCITY 241121 300  202500-203000   00     213.83  776.5    210.55    -0.80    -0.80
MEXICOCITY 241121 300  203000-203500   00     214.52  776.5    211.23    -0.48    -0.48
MEXICOCITY 241121 300  203500-204000   00     215.67  776.4    212.25     0.00     0.00
MEXICOCITY 241121 300  204000-204500   00     215.45  776.4    212.06    -0.09    -0.09
MEXICOCITY 241121 300  204500-205000   00     214.20  776.4    210.76    -0.70    -0.70
MEXICOCITY 241121 300  205000-205500   00     216.70  776.4    213.20     0.44     0.44
MEXICOCITY 241121 300  205500-210000   00     217.23  776.3    213.62     0.64     0.64
MEXICOCITY 241121 300  210000-210500   00     214.80  776.3    211.18    -0.51    -0.51
MEXICOCITY 241121 300  210500-211000   00     215.51  776.2    211.78    -0.22    -0.22
MEXICOCITY 241121 300  211000-211500   00     215.05  776.2    211.31    -0.45    -0.45
MEXICOCITY 241121 300  211500-212000   00     216.59  776.2    212.82     0.26     0.26
MEXICOCITY 241121 300  212000-212500   00     214.83  776.1    210.94    -0.62    -0.62
MEXICOCITY 241121 300  212500-213000   00     217.28  776.1    213.34     0.51     0.51
MEXICOCITY 241121 300  213000-213500   00     215.15  776.1    211.25    -0.48    -0.48
