APATITY LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY STANDARD PRESSURE    1010    MB     COEFFICIENT   -0.73     % / MB
APATITY PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
APATITY PRE-INCREASE AVERAGE COUNTING RATE    158.86      COUNTS PER SECOND
APATITY TIME INTERVALS    300         3600     
APATITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY 240608 300  040500-041000   00     172.62  988.1    158.44    -0.26    -0.49
APATITY 240608 300  041000-041500   00     174.04  988.1    159.71     0.53     0.31
APATITY 240608 300  041500-042000   00     173.05  988.1    158.78    -0.05    -0.28
APATITY 240608 300  042000-042500   00     173.29  988.1    159.01     0.10    -0.14
APATITY 240608 300  042500-043000   00     174.36  988.0    159.98     0.71     0.46
APATITY 240608 300  043000-043500   00     174.95  988.1    160.55     1.06     0.81
APATITY 240608 300  043500-044000   00     175.00  988.1    160.59     1.09     0.83
APATITY 240608 300  044000-044500   00     174.22  988.0    159.84     0.62     0.35
APATITY 240608 300  044500-045000   00     173.43  988.0    159.11     0.16    -0.11
APATITY 240608 300  045000-045500   00     173.21  988.0    158.92     0.04    -0.24
APATITY 240608 300  045500-050000   00     173.94  988.1    159.60     0.47     0.19
APATITY 240608 300  050000-050500   00     172.25  988.1    158.10    -0.47    -0.76
APATITY 240608 300  050500-051000   00     173.91  988.1    159.66     0.51     0.21
APATITY 240608 300  051000-051500   00     174.15  988.1    159.90     0.66     0.36
APATITY 240608 300  051500-052000   00     173.87  988.1    159.64     0.49     0.18
APATITY 240608 300  052000-052500   00     172.75  988.1    158.60    -0.16    -0.48
APATITY 240608 300  052500-053000   00     173.85  988.1    159.58     0.45     0.13
APATITY 240608 300  053000-053500   00     174.50  988.1    160.15     0.81     0.49
APATITY 240608 300  053500-054000   00     174.38  988.1    160.05     0.75     0.42
APATITY 240608 300  054000-054500   00     173.16  988.0    158.84    -0.01    -0.35
