SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    680     MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    124.67      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 240608 300  032000-032500   00     135.91  669.5    125.82     0.92     0.57
SOPO-6NM64 240608 300  032500-033000   00     136.26  669.6    126.18     1.21     0.84
SOPO-6NM64 240608 300  033000-033500   00     136.69  669.6    126.64     1.58     1.19
SOPO-6NM64 240608 300  033500-034000   00     135.84  669.6    125.83     0.93     0.53
SOPO-6NM64 240608 300  034000-034500   00     135.41  669.5    125.31     0.51     0.10
SOPO-6NM64 240608 300  034500-035000   00     135.08  669.5    124.99     0.25    -0.18
SOPO-6NM64 240608 300  035000-035500   00     135.28  669.4    125.16     0.39    -0.05
SOPO-6NM64 240608 300  035500-040000   00     135.56  669.4    125.33     0.53     0.07
SOPO-6NM64 240608 300  040000-040500   00     135.83  669.3    125.53     0.69     0.22
SOPO-6NM64 240608 300  040500-041000   00     134.99  669.3    124.78     0.09    -0.40
SOPO-6NM64 240608 300  041000-041500   00     136.43  669.4    126.17     1.20     0.70
SOPO-6NM64 240608 300  041500-042000   00     136.06  669.5    125.94     1.02     0.50
SOPO-6NM64 240608 300  042000-042500   00     135.61  669.6    125.66     0.79     0.26
SOPO-6NM64 240608 300  042500-043000   00     134.43  669.7    124.62    -0.04    -0.59
SOPO-6NM64 240608 300  043000-043500   00     134.65  669.7    124.82     0.12    -0.44
SOPO-6NM64 240608 300  043500-044000   00     135.94  669.7    126.00     1.07     0.50
SOPO-6NM64 240608 300  044000-044500   00     135.54  669.7    125.62     0.76     0.17
SOPO-6NM64 240608 300  044500-045000   00     135.28  669.6    125.35     0.55    -0.05
SOPO-6NM64 240608 300  045000-045500   00     135.24  669.7    125.41     0.59    -0.02
SOPO-6NM64 240608 300  045500-050000   00     135.50  669.7    125.64     0.78     0.15
SOPO-6NM64 240608 300  050000-050500   00     133.87  669.7    124.14    -0.42    -1.07
SOPO-6NM64 240608 300  050500-051000   00     134.39  669.7    124.62    -0.04    -0.70
SOPO-6NM64 240608 300  051000-051500   00     134.13  669.8    124.44    -0.18    -0.85
SOPO-6NM64 240608 300  051500-052000   00     135.25  669.8    125.43     0.61    -0.07
SOPO-6NM64 240608 300  052000-052500   00     135.30  669.7    125.45     0.62    -0.08
SOPO-6NM64 240608 300  052500-053000   00     135.46  669.8    125.66     0.79     0.08
SOPO-6NM64 240608 300  053000-053500   00     134.35  669.8    124.67     0.00    -0.72
SOPO-6NM64 240608 300  053500-054000   00     134.87  669.8    125.15     0.39    -0.35
SOPO-6NM64 240608 300  054000-054500   00     136.17  669.7    126.27     1.28     0.53
SOPO-6NM64 240608 300  054500-055000   00     135.74  669.7    125.85     0.95     0.18
SOPO-6NM64 240608 300  055000-055500   00     134.38  669.8    124.67     0.00    -0.78
SOPO-6NM64 240608 300  055500-060000   00     134.56  669.8    124.87     0.16    -0.64
SOPO-6NM64 240608 300  060000-060500   00     135.57  669.9    125.84     0.94     0.13
SOPO-6NM64 240608 300  060500-061000   00     134.80  670.0    125.23     0.45    -0.38
SOPO-6NM64 240608 300  061000-061500   00     135.71  670.1    126.14     1.17     0.34
SOPO-6NM64 240608 300  061500-062000   00     134.57  670.2    125.17     0.40    -0.45
SOPO-6NM64 240608 300  062000-062500   00     135.35  670.2    125.96     1.03     0.17
SOPO-6NM64 240608 300  062500-063000   00     135.89  670.3    126.52     1.48     0.60
SOPO-6NM64 240608 300  063000-063500   00     134.69  670.3    125.42     0.60    -0.29
SOPO-6NM64 240608 300  063500-064000   00     136.13  670.4    126.82     1.73     0.82
SOPO-6NM64 240608 300  064000-064500   00     134.74  670.4    125.51     0.67    -0.25
SOPO-6NM64 240608 300  064500-065000   00     135.52  670.4    126.24     1.26     0.32
SOPO-6NM64 240608 300  065000-065500   00     134.09  670.4    124.95     0.22    -0.73
SOPO-6NM64 240608 300  065500-070000   00     136.17  670.5    126.96     1.83     0.87
SOPO-6NM64 240608 300  070000-070500   00     135.17  670.5    126.04     1.10     0.12
SOPO-6NM64 240608 300  070500-071000   00     134.74  670.5    125.63     0.77    -0.23
SOPO-6NM64 240608 300  071000-071500   00     134.59  670.6    125.56     0.71    -0.30
SOPO-6NM64 240608 300  071500-072000   00     135.59  670.7    126.59     1.54     0.51
SOPO-6NM64 240608 300  072000-072500   00     134.45  670.7    125.54     0.70    -0.34
SOPO-6NM64 240608 300  072500-073000   00     135.19  670.8    126.37     1.37     0.32
SOPO-6NM64 240608 300  073000-073500   00     135.01  670.9    126.25     1.27     0.20
SOPO-6NM64 240608 300  073500-074000   00     135.45  670.9    126.67     1.61     0.53
SOPO-6NM64 240608 300  074000-074500   00     135.41  670.9    126.66     1.60     0.50
SOPO-6NM64 240608 300  074500-075000   00     134.82  670.8    126.04     1.10    -0.01
SOPO-6NM64 240608 300  075000-075500   00     134.73  670.8    125.89     0.98    -0.14
SOPO-6NM64 240608 300  075500-080000   00     135.35  670.8    126.49     1.46     0.32
SOPO-6NM64 240608 300  080000-080500   00     134.74  670.9    126.00     1.07    -0.08
SOPO-6NM64 240608 300  080500-081000   00     135.34  671.0    126.64     1.58     0.42
SOPO-6NM64 240608 300  081000-081500   00     135.11  671.1    126.54     1.50     0.32
SOPO-6NM64 240608 300  081500-082000   00     135.36  671.2    126.86     1.76     0.57
SOPO-6NM64 240608 300  082000-082500   00     134.38  671.2    125.99     1.06    -0.15
SOPO-6NM64 240608 300  082500-083000   00     135.15  671.3    126.77     1.68     0.47
SOPO-6NM64 240608 300  083000-083500   00     134.13  671.3    125.78     0.89    -0.34
SOPO-6NM64 240608 300  083500-084000   00     134.59  671.2    126.16     1.19    -0.05
SOPO-6NM64 240608 300  084000-084500   00     134.40  671.3    126.05     1.11    -0.15
SOPO-6NM64 240608 300  084500-085000   00     134.94  671.4    126.64     1.58     0.30
SOPO-6NM64 240608 300  085000-085500   00     134.29  671.4    126.06     1.12    -0.17
SOPO-6NM64 240608 300  085500-090000   00     134.22  671.4    126.00     1.07    -0.24
SOPO-6NM64 240608 300  090000-090500   00     134.76  671.3    126.43     1.41     0.10
SOPO-6NM64 240608 300  090500-091000   00     135.51  671.3    127.11     1.96     0.63
