MAWSONB    LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSONB    INSTRUMENT   6NM64B    NEUTRON MONITOR
MAWSONB    STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSONB    240608 300  011000-011500   00      27.10  961.7     22.18    -0.95    -0.97
MAWSONB    240608 300  011500-012000   00      27.60  961.6     22.57     0.80     0.76
MAWSONB    240608 300  012000-012500   00      27.83  961.2     22.70     1.40     1.35
MAWSONB    240608 300  012500-013000   00      27.81  960.5     22.57     0.80     0.74
MAWSONB    240608 300  013000-013500   00      27.78  960.8     22.59     0.90     0.82
MAWSONB    240608 300  013500-014000   00      27.44  961.1     22.37    -0.10    -0.19
MAWSONB    240608 300  014000-014500   00      27.70  961.0     22.57     0.81     0.71
MAWSONB    240608 300  014500-015000   00      27.57  960.7     22.41     0.08    -0.04
MAWSONB    240608 300  015000-015500   00      27.78  960.8     22.59     0.88     0.75
MAWSONB    240608 300  015500-020000   00      27.75  960.6     22.53     0.63     0.49
MAWSONB    240608 300  020000-020500   00      27.41  960.7     22.28    -0.50    -0.65
MAWSONB    240608 300  020500-021000   00      28.16  960.8     22.89     2.26     2.09
MAWSONB    240608 300  021000-021500   00      27.25  960.7     22.14    -1.12    -1.30
MAWSONB    240608 300  021500-022000   00      27.78  960.2     22.50     0.50     0.30
MAWSONB    240608 300  022000-022500   00      28.07  960.2     22.73     1.52     1.32
MAWSONB    240608 300  022500-023000   00      28.17  959.8     22.75     1.63     1.41
MAWSONB    240608 300  023000-023500   00      28.08  959.6     22.64     1.14     0.90
MAWSONB    240608 300  023500-024000   00      28.16  959.5     22.70     1.37     1.12
MAWSONB    240608 300  024000-024500   00      27.82  959.2     22.37    -0.09    -0.35
MAWSONB    240608 300  024500-025000   00      27.98  958.9     22.44     0.24    -0.04
MAWSONB    240608 300  025000-025500   00      28.32  959.1     22.77     1.68     1.40
MAWSONB    240608 300  025500-030000   00      28.36  959.3     22.82     1.91     1.61
MAWSONB    240608 300  030000-030500   00      27.81  959.5     22.40     0.06    -0.26
MAWSONB    240608 300  030500-031000   00      27.83  959.1     22.36    -0.11    -0.44
MAWSONB    240608 300  031000-031500   00      27.74  960.0     22.43     0.17    -0.17
MAWSONB    240608 300  031500-032000   00      28.16  959.8     22.73     1.51     1.16
MAWSONB    240608 300  032000-032500   00      27.82  960.6     22.60     0.93     0.57
MAWSONB    240608 300  032500-033000   00      28.62  960.1     23.16     3.43     3.04
MAWSONB    240608 300  033000-033500   00      27.53  960.0     22.27    -0.54    -0.93
MAWSONB    240608 300  033500-034000   00      27.75  960.4     22.51     0.56     0.15
MAWSONB    240608 300  034000-034500   00      28.63  959.9     23.14     3.36     2.94
MAWSONB    240608 300  034500-035000   00      27.30  960.7     22.18    -0.93    -1.37
MAWSONB    240608 300  035000-035500   00      27.81  961.4     22.70     1.40     0.95
MAWSONB    240608 300  035500-040000   00      27.63  962.2     22.71     1.42     0.96
MAWSONB    240608 300  040000-040500   00      27.83  962.1     22.84     2.03     1.56
MAWSONB    240608 300  040500-041000   00      27.40  961.3     22.36    -0.14    -0.63
MAWSONB    240608 300  041000-041500   00      27.65  962.0     22.68     1.30     0.80
MAWSONB    240608 300  041500-042000   00      27.43  962.2     22.53     0.63     0.12
MAWSONB    240608 300  042000-042500   00      27.20  963.4     22.52     0.60     0.08
MAWSONB    240608 300  042500-043000   00      27.18  963.0     22.45     0.29    -0.25
MAWSONB    240608 300  043000-043500   00      27.50  963.0     22.71     1.45     0.90
MAWSONB    240608 300  043500-044000   00      27.31  963.1     22.57     0.82     0.25
MAWSONB    240608 300  044000-044500   00      27.06  963.0     22.36    -0.15    -0.73
MAWSONB    240608 300  044500-045000   00      27.39  962.3     22.51     0.55    -0.04
MAWSONB    240608 300  045000-045500   00      27.61  962.9     22.79     1.79     1.18
MAWSONB    240608 300  045500-050000   00      26.97  963.3     22.33    -0.25    -0.88
MAWSONB    240608 300  050000-050500   00      27.47  963.4     22.76     1.64     1.01
MAWSONB    240608 300  050500-051000   00      27.01  963.2     22.34    -0.23    -0.87
MAWSONB    240608 300  051000-051500   00      27.22  963.4     22.55     0.72     0.06
MAWSONB    240608 300  051500-052000   00      26.81  963.4     22.21    -0.78    -1.46
MAWSONB    240608 300  052000-052500   00      27.26  963.5     22.60     0.93     0.25
MAWSONB    240608 300  052500-053000   00      27.12  963.3     22.46     0.31    -0.39
MAWSONB    240608 300  053000-053500   00      27.70  963.4     22.95     2.52     1.80
MAWSONB    240608 300  053500-054000   00      27.43  963.2     22.69     1.34     0.62
MAWSONB    240608 300  054000-054500   00      27.46  963.0     22.69     1.34     0.60
MAWSONB    240608 300  054500-055000   00      27.23  963.0     22.48     0.41    -0.35
MAWSONB    240608 300  055000-055500   00      27.40  962.9     22.61     0.99     0.22
MAWSONB    240608 300  055500-060000   00      27.56  963.0     22.76     1.68     0.89
MAWSONB    240608 300  060000-060500   00      27.48  963.1     22.71     1.45     0.66
MAWSONB    240608 300  060500-061000   00      27.19  963.1     22.48     0.42    -0.38
MAWSONB    240608 300  061000-061500   00      26.81  963.0     22.15    -1.07    -1.89
MAWSONB    240608 300  061500-062000   00      27.46  962.7     22.64     1.11     0.28
MAWSONB    240608 300  062000-062500   00      27.77  962.4     22.84     2.01     1.17
MAWSONB    240608 300  062500-063000   00      27.77  962.0     22.78     1.75     0.89
MAWSONB    240608 300  063000-063500   00      27.57  962.1     22.63     1.07     0.19
MAWSONB    240608 300  063500-064000   00      27.49  961.9     22.53     0.63    -0.26
MAWSONB    240608 300  064000-064500   00      27.08  961.5     22.13    -1.15    -2.05
MAWSONB    240608 300  064500-065000   00      27.65  961.4     22.58     0.84    -0.08
MAWSONB    240608 300  065000-065500   00      27.01  961.3     22.04    -1.57    -2.49
MAWSONB    240608 300  065500-070000   00      27.62  961.3     22.53     0.63    -0.31
MAWSONB    240608 300  070000-070500   00      27.85  961.2     22.71     1.43     0.48
MAWSONB    240608 300  070500-071000   00      27.51  961.0     22.41     0.11    -0.86
MAWSONB    240608 300  071000-071500   00      27.94  961.0     22.75     1.61     0.63
MAWSONB    240608 300  071500-072000   00      27.37  961.0     22.30    -0.42    -1.41
MAWSONB    240608 300  072000-072500   00      27.94  960.8     22.72     1.47     0.46
MAWSONB    240608 300  072500-073000   00      27.89  960.8     22.68     1.31     0.29
MAWSONB    240608 300  073000-073500   00      28.09  960.5     22.80     1.82     0.78
MAWSONB    240608 300  073500-074000   00      27.49  960.5     22.31    -0.36    -1.41
MAWSONB    240608 300  074000-074500   00      27.69  960.5     22.47     0.38    -0.68
MAWSONB    240608 300  074500-075000   00      27.95  960.6     22.69     1.35     0.28
MAWSONB    240608 300  075000-075500   00      27.54  960.5     22.36    -0.14    -1.23
MAWSONB    240608 300  075500-080000   00      27.94  960.5     22.67     1.26     0.16
MAWSONB    240608 300  080000-080500   00      28.26  960.6     22.94     2.46     1.35
MAWSONB    240608 300  080500-081000   00      28.21  960.5     22.90     2.27     1.15
MAWSONB    240608 300  081000-081500   00      28.21  960.5     22.89     2.24     1.10
MAWSONB    240608 300  081500-082000   00      27.87  960.2     22.57     0.79    -0.36
MAWSONB    240608 300  082000-082500   00      28.17  960.2     22.81     1.88     0.71
MAWSONB    240608 300  082500-083000   00      28.06  960.2     22.73     1.52     0.34
MAWSONB    240608 300  083000-083500   00      27.98  960.5     22.70     1.39     0.20
MAWSONB    240608 300  083500-084000   00      27.99  960.4     22.70     1.37     0.16
MAWSONB    240608 300  084000-084500   00      28.06  960.1     22.72     1.46     0.24
MAWSONB    240608 300  084500-085000   00      28.10  960.3     22.78     1.74     0.50
MAWSONB    240608 300  085000-085500   00      27.42  960.2     22.20    -0.83    -2.08
MAWSONB    240608 300  085500-090000   00      27.74  960.1     22.45     0.28    -0.98
MAWSONB    240608 300  090000-090500   00      28.04  960.2     22.70     1.41     0.13
MAWSONB    240608 300  090500-091000   00      28.05  960.0     22.69     1.33     0.04
MAWSONB    240608 300  091000-091500   00      28.16  960.0     22.78     1.74     0.44
MAWSONB    240608 300  091500-092000   00      28.31  959.9     22.88     2.20     0.89
MAWSONB    240608 300  092000-092500   00      28.60  960.1     23.15     3.40     2.07
MAWSONB    240608 300  092500-093000   00      27.83  960.0     22.51     0.52    -0.82
MAWSONB    240608 300  093000-093500   00      27.67  959.9     22.36    -0.14    -1.49
MAWSONB    240608 300  093500-094000   00      28.43  959.8     22.96     2.53     1.17
MAWSONB    240608 300  094000-094500   00      28.60  959.5     23.05     2.93     1.55
MAWSONB    240608 300  094500-095000   00      28.35  959.6     22.86     2.11     0.72
MAWSONB    240608 300  095000-095500   00      28.64  959.4     23.06     3.01     1.60
MAWSONB    240608 300  095500-100000   00      27.51  959.4     22.15    -1.06    -2.48
MAWSONB    240608 300  100000-100500   00      28.03  959.6     22.60     0.95    -0.48
MAWSONB    240608 300  100500-101000   00      28.35  959.4     22.83     1.99     0.54
MAWSONB    240608 300  101000-101500   00      28.85  959.4     23.23     3.76     2.30
MAWSONB    240608 300  101500-102000   00      28.72  959.4     23.12     3.28     1.81
MAWSONB    240608 300  102000-102500   00      27.67  959.4     22.28    -0.50    -1.98
MAWSONB    240608 300  102500-103000   00      27.96  959.0     22.45     0.25    -1.24
MAWSONB    240608 300  103000-103500   00      27.60  959.2     22.20    -0.86    -2.37
MAWSONB    240608 300  103500-104000   00      27.86  959.7     22.47     0.38    -1.15
MAWSONB    240608 300  104000-104500   00      28.18  959.9     22.77     1.69     0.15
MAWSONB    240608 300  104500-105000   00      28.43  959.9     22.98     2.64     1.09
MAWSONB    240608 300  105000-105500   00      28.07  959.8     22.66     1.22    -0.35
MAWSONB    240608 300  105500-110000   00      28.21  959.9     22.80     1.82     0.24
MAWSONB    240608 300  110000-110500   00      28.42  959.8     22.95     2.49     0.90
MAWSONB    240608 300  110500-111000   00      28.45  959.8     22.97     2.60     1.00
MAWSONB    240608 300  111000-111500   00      28.18  959.8     22.75     1.60    -0.02
MAWSONB    240608 300  111500-112000   00      28.39  959.9     22.94     2.44     0.81
MAWSONB    240608 300  112000-112500   00      28.08  959.8     22.68     1.31    -9999
MAWSONB    240608 300  112500-113000   00      27.76  959.8     22.42     0.15    -9999
MAWSONB    240608 300  113000-113500   00      28.34  959.8     22.89     2.22    -9999
MAWSONB    240608 300  113500-114000   00      28.77  959.9     23.25     3.85    -9999
MAWSONB    240608 300  114000-114500   00      28.32  959.8     22.86     2.10    -9999
MAWSONB    240608 300  114500-115000   00      28.45  960.1     23.02     2.80    -9999
MAWSONB    240608 300  115000-115500   00      28.02  960.3     22.72     1.47    -9999
MAWSONB    240608 300  115500-120000   00      27.97  960.2     22.65     1.18    -9999
MAWSONB    240608 3600 120000-130000   00      28.00  960.3     22.70     1.38    -9999
MAWSONB    240608 3600 130000-140000   00      27.86  961.5     22.77     1.72    -9999
MAWSONB    240608 3600 140000-150000   00      27.56  962.6     22.70     1.41    -9999
MAWSONB    240608 3600 150000-160000   00      27.62  962.9     22.80     1.84    -9999
MAWSONB    240608 3600 160000-170000   00      27.57  963.4     22.84     2.00    -9999
MAWSONB    240608 3600 170000-180000   00      27.43  964.1     22.84     2.04    -9999
MAWSONB    240608 3600 180000-190000   00      27.23  965.0     22.82     1.93    -9999
MAWSONB    240608 3600 190000-200000   00      27.01  965.8     22.75     1.60    -9999
MAWSONB    240608 3600 200000-210000   00      26.87  966.8     22.80     1.84    -9999
MAWSONB    240608 3600 210000-220000   00      26.58  967.9     22.72     1.48    -9999
MAWSONB    240608 3600 220000-230000   00      26.31  969.3     22.72     1.48    -9999
MAWSONB    240608 3600 230000-240000   00      25.98  971.9     22.86     2.10    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075MWSB_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
