SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.74     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    261.47      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 240607 3600 000000-010000   00     287.55  666.0    259.00    -0.94    -9999
SOUTH-POLE 240607 3600 010000-020000   00     289.27  665.5    259.50    -0.75    -9999
SOUTH-POLE 240607 3600 020000-030000   00     290.58  665.1    259.98    -0.57    -9999
SOUTH-POLE 240607 3600 030000-040000   00     290.88  664.8    259.57    -0.73    -9999
SOUTH-POLE 240607 3600 040000-050000   00     291.57  664.6    259.92    -0.59    -9999
SOUTH-POLE 240607 3600 050000-060000   00     292.10  664.5    260.05    -0.54    -9999
SOUTH-POLE 240607 3600 060000-070000   00     292.81  664.3    260.36    -0.42    -9999
SOUTH-POLE 240607 3600 070000-080000   00     293.58  664.1    260.74    -0.28    -9999
SOUTH-POLE 240607 3600 080000-090000   00     294.17  664.0    260.91    -0.21    -9999
SOUTH-POLE 240607 3600 090000-100000   00     293.83  663.8    260.41    -0.40    -9999
SOUTH-POLE 240607 3600 100000-110000   00     293.56  664.0    260.39    -0.41    -9999
SOUTH-POLE 240607 3600 110000-120000   00     294.01  664.2    261.20    -0.10    -9999
SOUTH-POLE 240607 3600 120000-130000   00     293.80  664.3    261.24    -0.09    -9999
SOUTH-POLE 240607 3600 130000-140000   00     293.37  664.5    261.25    -0.08    -9999
SOUTH-POLE 240607 3600 140000-150000   00     292.28  664.8    260.90    -0.22    -9999
SOUTH-POLE 240607 3600 150000-160000   00     291.69  665.0    260.85    -0.24    -9999
SOUTH-POLE 240607 3600 160000-170000   00     292.50  665.1    261.67     0.08    -9999
SOUTH-POLE 240607 3600 170000-180000   00     291.29  665.6    261.50     0.01    -9999
SOUTH-POLE 240607 3600 180000-190000   00     290.09  666.0    261.27    -0.07    -9999
SOUTH-POLE 240607 3600 190000-200000   00     288.58  666.5    260.96    -0.19    -9999
SOUTH-POLE 240607 3600 200000-210000   00     288.04  667.0    261.43    -0.01    -9999
SOUTH-POLE 240607 3600 210000-220000   00     287.83  667.0    261.28    -0.07    -9999
SOUTH-POLE 240607 3600 220000-230000   00     286.16  667.9    261.40    -0.03    -9999
SOUTH-POLE 240607 3600 230000-240000   00     286.27  668.5    262.62     0.44    -9999
SOUTH-POLE 240608 300  000000-000500   00     286.51  668.4    262.64     0.45     0.54
SOUTH-POLE 240608 300  000500-001000   00     287.65  668.3    263.57     0.81     0.88
SOUTH-POLE 240608 300  001000-001500   00     287.68  668.2    263.44     0.76     0.83
SOUTH-POLE 240608 300  001500-002000   00     284.55  668.2    260.58    -0.34    -0.28
SOUTH-POLE 240608 300  002000-002500   00     282.92  668.2    259.09    -0.91    -0.86
SOUTH-POLE 240608 300  002500-003000   00     286.97  668.2    262.80     0.51     0.55
SOUTH-POLE 240608 300  003000-003500   00     285.00  668.3    261.10    -0.14    -0.11
SOUTH-POLE 240608 300  003500-004000   00     284.62  668.4    260.91    -0.21    -0.19
SOUTH-POLE 240608 300  004000-004500   00     284.02  668.4    260.51    -0.37    -0.35
SOUTH-POLE 240608 300  004500-005000   00     286.71  668.6    263.34     0.72     0.73
SOUTH-POLE 240608 300  005000-005500   00     283.97  668.7    260.93    -0.20    -0.20
SOUTH-POLE 240608 300  005500-010000   00     283.84  668.7    260.92    -0.21    -0.22
SOUTH-POLE 240608 300  010000-010500   00     284.39  668.6    261.22    -0.10    -0.11
SOUTH-POLE 240608 300  010500-011000   00     286.23  668.5    262.74     0.49     0.46
SOUTH-POLE 240608 300  011000-011500   00     286.89  668.6    263.51     0.78     0.75
SOUTH-POLE 240608 300  011500-012000   00     284.37  668.6    261.20    -0.10    -0.15
SOUTH-POLE 240608 300  012000-012500   00     283.40  668.6    260.31    -0.44    -0.49
SOUTH-POLE 240608 300  012500-013000   00     283.06  668.7    260.15    -0.50    -0.56
SOUTH-POLE 240608 300  013000-013500   00     283.87  668.7    260.84    -0.24    -0.31
SOUTH-POLE 240608 300  013500-014000   00     284.39  668.6    261.22    -0.09    -0.17
SOUTH-POLE 240608 300  014000-014500   00     284.53  668.7    261.55     0.03    -0.05
SOUTH-POLE 240608 300  014500-015000   00     283.86  668.8    260.99    -0.18    -0.28
SOUTH-POLE 240608 300  015000-015500   00     284.72  668.8    261.78     0.12     0.02
SOUTH-POLE 240608 300  015500-020000   00     282.63  668.8    259.86    -0.62    -0.73
SOUTH-POLE 240608 300  020000-020500   00     286.23  668.9    263.43     0.75     0.63
SOUTH-POLE 240608 300  020500-021000   00     284.38  669.0    261.94     0.18     0.05
SOUTH-POLE 240608 300  021000-021500   00     287.61  668.9    264.75     1.26     1.12
SOUTH-POLE 240608 300  021500-022000   00     286.32  669.0    263.78     0.88     0.74
SOUTH-POLE 240608 300  022000-022500   00     284.65  669.0    262.24     0.30     0.14
SOUTH-POLE 240608 300  022500-023000   00     290.01  669.1    267.29     2.23     2.06
SOUTH-POLE 240608 300  023000-023500   00     288.91  669.1    266.27     1.84     1.67
SOUTH-POLE 240608 300  023500-024000   00     289.38  669.1    266.75     2.02     1.84
SOUTH-POLE 240608 300  024000-024500   00     289.88  669.0    267.11     2.16     1.97
SOUTH-POLE 240608 300  024500-025000   00     287.24  669.0    264.68     1.23     1.03
SOUTH-POLE 240608 300  025000-025500   00     285.99  669.1    263.63     0.83     0.62
SOUTH-POLE 240608 300  025500-030000   00     287.92  669.1    265.52     1.55     1.34
SOUTH-POLE 240608 300  030000-030500   00     286.89  669.2    264.73     1.25     1.02
SOUTH-POLE 240608 300  030500-031000   00     284.69  669.4    262.96     0.57     0.34
SOUTH-POLE 240608 300  031000-031500   00     284.56  669.4    262.94     0.56     0.32
SOUTH-POLE 240608 300  031500-032000   00     284.68  669.4    263.11     0.63     0.38
SOUTH-POLE 240608 300  032000-032500   00     286.96  669.5    265.43     1.51     1.26
SOUTH-POLE 240608 300  032500-033000   00     284.73  669.6    263.41     0.74     0.48
SOUTH-POLE 240608 300  033000-033500   00     285.91  669.7    264.72     1.24     0.97
SOUTH-POLE 240608 300  033500-034000   00     284.90  669.6    263.63     0.83     0.54
SOUTH-POLE 240608 300  034000-034500   00     283.65  669.5    262.21     0.28    -0.01
SOUTH-POLE 240608 300  034500-035000   00     287.46  669.4    265.63     1.59     1.29
SOUTH-POLE 240608 300  035000-035500   00     286.81  669.4    265.02     1.36     1.05
SOUTH-POLE 240608 300  035500-040000   00     288.23  669.3    266.17     1.80     1.48
SOUTH-POLE 240608 300  040000-040500   00     284.87  669.3    262.96     0.57     0.25
SOUTH-POLE 240608 300  040500-041000   00     285.62  669.3    263.72     0.86     0.53
SOUTH-POLE 240608 300  041000-041500   00     281.69  669.4    260.29    -0.45    -0.79
SOUTH-POLE 240608 300  041500-042000   00     283.77  669.5    262.42     0.37     0.01
SOUTH-POLE 240608 300  042000-042500   00     283.52  669.7    262.51     0.40     0.04
SOUTH-POLE 240608 300  042500-043000   00     282.52  669.7    261.58     0.04    -0.32
SOUTH-POLE 240608 300  043000-043500   00     282.21  669.7    261.29    -0.07    -0.44
SOUTH-POLE 240608 300  043500-044000   00     283.53  669.7    262.51     0.40     0.01
SOUTH-POLE 240608 300  044000-044500   00     282.67  669.7    261.72     0.10    -0.30
SOUTH-POLE 240608 300  044500-045000   00     282.40  669.7    261.53     0.02    -0.38
SOUTH-POLE 240608 300  045000-045500   00     284.02  669.8    263.23     0.67     0.26
SOUTH-POLE 240608 300  045500-050000   00     285.78  669.8    264.81     1.28     0.86
SOUTH-POLE 240608 300  050000-050500   00     284.88  669.8    263.93     0.94     0.51
SOUTH-POLE 240608 300  050500-051000   00     283.72  669.8    262.90     0.55     0.11
SOUTH-POLE 240608 300  051000-051500   00     283.42  669.8    262.67     0.46     0.02
SOUTH-POLE 240608 300  051500-052000   00     281.47  669.7    260.71    -0.29    -0.74
SOUTH-POLE 240608 300  052000-052500   00     282.82  669.7    261.92     0.17    -0.29
SOUTH-POLE 240608 300  052500-053000   00     284.17  669.8    263.38     0.73     0.26
SOUTH-POLE 240608 300  053000-053500   00     282.06  669.8    261.41    -0.02    -0.50
SOUTH-POLE 240608 300  053500-054000   00     283.48  669.8    262.74     0.49     0.00
SOUTH-POLE 240608 300  054000-054500   00     283.36  669.7    262.42     0.36    -0.13
SOUTH-POLE 240608 300  054500-055000   00     282.37  669.7    261.55     0.03    -0.47
SOUTH-POLE 240608 300  055000-055500   00     283.80  669.8    263.03     0.60     0.08
SOUTH-POLE 240608 300  055500-060000   00     283.14  669.8    262.47     0.38    -0.14
SOUTH-POLE 240608 300  060000-060500   00     283.42  669.9    262.94     0.56     0.03
SOUTH-POLE 240608 300  060500-061000   00     284.52  670.0    264.12     1.02     0.48
SOUTH-POLE 240608 300  061000-061500   00     282.67  670.1    262.51     0.40    -0.15
SOUTH-POLE 240608 300  061500-062000   00     284.05  670.2    264.00     0.97     0.41
SOUTH-POLE 240608 300  062000-062500   00     282.31  670.2    262.49     0.39    -0.17
SOUTH-POLE 240608 300  062500-063000   00     285.10  670.3    265.30     1.47     0.89
SOUTH-POLE 240608 300  063000-063500   00     283.35  670.3    263.67     0.84     0.26
SOUTH-POLE 240608 300  063500-064000   00     283.42  670.3    263.73     0.87     0.28
SOUTH-POLE 240608 300  064000-064500   00     283.94  670.3    264.22     1.05     0.45
SOUTH-POLE 240608 300  064500-065000   00     282.81  670.3    263.16     0.65     0.04
SOUTH-POLE 240608 300  065000-065500   00     283.26  670.4    263.74     0.87     0.25
SOUTH-POLE 240608 300  065500-070000   00     283.07  670.5    263.67     0.84     0.22
SOUTH-POLE 240608 300  070000-070500   00     282.10  670.5    262.76     0.50    -0.14
