Fort-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort-SMITH STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
Fort-SMITH PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
Fort-SMITH PRE-INCREASE AVERAGE COUNTING RATE    196.03      COUNTS PER SECOND
Fort-SMITH TIME INTERVALS    300         3600     
Fort-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
Fort-SMITH 240608 300  033000-033500   00     228.12  991.8    194.85    -0.60    -0.54
Fort-SMITH 240608 300  033500-034000   00     230.50  992.0    197.08     0.53     0.60
Fort-SMITH 240608 300  034000-034500   00     231.12  992.0    197.65     0.83     0.90
Fort-SMITH 240608 300  034500-035000   00     226.83  992.1    194.06    -1.01    -0.93
Fort-SMITH 240608 300  035000-035500   00     228.68  992.1    195.71    -0.16    -0.09
Fort-SMITH 240608 300  035500-040000   00     230.61  992.1    197.40     0.70     0.78
Fort-SMITH 240608 300  040000-040500   00     229.94  992.2    196.94     0.47     0.55
Fort-SMITH 240608 300  040500-041000   00     225.21  992.2    192.95    -1.57    -1.49
Fort-SMITH 240608 300  041000-041500   00     227.93  992.3    195.32    -0.36    -0.27
Fort-SMITH 240608 300  041500-042000   00     227.75  992.4    195.29    -0.38    -0.29
Fort-SMITH 240608 300  042000-042500   00     228.46  992.4    195.99    -0.02     0.07
Fort-SMITH 240608 300  042500-043000   00     227.60  992.5    195.38    -0.33    -0.24
Fort-SMITH 240608 300  043000-043500   00     229.72  992.5    197.19     0.59     0.69
Fort-SMITH 240608 300  043500-044000   00     226.52  992.5    194.45    -0.81    -0.70
Fort-SMITH 240608 300  044000-044500   00     231.15  992.5    198.48     1.25     1.36
Fort-SMITH 240608 300  044500-045000   00     230.12  992.5    197.59     0.80     0.91
Fort-SMITH 240608 300  045000-045500   00     226.14  992.5    194.18    -0.94    -0.83
Fort-SMITH 240608 300  045500-050000   00     226.19  992.6    194.28    -0.89    -0.77
Fort-SMITH 240608 300  050000-050500   00     230.47  992.6    197.95     0.98     1.10
Fort-SMITH 240608 300  050500-051000   00     226.93  992.6    194.88    -0.58    -0.46
Fort-SMITH 240608 300  051000-051500   00     226.67  992.6    194.69    -0.68    -0.56
Fort-SMITH 240608 300  051500-052000   00     229.57  992.6    197.22     0.61     0.74
Fort-SMITH 240608 300  052000-052500   00     226.95  992.6    194.93    -0.56    -0.43
Fort-SMITH 240608 300  052500-053000   00     227.81  992.5    195.61    -0.21    -0.07
Fort-SMITH 240608 300  053000-053500   00     229.60  992.5    197.14     0.57     0.71
Fort-SMITH 240608 300  053500-054000   00     226.83  992.6    194.81    -0.62    -0.48
Fort-SMITH 240608 300  054000-054500   00     229.41  992.6    197.00     0.50     0.64
Fort-SMITH 240608 300  054500-055000   00     226.41  992.6    194.46    -0.80    -0.65
Fort-SMITH 240608 300  055000-055500   00     226.70  992.6    194.71    -0.67    -0.52
Fort-SMITH 240608 300  055500-060000   00     228.67  992.6    196.42     0.20     0.36
Fort-SMITH 240608 300  060000-060500   00     228.50  992.6    196.27     0.12     0.28
Fort-SMITH 240608 300  060500-061000   00     227.94  992.6    195.82    -0.11     0.06
Fort-SMITH 240608 300  061000-061500   00     223.76  992.6    192.26    -1.92    -1.75
Fort-SMITH 240608 300  061500-062000   00     225.69  992.7    193.98    -1.05    -0.87
Fort-SMITH 240608 300  062000-062500   00     227.29  992.7    195.39    -0.33    -0.15
Fort-SMITH 240608 300  062500-063000   00     226.01  992.7    194.27    -0.90    -0.72
Fort-SMITH 240608 300  063000-063500   00     228.00  992.7    195.98    -0.03     0.16
Fort-SMITH 240608 300  063500-064000   00     227.43  992.7    195.51    -0.26    -0.07
Fort-SMITH 240608 300  064000-064500   00     228.45  992.6    196.29     0.13     0.33
Fort-SMITH 240608 300  064500-065000   00     225.67  992.7    193.92    -1.07    -0.88
Fort-SMITH 240608 300  065000-065500   00     228.25  992.7    196.20     0.09     0.29
Fort-SMITH 240608 300  065500-070000   00     226.68  992.7    194.88    -0.59    -0.38
Fort-SMITH 240608 300  070000-070500   00     225.35  992.8    193.85    -1.11    -0.90
Fort-SMITH 240608 300  070500-071000   00     227.82  992.8    196.03     0.00     0.21
Fort-SMITH 240608 300  071000-071500   00     227.01  992.8    195.32    -0.36    -0.14
Fort-SMITH 240608 300  071500-072000   00     226.74  992.8    195.12    -0.46    -0.24
Fort-SMITH 240608 300  072000-072500   00     227.82  992.9    196.08     0.02     0.25
Fort-SMITH 240608 300  072500-073000   00     226.27  992.9    194.82    -0.61    -0.38
Fort-SMITH 240608 300  073000-073500   00     224.31  993.0    193.24    -1.42    -1.19
Fort-SMITH 240608 300  073500-074000   00     226.79  993.1    195.64    -0.20     0.04
Fort-SMITH 240608 300  074000-074500   00     226.79  993.2    195.71    -0.16     0.08
Fort-SMITH 240608 300  074500-075000   00     227.71  993.2    196.50     0.24     0.49
Fort-SMITH 240608 300  075000-075500   00     225.27  993.2    194.41    -0.82    -0.57
Fort-SMITH 240608 300  075500-080000   00     227.12  993.3    196.09     0.03     0.29
Fort-SMITH 240608 300  080000-080500   00     226.17  993.3    195.34    -0.35    -0.09
Fort-SMITH 240608 300  080500-081000   00     227.17  993.3    196.23     0.10     0.37
Fort-SMITH 240608 300  081000-081500   00     226.72  993.4    195.92    -0.06     0.22
Fort-SMITH 240608 300  081500-082000   00     225.18  993.4    194.65    -0.70    -0.42
Fort-SMITH 240608 300  082000-082500   00     228.08  993.5    197.20     0.60     0.88
Fort-SMITH 240608 300  082500-083000   00     227.81  993.5    196.97     0.48     0.77
Fort-SMITH 240608 300  083000-083500   00     227.21  993.5    196.50     0.24     0.53
Fort-SMITH 240608 300  083500-084000   00     225.47  993.6    195.09    -0.48    -0.18
Fort-SMITH 240608 300  084000-084500   00     225.48  993.6    195.22    -0.41    -0.11
