OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     98.10      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       240607 3600 000000-010000   00      92.40 1007.5     97.83    -0.27    -9999
OULU       240607 3600 010000-020000   00      91.98 1007.5     97.42    -0.70    -9999
OULU       240607 3600 020000-030000   00      92.10 1007.5     97.52    -0.60    -9999
OULU       240607 3600 030000-040000   00      91.70 1007.3     96.98    -1.14    -9999
OULU       240607 3600 040000-050000   00      92.12 1007.1     97.28    -0.83    -9999
OULU       240607 3600 050000-060000   00      92.05 1007.0     97.10    -1.02    -9999
OULU       240607 3600 060000-070000   00      92.65 1007.1     97.82    -0.29    -9999
OULU       240607 3600 070000-080000   00      92.28 1007.3     97.63    -0.48    -9999
OULU       240607 3600 080000-090000   00      92.00 1007.7     97.58    -0.53    -9999
OULU       240607 3600 090000-100000   00      92.00 1007.9     97.68    -0.43    -9999
OULU       240607 3600 100000-110000   00      91.95 1008.0     97.73    -0.38    -9999
OULU       240607 3600 110000-120000   00      91.48 1008.0     97.28    -0.83    -9999
OULU       240607 3600 120000-130000   00      91.53 1008.1     97.35    -0.77    -9999
OULU       240607 3600 130000-140000   00      91.72 1008.2     97.63    -0.48    -9999
OULU       240607 3600 140000-150000   00      91.75 1008.0     97.50    -0.61    -9999
OULU       240607 3600 150000-160000   00      91.73 1007.6     97.22    -0.90    -9999
OULU       240607 3600 160000-170000   00      91.87 1007.5     97.27    -0.85    -9999
OULU       240607 3600 170000-180000   00      91.87 1007.3     97.17    -0.95    -9999
OULU       240607 3600 180000-190000   00      92.37 1007.3     97.67    -0.44    -9999
OULU       240607 3600 190000-200000   00      92.07 1007.3     97.38    -0.73    -9999
OULU       240607 3600 200000-210000   00      92.42 1007.7     98.00    -0.10    -9999
OULU       240607 3600 210000-220000   00      92.17 1007.9     97.87    -0.24    -9999
OULU       240607 3600 220000-230000   00      92.45 1007.8     98.13     0.03    -9999
OULU       240607 3600 230000-240000   00      92.05 1007.7     97.60    -0.51    -9999
OULU       240608 300  000000-000500   00      94.57 1007.5    100.18     2.12     2.12
OULU       240608 300  000500-001000   00      90.68 1007.5     96.07    -2.07    -2.07
OULU       240608 300  001000-001500   00      92.42 1007.5     97.90    -0.21    -0.21
