MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE    220.89      COUNTS PER SECOND
MAWSON     TIME INTERVALS    300         3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     240607 3600 000000-010000   00     205.25  993.2    220.40    -0.22    -9999
MAWSON     240607 3600 010000-020000   00     205.13  993.4    220.64    -0.12    -9999
MAWSON     240607 3600 020000-030000   00     205.08  993.7    221.07     0.08    -9999
MAWSON     240607 3600 030000-040000   00     204.16  994.2    220.85    -0.02    -9999
MAWSON     240607 3600 040000-050000   00     203.78  994.2    220.43    -0.21    -9999
MAWSON     240607 3600 050000-060000   00     204.58  993.8    220.72    -0.08    -9999
MAWSON     240607 3600 060000-070000   00     206.75  992.8    221.47     0.26    -9999
MAWSON     240607 3600 070000-080000   00     207.90  991.8    221.08     0.08    -9999
MAWSON     240607 3600 080000-090000   00     208.07  991.2    220.30    -0.27    -9999
MAWSON     240607 3600 090000-100000   00     209.01  990.8    220.66    -0.11    -9999
MAWSON     240607 3600 100000-110000   00     211.23  990.3    222.28     0.63    -9999
MAWSON     240607 3600 110000-120000   00     212.34  988.6    220.70    -0.09    -9999
MAWSON     240607 3600 120000-130000   00     213.91  987.7    220.92     0.01    -9999
MAWSON     240607 3600 130000-140000   00     211.57  989.1    220.75    -0.07    -9999
MAWSON     240607 3600 140000-150000   00     213.90  987.9    221.25     0.16    -9999
MAWSON     240607 3600 150000-160000   00     219.19  983.5    219.75    -0.52    -9999
MAWSON     240607 3600 160000-170000   00     224.25  980.2    219.62    -0.58    -9999
MAWSON     240607 3600 170000-180000   00     227.03  978.5    219.78    -0.50    -9999
MAWSON     240607 3600 180000-190000   00     228.20  977.5    219.25    -0.75    -9999
MAWSON     240607 3600 190000-200000   00     232.29  975.4    220.01    -0.40    -9999
MAWSON     240607 3600 200000-210000   00     236.46  973.6    220.99     0.04    -9999
MAWSON     240607 3600 210000-220000   00     239.68  971.7    221.13     0.11    -9999
MAWSON     240607 3600 220000-230000   00     241.50  970.5    220.84    -0.03    -9999
MAWSON     240607 3600 230000-240000   00     247.21  967.7    221.58     0.31    -9999
MAWSON     240608 300  000000-000500   00     249.51  965.7    220.54    -0.16     0.17
MAWSON     240608 300  000500-001000   00     248.87  965.5    219.69    -0.55    -0.24
MAWSON     240608 300  001000-001500   00     251.96  965.3    222.05     0.52     0.79
MAWSON     240608 300  001500-002000   00     251.71  965.1    221.53     0.29     0.52
MAWSON     240608 300  002000-002500   00     251.18  964.8    220.68    -0.10     0.11
MAWSON     240608 300  002500-003000   00     253.03  964.3    221.47     0.26     0.44
MAWSON     240608 300  003000-003500   00     253.29  964.2    221.48     0.27     0.42
MAWSON     240608 300  003500-004000   00     253.03  963.9    220.80    -0.04     0.08
MAWSON     240608 300  004000-004500   00     254.03  963.7    221.34     0.20     0.29
MAWSON     240608 300  004500-005000   00     253.25  963.5    220.42    -0.22    -0.16
MAWSON     240608 300  005000-005500   00     255.14  963.0    221.30     0.18     0.22
MAWSON     240608 300  005500-010000   00     255.09  962.6    220.59    -0.14    -0.13
MAWSON     240608 300  010000-010500   00     254.81  962.3    219.89    -0.45    -0.48
MAWSON     240608 300  010500-011000   00     258.19  962.2    222.68     0.81     0.76
MAWSON     240608 300  011000-011500   00     254.68  961.7    218.79    -0.95    -1.03
