MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSON     240608 300  011500-012000   00     257.14  961.6    220.78    -0.05    -0.16
MAWSON     240608 300  012000-012500   00     257.44  961.2    220.50    -0.18    -0.31
MAWSON     240608 300  012500-013000   00     258.97  960.5    220.72    -0.08    -0.24
MAWSON     240608 300  013000-013500   00     257.09  960.8    219.53    -0.62    -0.81
MAWSON     240608 300  013500-014000   00     256.85  961.1    219.87    -0.46    -0.68
MAWSON     240608 300  014000-014500   00     259.50  961.0    221.96     0.48     0.24
MAWSON     240608 300  014500-015000   00     258.64  960.7    220.68    -0.10    -0.36
MAWSON     240608 300  015000-015500   00     259.71  960.8    221.72     0.38     0.09
MAWSON     240608 300  015500-020000   00     260.94  960.6    222.44     0.70     0.38
MAWSON     240608 300  020000-020500   00     258.97  960.7    221.06     0.07    -0.26
MAWSON     240608 300  020500-021000   00     261.25  960.8    223.03     0.97     0.60
MAWSON     240608 300  021000-021500   00     260.96  960.7    222.62     0.78     0.39
MAWSON     240608 300  021500-022000   00     261.09  960.2    222.01     0.51     0.09
MAWSON     240608 300  022000-022500   00     260.37  960.2    221.37     0.22    -0.22
MAWSON     240608 300  022500-023000   00     264.98  959.8    224.69     1.72     1.26
MAWSON     240608 300  023000-023500   00     262.01  959.6    221.84     0.43    -0.05
MAWSON     240608 300  023500-024000   00     264.91  959.5    224.21     1.50     1.00
MAWSON     240608 300  024000-024500   00     263.51  959.2    222.44     0.70     0.17
MAWSON     240608 300  024500-025000   00     267.03  958.9    224.89     1.81     1.26
MAWSON     240608 300  025000-025500   00     265.61  959.1    224.17     1.48     0.91
MAWSON     240608 300  025500-030000   00     263.60  959.3    222.72     0.83     0.23
MAWSON     240608 300  030000-030500   00     264.26  959.5    223.53     1.19     0.58
MAWSON     240608 300  030500-031000   00     263.43  959.1    222.28     0.63    -0.01
MAWSON     240608 300  031000-031500   00     262.23  960.0    222.62     0.78     0.12
MAWSON     240608 300  031500-032000   00     261.37  959.8    221.55     0.30    -0.38
MAWSON     240608 300  032000-032500   00     263.28  960.6    224.57     1.66     0.97
MAWSON     240608 300  032500-033000   00     262.16  960.1    222.67     0.81     0.09
MAWSON     240608 300  033000-033500   00     261.29  960.0    221.90     0.45    -0.28
MAWSON     240608 300  033500-034000   00     262.62  960.4    223.65     1.25     0.50
MAWSON     240608 300  034000-034500   00     262.61  959.9    222.89     0.91     0.13
MAWSON     240608 300  034500-035000   00     263.10  960.7    224.45     1.61     0.82
MAWSON     240608 300  035000-035500   00     260.75  961.4    223.53     1.19     0.38
MAWSON     240608 300  035500-040000   00     261.38  962.2    225.49     2.08     1.25
MAWSON     240608 300  040000-040500   00     258.90  962.1    223.18     1.04     0.19
MAWSON     240608 300  040500-041000   00     262.82  961.3    225.18     1.94     1.08
MAWSON     240608 300  041000-041500   00     257.84  962.0    222.09     0.54    -0.34
MAWSON     240608 300  041500-042000   00     258.34  962.2    222.78     0.86    -0.04
MAWSON     240608 300  042000-042500   00     256.83  963.4    223.33     1.10     0.19
MAWSON     240608 300  042500-043000   00     256.46  963.0    222.45     0.71    -0.23
MAWSON     240608 300  043000-043500   00     258.66  963.0    224.37     1.57     0.63
MAWSON     240608 300  043500-044000   00     259.50  963.1    225.22     1.96     1.00
MAWSON     240608 300  044000-044500   00     256.30  963.0    222.31     0.64    -0.34
MAWSON     240608 300  044500-045000   00     259.48  962.3    223.93     1.37     0.38
MAWSON     240608 300  045000-045500   00     258.02  962.9    223.59     1.22     0.21
MAWSON     240608 300  045500-050000   00     258.68  963.3    224.84     1.79     0.76
MAWSON     240608 300  050000-050500   00     256.45  963.4    223.03     0.97    -0.07
MAWSON     240608 300  050500-051000   00     255.91  963.2    222.22     0.60    -0.45
MAWSON     240608 300  051000-051500   00     258.17  963.4    224.61     1.68     0.62
MAWSON     240608 300  051500-052000   00     254.20  963.4    221.12     0.10    -0.98
MAWSON     240608 300  052000-052500   00     256.96  963.5    223.68     1.26     0.17
MAWSON     240608 300  052500-053000   00     259.94  963.3    225.98     2.30     1.20
MAWSON     240608 300  053000-053500   00     257.67  963.4    224.13     1.46     0.35
MAWSON     240608 300  053500-054000   00     257.24  963.2    223.43     1.15     0.02
MAWSON     240608 300  054000-054500   00     258.84  963.0    224.52     1.64     0.50
MAWSON     240608 300  054500-055000   00     254.72  963.0    220.85    -0.02    -1.17
MAWSON     240608 300  055000-055500   00     257.80  962.9    223.36     1.12    -0.05
MAWSON     240608 300  055500-060000   00     258.10  963.0    223.88     1.35     0.17
MAWSON     240608 300  060000-060500   00     257.86  963.1    223.75     1.29     0.11
MAWSON     240608 300  060500-061000   00     256.30  963.1    222.52     0.74    -0.46
MAWSON     240608 300  061000-061500   00     258.62  963.0    224.37     1.57     0.36
MAWSON     240608 300  061500-062000   00     258.64  962.7    223.92     1.37     0.15
MAWSON     240608 300  062000-062500   00     259.10  962.4    223.72     1.28     0.05
MAWSON     240608 300  062500-063000   00     258.42  962.0    222.55     0.75    -0.49
MAWSON     240608 300  063000-063500   00     260.24  962.1    224.29     1.54     0.29
MAWSON     240608 300  063500-064000   00     262.62  961.9    225.99     2.31     1.05
MAWSON     240608 300  064000-064500   00     259.48  961.5    222.66     0.80    -0.46
MAWSON     240608 300  064500-065000   00     261.15  961.4    223.93     1.37     0.10
MAWSON     240608 300  065000-065500   00     262.26  961.3    224.71     1.73     0.45
MAWSON     240608 300  065500-070000   00     261.08  961.3    223.65     1.25    -0.04
MAWSON     240608 300  070000-070500   00     262.22  961.2    224.54     1.65     0.36
MAWSON     240608 300  070500-071000   00     260.75  961.0    223.03     0.97    -0.33
MAWSON     240608 300  071000-071500   00     261.19  961.0    223.32     1.10    -0.21
MAWSON     240608 300  071500-072000   00     259.99  961.0    222.34     0.65    -0.66
MAWSON     240608 300  072000-072500   00     260.95  960.8    222.82     0.87    -0.45
MAWSON     240608 300  072500-073000   00     262.53  960.8    224.22     1.50     0.18
MAWSON     240608 300  073000-073500   00     262.34  960.5    223.51     1.18    -0.15
MAWSON     240608 300  073500-074000   00     260.17  960.5    221.70     0.37    -0.97
MAWSON     240608 300  074000-074500   00     264.57  960.5    225.45     2.06     0.72
MAWSON     240608 300  074500-075000   00     265.06  960.6    225.99     2.31     0.96
MAWSON     240608 300  075000-075500   00     263.63  960.5    224.69     1.72     0.37
MAWSON     240608 300  075500-080000   00     262.87  960.5    223.91     1.37     0.01
MAWSON     240608 300  080000-080500   00     261.55  960.6    222.96     0.94    -0.43
MAWSON     240608 300  080500-081000   00     262.06  960.5    223.31     1.09    -0.27
MAWSON     240608 300  081000-081500   00     261.22  960.5    222.55     0.75    -0.62
MAWSON     240608 300  081500-082000   00     263.03  960.2    223.63     1.24    -0.13
MAWSON     240608 300  082000-082500   00     266.52  960.2    226.64     2.60     1.23
MAWSON     240608 300  082500-083000   00     259.67  960.2    220.86    -0.02    -1.39
MAWSON     240608 300  083000-083500   00     265.53  960.5    226.18     2.39     1.02
MAWSON     240608 300  083500-084000   00     263.54  960.4    224.35     1.57     0.19
MAWSON     240608 300  084000-084500   00     263.08  960.1    223.59     1.22    -0.16
MAWSON     240608 300  084500-085000   00     264.36  960.3    225.01     1.86     0.48
MAWSON     240608 300  085000-085500   00     263.45  960.2    223.99     1.40     0.02
MAWSON     240608 300  085500-090000   00     265.04  960.1    225.22     1.96     0.57
MAWSON     240608 300  090000-090500   00     264.84  960.2    225.17     1.93     0.55
MAWSON     240608 300  090500-091000   00     266.16  960.0    226.03     2.33     0.94
MAWSON     240608 300  091000-091500   00     263.51  960.0    223.78     1.31    -0.08
MAWSON     240608 300  091500-092000   00     262.31  959.9    222.60     0.77    -0.62
MAWSON     240608 300  092000-092500   00     263.88  960.1    224.26     1.52     0.14
MAWSON     240608 300  092500-093000   00     264.28  960.0    224.39     1.58     0.20
MAWSON     240608 300  093000-093500   00     262.75  959.9    222.89     0.90    -0.48
MAWSON     240608 300  093500-094000   00     262.86  959.8    222.89     0.90    -0.48
MAWSON     240608 300  094000-094500   00     264.28  959.5    223.59     1.22    -0.16
MAWSON     240608 300  094500-095000   00     261.98  959.6    221.81     0.41    -0.97
MAWSON     240608 300  095000-095500   00     265.78  959.4    224.73     1.74     0.36
MAWSON     240608 300  095500-100000   00     264.47  959.4    223.67     1.26    -0.12
MAWSON     240608 300  100000-100500   00     264.95  959.6    224.29     1.54     0.17
MAWSON     240608 300  100500-101000   00     264.77  959.4    223.93     1.37     0.01
MAWSON     240608 300  101000-101500   00     264.94  959.4    224.02     1.42     0.05
MAWSON     240608 300  101500-102000   00     268.02  959.4    226.58     2.58     1.22
MAWSON     240608 300  102000-102500   00     261.97  959.4    221.48     0.26    -1.09
MAWSON     240608 300  102500-103000   00     266.56  959.0    224.71     1.73     0.38
MAWSON     240608 300  103000-103500   00     263.90  959.2    222.85     0.89    -0.46
MAWSON     240608 300  103500-104000   00     263.87  959.7    223.49     1.18    -0.17
MAWSON     240608 300  104000-104500   00     266.25  959.9    225.85     2.24     0.91
MAWSON     240608 300  104500-105000   00     265.91  959.9    225.69     2.17     0.84
MAWSON     240608 300  105000-105500   00     264.24  959.8    223.98     1.40     0.07
MAWSON     240608 300  105500-110000   00     264.30  959.9    224.20     1.50     0.18
MAWSON     240608 300  110000-110500   00     264.10  959.8    223.91     1.36     0.05
MAWSON     240608 300  110500-111000   00     262.53  959.8    222.57     0.76    -0.55
MAWSON     240608 300  111000-111500   00     262.18  959.8    222.23     0.61    -0.69
MAWSON     240608 300  111500-112000   00     265.87  959.9    225.53     2.10     0.81
MAWSON     240608 300  112000-112500   00     264.79  959.8    224.57     1.66    -9999
MAWSON     240608 300  112500-113000   00     266.83  959.8    226.31     2.45    -9999
MAWSON     240608 300  113000-113500   00     263.65  959.8    223.53     1.19    -9999
MAWSON     240608 300  113500-114000   00     263.51  959.9    223.66     1.25    -9999
MAWSON     240608 300  114000-114500   00     265.67  959.8    225.19     1.94    -9999
MAWSON     240608 300  114500-115000   00     262.43  960.1    222.91     0.91    -9999
MAWSON     240608 300  115000-115500   00     262.10  960.3    223.09     0.99    -9999
MAWSON     240608 300  115500-120000   00     261.49  960.2    222.41     0.69    -9999
MAWSON     240608 3600 120000-130000   00     262.91  960.3    223.78     1.31    -9999
MAWSON     240608 3600 130000-140000   00     261.68  961.5    224.56     1.66    -9999
MAWSON     240608 3600 140000-150000   00     259.16  962.6    224.14     1.47    -9999
MAWSON     240608 3600 150000-160000   00     258.77  962.9    224.27     1.53    -9999
MAWSON     240608 3600 160000-170000   00     256.99  963.4    223.48     1.17    -9999
MAWSON     240608 3600 170000-180000   00     255.20  964.1    223.15     1.02    -9999
MAWSON     240608 3600 180000-190000   00     254.28  965.0    223.76     1.30    -9999
MAWSON     240608 3600 190000-200000   00     252.89  965.8    223.65     1.25    -9999
MAWSON     240608 3600 200000-210000   00     249.67  966.8    222.44     0.70    -9999
MAWSON     240608 3600 210000-220000   00     248.84  967.9    223.36     1.12    -9999
MAWSON     240608 3600 220000-230000   00     246.95  969.3    223.92     1.37    -9999
MAWSON     240608 3600 230000-240000   00     242.04  971.9    223.61     1.23    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075MWSN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
