CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.772    % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    271.50      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    240607 3600 000000-010000   00     297.04  884.9    270.09    -0.52    -9999
CALGARY    240607 3600 010000-020000   00     296.24  885.0    269.50    -0.74    -9999
CALGARY    240607 3600 020000-030000   00     295.00  885.2    268.77    -1.01    -9999
CALGARY    240607 3600 030000-040000   00     294.45  885.8    269.46    -0.75    -9999
CALGARY    240607 3600 040000-050000   00     292.91  886.3    269.10    -0.89    -9999
CALGARY    240607 3600 050000-060000   00     292.47  886.6    269.42    -0.77    -9999
CALGARY    240607 3600 060000-070000   00     292.86  887.0    270.48    -0.38    -9999
CALGARY    240607 3600 070000-080000   00     290.84  887.4    269.63    -0.69    -9999
CALGARY    240607 3600 080000-090000   00     290.93  888.0    270.84    -0.24    -9999
CALGARY    240607 3600 090000-100000   00     289.65  888.6    271.03    -0.17    -9999
CALGARY    240607 3600 100000-110000   00     289.56  888.7    271.15    -0.13    -9999
CALGARY    240607 3600 110000-120000   00     289.32  889.0    271.43    -0.03    -9999
CALGARY    240607 3600 120000-130000   00     289.95  889.3    272.74     0.45    -9999
CALGARY    240607 3600 130000-140000   00     288.39  889.5    271.63     0.05    -9999
CALGARY    240607 3600 140000-150000   00     288.67  889.5    271.99     0.18    -9999
CALGARY    240607 3600 150000-160000   00     288.61  889.4    271.61     0.04    -9999
CALGARY    240607 3600 160000-170000   00     289.93  889.1    272.24     0.27    -9999
CALGARY    240607 3600 170000-180000   00     290.91  888.7    272.44     0.35    -9999
CALGARY    240607 3600 180000-190000   00     291.78  888.1    271.95     0.16    -9999
CALGARY    240607 3600 190000-200000   00     293.08  887.5    271.93     0.16    -9999
CALGARY    240607 3600 200000-210000   00     293.62  887.3    271.85     0.13    -9999
CALGARY    240607 3600 210000-220000   00     294.62  886.9    272.01     0.19    -9999
CALGARY    240607 3600 220000-230000   00     295.07  886.6    271.69     0.07    -9999
CALGARY    240607 3600 230000-240000   00     295.34  886.3    271.49    -0.01    -9999
CALGARY    240608 300  000000-000500   00     296.74  886.3    272.78     0.47     0.63
CALGARY    240608 300  000500-001000   00     295.86  886.4    272.06     0.20     0.35
CALGARY    240608 300  001000-001500   00     292.82  886.4    269.27    -0.82    -0.69
CALGARY    240608 300  001500-002000   00     295.24  886.3    271.37    -0.05     0.07
CALGARY    240608 300  002000-002500   00     295.58  886.3    271.57     0.03     0.13
CALGARY    240608 300  002500-003000   00     294.24  886.3    270.34    -0.43    -0.34
CALGARY    240608 300  003000-003500   00     296.08  886.2    271.91     0.15     0.22
CALGARY    240608 300  003500-004000   00     295.00  886.3    271.05    -0.17    -0.11
CALGARY    240608 300  004000-004500   00     294.65  886.4    270.88    -0.23    -0.18
CALGARY    240608 300  004500-005000   00     294.19  886.4    270.50    -0.37    -0.34
CALGARY    240608 300  005000-005500   00     294.75  886.4    270.99    -0.19    -0.17
CALGARY    240608 300  005500-010000   00     295.24  886.4    271.55     0.02     0.03
CALGARY    240608 300  010000-010500   00     297.41  886.5    273.67     0.80     0.79
CALGARY    240608 300  010500-011000   00     293.46  886.5    270.03    -0.54    -0.55
CALGARY    240608 300  011000-011500   00     298.13  886.5    274.31     1.03     1.01
CALGARY    240608 300  011500-012000   00     295.48  886.5    271.91     0.15     0.11
CALGARY    240608 300  012000-012500   00     295.13  886.5    271.62     0.04     0.00
CALGARY    240608 300  012500-013000   00     293.50  886.5    270.16    -0.50    -0.55
CALGARY    240608 300  013000-013500   00     296.50  886.6    273.04     0.57     0.50
CALGARY    240608 300  013500-014000   00     294.15  886.7    271.06    -0.16    -0.23
CALGARY    240608 300  014000-014500   00     292.52  886.7    269.69    -0.67    -0.75
CALGARY    240608 300  014500-015000   00     294.49  886.8    271.64     0.05    -0.04
CALGARY    240608 300  015000-015500   00     293.06  886.8    270.37    -0.42    -0.51
CALGARY    240608 300  015500-020000   00     297.27  886.8    274.32     1.04     0.94
CALGARY    240608 300  020000-020500   00     291.48  886.9    269.02    -0.91    -1.02
CALGARY    240608 300  020500-021000   00     292.67  886.8    270.02    -0.55    -0.66
CALGARY    240608 300  021000-021500   00     294.72  886.8    271.97     0.17     0.05
CALGARY    240608 300  021500-022000   00     295.06  886.9    272.33     0.30     0.17
CALGARY    240608 300  022000-022500   00     294.13  886.9    271.52     0.01    -0.13
CALGARY    240608 300  022500-023000   00     295.65  886.9    273.05     0.57     0.43
CALGARY    240608 300  023000-023500   00     297.96  887.0    275.31     1.40     1.26
CALGARY    240608 300  023500-024000   00     296.10  887.1    273.72     0.82     0.67
CALGARY    240608 300  024000-024500   00     296.42  887.1    274.16     0.98     0.83
CALGARY    240608 300  024500-025000   00     294.33  887.2    272.31     0.30     0.14
CALGARY    240608 300  025000-025500   00     294.91  887.2    273.00     0.55     0.39
CALGARY    240608 300  025500-030000   00     295.47  887.2    273.53     0.75     0.59
CALGARY    240608 300  030000-030500   00     295.88  887.3    273.93     0.89     0.73
CALGARY    240608 300  030500-031000   00     291.89  887.3    270.35    -0.42    -0.59
CALGARY    240608 300  031000-031500   00     295.91  887.3    274.11     0.96     0.80
CALGARY    240608 300  031500-032000   00     295.54  887.3    273.74     0.82     0.66
CALGARY    240608 300  032000-032500   00     292.64  887.4    271.12    -0.14    -0.31
CALGARY    240608 300  032500-033000   00     296.23  887.4    274.55     1.12     0.96
CALGARY    240608 300  033000-033500   00     292.68  887.5    271.37    -0.05    -0.21
CALGARY    240608 300  033500-034000   00     290.40  887.5    269.43    -0.76    -0.93
CALGARY    240608 300  034000-034500   00     291.40  887.6    270.47    -0.38    -0.54
CALGARY    240608 300  034500-035000   00     293.36  887.6    272.32     0.30     0.14
CALGARY    240608 300  035000-035500   00     295.94  887.7    274.82     1.22     1.06
CALGARY    240608 300  035500-040000   00     293.23  887.7    272.47     0.36     0.20
CALGARY    240608 300  040000-040500   00     290.93  887.8    270.50    -0.37    -0.52
CALGARY    240608 300  040500-041000   00     291.43  887.9    271.05    -0.17    -0.32
CALGARY    240608 300  041000-041500   00     293.11  887.9    272.67     0.43     0.28
CALGARY    240608 300  041500-042000   00     293.18  887.9    272.73     0.45     0.31
CALGARY    240608 300  042000-042500   00     290.40  887.9    270.19    -0.48    -0.62
CALGARY    240608 300  042500-043000   00     290.95  887.9    270.70    -0.30    -0.43
CALGARY    240608 300  043000-043500   00     292.74  887.9    272.38     0.32     0.20
CALGARY    240608 300  043500-044000   00     290.40  887.9    270.19    -0.48    -0.61
CALGARY    240608 300  044000-044500   00     293.38  887.9    272.99     0.55     0.43
CALGARY    240608 300  044500-045000   00     292.46  887.9    272.20     0.26     0.15
CALGARY    240608 300  045000-045500   00     294.37  888.0    274.14     0.97     0.87
CALGARY    240608 300  045500-050000   00     291.27  888.1    271.35    -0.06    -0.15
CALGARY    240608 300  050000-050500   00     293.30  888.1    273.30     0.66     0.57
CALGARY    240608 300  050500-051000   00     293.97  888.1    273.84     0.86     0.78
CALGARY    240608 300  051000-051500   00     291.16  888.0    271.18    -0.12    -0.19
CALGARY    240608 300  051500-052000   00     291.50  888.0    271.52     0.01    -0.06
CALGARY    240608 300  052000-052500   00     292.49  888.1    272.46     0.35     0.30
CALGARY    240608 300  052500-053000   00     292.80  888.1    272.83     0.49     0.45
CALGARY    240608 300  053000-053500   00     293.69  888.2    273.79     0.84     0.81
CALGARY    240608 300  053500-054000   00     290.52  888.2    270.90    -0.22    -0.24
CALGARY    240608 300  054000-054500   00     292.80  888.2    273.11     0.59     0.58
CALGARY    240608 300  054500-055000   00     289.94  888.3    270.51    -0.37    -0.36
CALGARY    240608 300  055000-055500   00     290.00  888.3    270.63    -0.32    -0.31
CALGARY    240608 300  055500-060000   00     288.78  888.3    269.48    -0.74    -0.72
CALGARY    240608 300  060000-060500   00     290.67  888.3    271.28    -0.08    -0.04
CALGARY    240608 300  060500-061000   00     290.56  888.3    271.22    -0.11    -0.06
CALGARY    240608 300  061000-061500   00     291.00  888.3    271.68     0.07     0.13
CALGARY    240608 300  061500-062000   00     293.73  888.4    274.28     1.02     1.10
CALGARY    240608 300  062000-062500   00     288.91  888.4    269.81    -0.62    -0.53
CALGARY    240608 300  062500-063000   00     290.35  888.4    271.11    -0.15    -0.04
CALGARY    240608 300  063000-063500   00     288.08  888.4    268.98    -0.93    -0.81
CALGARY    240608 300  063500-064000   00     288.40  888.4    269.31    -0.81    -0.67
CALGARY    240608 300  064000-064500   00     289.73  888.4    270.58    -0.34    -0.19
CALGARY    240608 300  064500-065000   00     288.55  888.4    269.52    -0.73    -0.56
CALGARY    240608 300  065000-065500   00     290.19  888.4    271.06    -0.16     0.02
CALGARY    240608 300  065500-070000   00     290.68  888.4    271.51     0.00     0.21
CALGARY    240608 300  070000-070500   00     289.98  888.4    270.89    -0.23    -0.01
CALGARY    240608 300  070500-071000   00     287.64  888.4    268.75    -1.01    -0.78
CALGARY    240608 300  071000-071500   00     289.28  888.4    270.29    -0.45    -0.19
CALGARY    240608 300  071500-072000   00     289.51  888.5    270.57    -0.34    -0.07
CALGARY    240608 300  072000-072500   00     286.72  888.5    268.05    -1.27    -0.98
CALGARY    240608 300  072500-073000   00     289.21  888.5    270.41    -0.40    -0.09
CALGARY    240608 300  073000-073500   00     289.53  888.6    270.75    -0.28     0.05
CALGARY    240608 300  073500-074000   00     288.08  888.5    269.33    -0.80    -0.45
CALGARY    240608 300  074000-074500   00     290.20  888.5    271.33    -0.06     0.31
CALGARY    240608 300  074500-075000   00     291.70  888.6    272.79     0.47     0.87
CALGARY    240608 300  075000-075500   00     289.86  888.6    271.11    -0.14     0.27
CALGARY    240608 300  075500-080000   00     289.28  888.6    270.69    -0.30     0.14
CALGARY    240608 300  080000-080500   00     289.36  888.7    270.86    -0.24     0.22
CALGARY    240608 300  080500-081000   00     286.74  888.7    268.39    -1.15    -0.66
CALGARY    240608 300  081000-081500   00     285.89  888.7    267.61    -1.43    -0.93
CALGARY    240608 300  081500-082000   00     289.95  888.7    271.44    -0.02     0.51
CALGARY    240608 300  082000-082500   00     290.34  888.7    271.81     0.11     0.67
CALGARY    240608 300  082500-083000   00     286.68  888.8    268.53    -1.10    -0.52
CALGARY    240608 300  083000-083500   00     286.05  888.8    268.01    -1.29    -0.68
CALGARY    240608 300  083500-084000   00     290.49  888.8    272.10     0.22     0.85
CALGARY    240608 300  084000-084500   00     287.53  888.8    269.39    -0.78    -0.13
CALGARY    240608 300  084500-085000   00     289.62  888.8    271.30    -0.08     0.60
CALGARY    240608 300  085000-085500   00     288.66  888.7    270.32    -0.43     0.27
CALGARY    240608 300  085500-090000   00     289.38  888.8    271.01    -0.18     0.55
CALGARY    240608 300  090000-090500   00     290.62  888.7    272.13     0.23     0.99
CALGARY    240608 300  090500-091000   00     287.05  888.8    268.85    -0.98    -0.19
CALGARY    240608 300  091000-091500   00     289.43  888.8    271.17    -0.12     0.69
CALGARY    240608 300  091500-092000   00     288.08  888.8    269.89    -0.59     0.25
CALGARY    240608 300  092000-092500   00     289.06  888.9    270.96    -0.20     0.67
CALGARY    240608 300  092500-093000   00     288.83  889.0    270.92    -0.21     0.69
CALGARY    240608 300  093000-093500   00     290.41  888.9    272.38     0.32     1.26
CALGARY    240608 300  093500-094000   00     288.55  889.0    270.71    -0.29     0.67
CALGARY    240608 300  094000-094500   00     289.44  889.0    271.55     0.02     1.01
CALGARY    240608 300  094500-095000   00     288.05  889.0    270.24    -0.47     0.55
CALGARY    240608 300  095000-095500   00     289.27  889.0    271.45    -0.02     1.03
CALGARY    240608 300  095500-100000   00     288.04  889.0    270.28    -0.45     0.63
CALGARY    240608 300  100000-100500   00     288.23  889.0    270.39    -0.41     0.71
CALGARY    240608 300  100500-101000   00     286.72  889.0    268.99    -0.93     0.22
CALGARY    240608 300  101000-101500   00     289.79  889.0    271.85     0.13     1.31
CALGARY    240608 300  101500-102000   00     288.12  888.9    270.23    -0.47     0.75
CALGARY    240608 300  102000-102500   00     287.59  889.0    269.77    -0.64     0.61
CALGARY    240608 300  102500-103000   00     286.46  889.0    268.74    -1.02     0.26
CALGARY    240608 300  103000-103500   00     287.80  889.0    270.06    -0.53     0.78
CALGARY    240608 300  103500-104000   00     288.85  889.0    271.11    -0.14     1.21
CALGARY    240608 300  104000-104500   00     291.09  889.0    273.19     0.62     2.01
CALGARY    240608 300  104500-105000   00     287.91  889.1    270.29    -0.45     0.98
CALGARY    240608 300  105000-105500   00     290.49  889.1    272.86     0.50     1.96
CALGARY    240608 300  105500-110000   00     287.42  889.2    270.03    -0.54     0.95
CALGARY    240608 300  110000-110500   00     286.09  889.2    268.81    -0.99     0.54
CALGARY    240608 300  110500-111000   00     287.67  889.1    270.15    -0.50     1.07
CALGARY    240608 300  111000-111500   00     287.82  889.1    270.25    -0.46     1.14
CALGARY    240608 300  111500-112000   00     290.20  889.1    272.60     0.40     2.05
CALGARY    240608 300  112000-112500   00     285.23  889.2    267.96    -1.31    -9999
CALGARY    240608 300  112500-113000   00     288.88  889.2    271.41    -0.03    -9999
CALGARY    240608 300  113000-113500   00     286.97  889.4    270.05    -0.54    -9999
CALGARY    240608 300  113500-114000   00     289.83  889.3    272.68     0.43    -9999
CALGARY    240608 300  114000-114500   00     285.08  889.4    268.30    -1.18    -9999
CALGARY    240608 300  114500-115000   00     286.82  889.4    269.92    -0.58    -9999
CALGARY    240608 300  115000-115500   00     287.64  889.4    270.70    -0.30    -9999
CALGARY    240608 300  115500-120000   00     285.84  889.4    269.02    -0.91    -9999
CALGARY    240608 3600 120000-130000   00     288.37  889.3    271.21    -0.11    -9999
CALGARY    240608 3600 130000-140000   00     289.05  889.2    271.63     0.05    -9999
CALGARY    240608 3600 140000-150000   00     289.88  889.0    271.92     0.15    -9999
CALGARY    240608 3600 150000-160000   00     288.56  889.1    271.07    -0.16    -9999
CALGARY    240608 3600 160000-170000   00     288.68  889.4    271.63     0.05    -9999
CALGARY    240608 3600 170000-180000   00     289.88  889.7    273.46     0.72    -9999
CALGARY    240608 3600 180000-190000   00     287.45  890.8    273.50     0.74    -9999
CALGARY    240608 3600 190000-200000   00     286.55  891.6    274.39     1.06    -9999
CALGARY    240608 3600 200000-210000   00     285.00  892.2    274.09     0.95    -9999
CALGARY    240608 3600 210000-220000   00     285.70  892.5    275.36     1.42    -9999
CALGARY    240608 3600 220000-230000   00     285.12  892.9    275.77     1.57    -9999
CALGARY    240608 3600 230000-240000   00     283.41  893.2    274.69     1.17    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075CALG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
